ticker,company_name,exchange,country,sector,industry,market_cap,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,raw_exchange_code,raw_etf_flag,raw_test_issue_flag
AAAP,Pacer Barings CLO Market Flex ETF,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,NASDAQ,Y,N
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,RIGHT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: RIGHT.,NASDAQ,N,N
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,UNIT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: UNIT.,NASDAQ,N,N
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ADR_OR_PREFERRED_REVIEW,OUT_OF_SCOPE,MEDIUM,Security name contains review keyword: DEPOSITARY SHARES.,NASDAQ,N,N
AACIU,Armada Acquisition Corp. III - Units,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,UNIT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: UNIT.,NASDAQ,N,N
AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,WARRANT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: WARRANT.,NASDAQ,N,N
AACOU,Abony Acquisition Corp. I - Units,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,UNIT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: UNIT.,NASDAQ,N,N
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,WARRANT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: WARRANT.,NASDAQ,N,N
AACPR,Apogee Acquisition Corp - Rights,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,RIGHT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: RIGHT.,NASDAQ,N,N
AACPU,Apogee Acquisition Corp - Units,NASDAQ,USA,,,,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,UNIT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: UNIT.,NASDAQ,N,N
