ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason
AAAP,Pacer Barings CLO Market Flex ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,RIGHT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: RIGHT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,UNIT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: UNIT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ADR_OR_PREFERRED_REVIEW,OUT_OF_SCOPE,MEDIUM,Security name contains review keyword: DEPOSITARY SHARES.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACIU,Armada Acquisition Corp. III - Units,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,UNIT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: UNIT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,WARRANT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: WARRANT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACOU,Abony Acquisition Corp. I - Units,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,UNIT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: UNIT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,WARRANT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: WARRANT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACPR,Apogee Acquisition Corp - Rights,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,RIGHT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: RIGHT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACPU,Apogee Acquisition Corp - Units,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,UNIT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: UNIT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AACPW,Apogee Acquisition Corp - Warrant,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,WARRANT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: WARRANT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AAPU,Direxion Daily AAPL Bull 2X ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AAUS,Alpha Architect US Equity ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
ABIG,Argent Large Cap ETF,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,ETF,OUT_OF_SCOPE,HIGH,ETF flag is Y.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
ABLVW,Able View Global Inc. - Warrant,NASDAQ,USA,nasdaq_trader_nasdaqlisted,data/raw/source_providers/nasdaq_trader_nasdaqlisted/nasdaq_trader_nasdaqlisted.csv,WARRANT,OUT_OF_SCOPE,HIGH,Security name contains exclusion keyword: WARRANT.,,,,,,3,EXCLUDE_OR_ENRICHMENT_REFERENCE,Existing v2.4B exclusion preserved.
