Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
MSTU,8011095,13800,2.26,3600,2.25,2.24,7965423,45672
DRAM,6812460,41,65.05,3,64.92,65.03,6698538,113922
SNDQ,4006370,12100,3.03,5800,3.02,3.04,3981359,25011
SNXX,3475669,900,23.80,10,23.75,23.76,3378963,96706
SPCH,2971812,50,13.10,703,13.07,13.09,2945295,26517
SSPC,2889940,975,11.67,700,11.63,11.72,2871296,18644
BMNU,2773711,100,0.94,100,0.92,0.94,2760232,13479
MSTZ,2171480,700,10.60,750,10.54,10.61,2144580,26900
IGV,2123077,100,95.00,100,94.79,94.98,2108675,14402
CBRG,2062180,1787,4.40,1302,4.38,4.39,2053913,8267
IREZ,1537805,800,7.73,26,7.69,7.73,1534373,3432
BTCZ,1400357,2100,5.49,2100,5.48,5.45,1397557,2800
BITX,1135386,11000,12.41,18300,12.37,12.43,1133743,1643
RAM,880750,800,19.36,228,19.34,19.32,872313,8437
FLOT,872548,98,50.99,98,50.95,50.96,870162,2386
FBTC,850679,6800,56.06,7400,55.97,55.93,824830,25849
FLBL,814760,500,23.42,1,22.82,22.86,813668,1092
CCUP,797229,4913,1.81,6383,1.78,1.80,796079,1150
ETHU,790308,8000,15.16,11600,15.12,15.14,790028,280
IEFA,770524,9,100.00,2,97.25,98.31,747730,22794
ARKG,605886,2,44.00,1,43.50,43.51,602035,3851
SPCQ,593610,734,15.26,1200,15.18,15.34,589806,3804
UVXY,590648,200,23.84,2,23.68,23.77,581010,9638
ARKK,566057,1,83.60,260,83.00,83.50,560250,5807
SNDU,558633,900,38.06,800,37.79,37.79,555983,2650
INDA,555087,100,49.90,2,49.76,49.89,549500,5587
VXX,532964,1,21.53,1,21.42,21.44,517514,15450
GOVT,502652,3,22.87,20,22.65,22.69,502311,341
MAGS,502258,320,66.50,100,66.22,66.25,495642,6616
AAOX,500341,1000,21.62,1270,21.45,21.55,499451,890
USHY,457651,67,36.96,70,36.92,36.96,451771,5880
MTUM,436470,5,324.50,1,321.00,321.79,436378,92
ASTX,427105,500,22.55,300,22.47,22.50,423338,3767
WDCX,413981,300,33.70,1003,33.50,33.59,413981,0
CRWU,398858,1900,4.49,1200,4.48,4.43,391429,7429
ASTN,366854,1100,4.58,1600,4.54,4.56,366554,300
USMV,344048,1,98.15,4,97.54,97.89,342929,1119
ARKB,342265,18100,21.36,19500,21.34,21.28,326910,15355
FETH,314899,23200,18.17,28000,18.13,18.19,300182,14717
CBOE,308228,5,249.77,102,242.00,245.00,305863,2365
SPCG,307466,500,19.64,504,19.53,19.66,307066,400
SPAL,302008,500,21.92,600,21.80,21.73,301908,100
ITB,288165,1,103.30,2,100.50,101.26,288065,100
SNK,273833,500,19.26,500,19.17,19.19,270548,3285
NVDX,271837,500,16.19,503,16.15,16.16,269158,2679
NVDQ,269997,1400,12.49,1500,12.47,12.48,260520,9477
TTDU,267644,3100,3.06,3400,3.04,3.06,267644,0
TSLZ,248364,2500,10.35,1905,10.33,10.35,247817,547
ITA,244608,2,251.00,22,249.50,250.78,244593,15
NBIZ,238300,800,10.50,5500,10.17,10.35,238271,29
SPYI,233739,821,53.50,808,53.46,53.48,232758,981
TSLT,222852,1300,19.54,1313,19.49,19.51,222315,537
AXTX,217736,400,10.73,2439,10.53,10.68,190995,26741
HODL,216421,24000,18.22,24000,18.19,18.20,210544,5877
NOBL,213192,100,61.40,2,56.50,57.32,211027,2165
LITX,206182,800,24.74,600,24.56,24.67,205310,872
BOXX,193726,1356,117.26,625,117.24,117.24,181244,12482
IREX,191437,1200,21.59,1200,21.23,21.45,190837,600
VUSB,177623,50,49.72,24,49.64,49.66,168153,9470
LUNL,176738,900,7.69,2100,7.57,7.62,176738,0
SMU,169293,1100,7.81,10,7.79,7.78,169110,183
SVIX,167629,2,24.57,1,24.45,24.51,167529,100
VIXY,163125,1,20.80,20,20.60,20.65,153446,9679
NEBX,162724,800,33.51,4,33.30,33.31,162504,220
UVIX,156930,930,59.00,9,58.11,58.20,154814,2116
VLUE,155210,100,207.74,4,192.98,194.00,154255,955
KMEM,153398,985,22.76,10,22.25,22.70,153049,349
SPCU,149798,500,17.61,600,17.44,17.50,149798,0
ONDL,148587,1600,7.86,1500,7.77,7.90,148236,351
QBTX,148152,900,13.37,400,13.29,13.31,148052,100
IDV,146565,100,45.07,100,41.90,42.11,145043,1522
BEZ,145601,1768,11.38,1500,11.22,11.26,145001,600
CORD,144690,1970,6.73,1006,6.70,6.73,143138,1552
IYZ,140769,17,43.09,185,40.91,41.23,140422,347
AAOG,135825,100,4.82,7200,4.79,4.84,132173,3652
EFV,135756,100,84.35,250,78.00,78.47,132456,3300
PAVE,133783,100,58.20,100,57.40,57.83,126973,6810
BBJP,133636,41,80.21,5,74.00,77.01,132439,1197
BTCW,133197,3600,68.29,3500,67.77,67.99,131385,1812
CRCD,127821,1200,5.65,835,5.57,5.69,125385,2436
ICVT,123778,100,133.01,100,105.31,118.19,123778,0
BEX,123249,1000,55.85,775,55.41,55.52,122383,866
EUV,122670,211,28.20,23,27.20,27.21,115762,6908
CRDU,117423,300,89.13,1,88.35,88.36,117423,0
APLX,116888,200,16.59,500,16.44,16.50,104006,12882
AAAU,109252,3,41.10,1,41.00,41.05,108552,700
BTCI,105952,1647,29.00,41,28.58,28.75,105952,0
DFIS,104922,100,41.77,100,30.51,35.98,104837,85
QUAL,100502,100,232.68,12,215.45,218.49,95103,5399
ARKX,100287,200,34.10,297,33.90,34.09,100287,0
HEEM,100219,100,58.80,100,33.98,43.92,99919,300
WULX,95801,700,37.88,300,36.90,37.50,93693,2108
IAGG,95544,100,53.80,100,46.97,50.11,93544,2000
MOAT,95251,11,106.40,4,106.12,106.12,95000,251
SNDG,94272,5694,15.00,100,14.84,14.85,94272,0
EZU,90920,70,70.28,100,62.82,69.88,90920,0
MLPI,89247,1,55.90,10,54.75,54.76,89109,138
DFIC,85935,100,44.13,100,17.79,37.99,84926,1009
SPCM,84927,900,22.16,1000,22.04,21.94,83627,1300
LVHI,81882,46,41.18,70,40.86,41.08,77028,4854
FLHY,79933,50,24.35,100,22.70,24.22,75216,4717
RDWU,77709,1300,8.55,500,8.39,8.41,76681,1028
TETH,77393,72000,9.13,72000,9.05,8.94,73868,3525
CIEG,77167,100,7.43,200,7.35,7.39,77167,0
IWMI,76975,2,53.80,8,53.18,53.43,76803,172
TLTW,74504,5000,22.08,2,22.07,22.06,74504,0
CWVX,72778,5,19.50,300,19.41,19.39,71412,1366
MSTW,72317,1200,3.95,900,3.78,3.85,72317,0
VTEC,71571,100,107.31,2,100.29,100.44,50467,21104
ICSH,69953,657,50.45,37,50.44,50.44,67533,2420
SVXY,69325,2,58.18,500,57.85,58.07,68524,801
COWZ,67855,353,64.08,1,63.12,63.71,66967,888
ROBN,67447,600,41.56,391,41.17,41.14,67447,0
PICK,66025,50,58.68,50,58.30,58.50,64892,1133
WYFL,64289,30,27.48,100,18.00,24.73,64289,0
DJTU,63357,107,1.22,766,1.17,1.21,63257,100
COHX,57011,1075,40.36,100,39.93,40.30,57011,0
EOSU,56218,320,16.96,200,16.81,16.81,56218,0
HYD,55242,100,55.13,100,48.11,51.55,54592,650
SLVP,54535,55,32.50,5,32.10,32.22,32645,21890
SPCL,53621,531,39.55,400,39.21,39.26,52921,700
CLSX,51764,1408,17.98,400,17.63,17.57,51241,523
IYT,51348,3,89.00,5,86.86,87.40,51348,0
AXTL,50211,1500,4.21,1500,4.02,4.18,50211,0
EFG,49592,100,139.54,100,110.63,125.10,48910,682
GEVX,47119,400,27.54,800,27.40,27.44,47119,0
ARKF,46939,15,42.37,1,40.28,42.37,46836,103
DIHP,45823,100,40.13,100,29.04,34.48,42568,3255
CLSE,44626,100,39.00,6,33.18,33.48,43457,1169
REM,44424,100,23.80,100,20.17,22.19,44420,4
RDVI,42198,100,33.55,1,29.07,29.17,42098,100
FOTO,41770,96,21.10,22,20.90,21.00,41769,1
VCRM,41232,100,101.21,100,60.27,76.25,41232,0
HIMU,41032,100,78.33,100,45.76,49.64,40832,200
INFH,40236,400,9.26,600,9.14,9.10,38941,1295
QUBX,39922,1100,10.20,500,9.86,10.03,38423,1499
QDTE,39757,1000,30.48,1000,30.41,30.42,37444,2313
DRAL,39534,1100,16.51,1100,16.31,16.30,39534,0
ZAUG,39006,100,50.60,100,10.68,27.55,39006,0
PAYM,38477,100,46.70,100,9.99,25.41,7520,30957
NVTX,38471,2,34.87,400,34.50,34.69,38348,123
EEMV,37725,8,75.00,100,65.85,74.42,37725,0
IAUI,36736,50,50.75,22,49.92,50.00,36736,0
KNG,36222,1,53.20,20,51.03,51.35,36136,86
AMAU,36129,5340,23.76,977,23.61,23.61,36129,0
DISV,36035,100,45.68,10,41.11,41.29,35735,300
XNDX,35928,2900,12.65,1700,11.97,12.15,35223,705
ECH,35446,1,43.00,100,36.30,39.66,35446,0
NVII,34770,25,23.65,1,23.27,23.46,34770,0
IBX,34548,400,33.47,742,33.23,33.43,34547,1
GLXU,33871,1100,8.01,1200,7.70,7.53,33871,0
DDSQ,33740,1588,21.70,100,8.30,21.13,33740,0
BBCA,33369,100,112.47,100,92.00,100.24,33369,0
COZX,33072,400,17.93,500,16.84,17.37,33072,0
HYDB,32846,100,49.83,100,42.71,46.62,32846,0
LITZ,32409,500,21.21,3892,20.88,21.08,31317,1092
