measurement_month,trade_date,symbol,listed_mic,round_lot_size
202603,20260331,AAAA,BATS,100
202603,20260331,AAAU,BATS,100
202603,20260331,AAOX,BATS,100
202603,20260331,AAPR,BATS,100
202603,20260331,AAPW,BATS,100
202603,20260331,AAPX,BATS,100
202603,20260331,AAPY,BATS,100
202603,20260331,AAUA,BATS,100
202603,20260331,AAUM,BATS,100
202603,20260331,ABFL,BATS,100
202603,20260331,ABLD,BATS,100
202603,20260331,ABLG,BATS,100
202603,20260331,ABLS,BATS,100
202603,20260331,ABOT,BATS,100
202603,20260331,ABUF,BATS,100
202603,20260331,ABXB,BATS,100
202603,20260331,ACIO,BATS,100
202603,20260331,ACSG,BATS,100
202603,20260331,ACSI,BATS,100
202603,20260331,ACSV,BATS,100
202603,20260331,ACWV,BATS,100
202603,20260331,ADFI,BATS,100
202603,20260331,ADME,BATS,100
202603,20260331,AEMS,BATS,100
202603,20260331,AESR,BATS,100
202603,20260331,AFIF,BATS,100
202603,20260331,AFRU,BATS,100
202603,20260331,AIOO,BATS,100
202603,20260331,AJAN,BATS,100
202603,20260331,AJUL,BATS,100
202603,20260331,AMDW,BATS,100
202603,20260331,AMZO,BATS,100
202603,20260331,AMZP,BATS,100
202603,20260331,AMZW,BATS,100
202603,20260331,AOCT,BATS,100
202603,20260331,APHU,BATS,100
202603,20260331,APLX,BATS,100
202603,20260331,APLZ,BATS,100
202603,20260331,APOC,BATS,100
202603,20260331,APRB,BATS,100
202603,20260331,APRH,BATS,100
202603,20260331,APRJ,BATS,100
202603,20260331,APRP,BATS,100
202603,20260331,APRT,BATS,100
202603,20260331,APRW,BATS,100
202603,20260331,APRZ,BATS,100
202603,20260331,APXM,BATS,100
202603,20260331,AQEC,BATS,100
202603,20260331,AQLT,BATS,100
202603,20260331,ARCM,BATS,100
202603,20260331,ARCX,BATS,100
202603,20260331,ARKB,BATS,100
202603,20260331,ARKD,BATS,100
202603,20260331,ARKF,BATS,100
202603,20260331,ARKG,BATS,100
202603,20260331,ARKK,BATS,100
202603,20260331,ARKQ,BATS,100
202603,20260331,ARKT,BATS,100
202603,20260331,ARKW,BATS,100
202603,20260331,ARKX,BATS,100
202603,20260331,ARLU,BATS,100
202603,20260331,ARMW,BATS,100
202603,20260331,ARWG,BATS,100
202603,20260331,ASTN,BATS,100
202603,20260331,ASTX,BATS,100
202603,20260331,ATMP,BATS,100
202603,20260331,ATTR,BATS,100
202603,20260331,AUGM,BATS,100
202603,20260331,AUGP,BATS,100
202603,20260331,AUGT,BATS,100
202603,20260331,AUGU,BATS,100
202603,20260331,AUGW,BATS,100
202603,20260331,AUGZ,BATS,100
202603,20260331,AVGW,BATS,100
202603,20260331,AVRY,BATS,100
202603,20260331,BABW,BATS,100
202603,20260331,BAGY,BATS,100
202603,20260331,BALI,BATS,100
202603,20260331,BALT,BATS,100
202603,20260331,BAMA,BATS,100
202603,20260331,BAMB,BATS,100
202603,20260331,BAMD,BATS,100
202603,20260331,BAMG,BATS,100
202603,20260331,BAMO,BATS,100
202603,20260331,BAMU,BATS,100
202603,20260331,BAMV,BATS,100
202603,20260331,BAMY,BATS,100
202603,20260331,BAPR,BATS,100
202603,20260331,BAUG,BATS,100
202603,20260331,BBAX,BATS,100
202603,20260331,BBCA,BATS,100
202603,20260331,BBEM,BATS,100
202603,20260331,BBEU,BATS,100
202603,20260331,BBHY,BATS,100
202603,20260331,BBIB,BATS,100
202603,20260331,BBIN,BATS,100
202603,20260331,BBJP,BATS,100
202603,20260331,BBLB,BATS,100
202603,20260331,BBRE,BATS,100
202603,20260331,BBSB,BATS,100
202603,20260331,BBUS,BATS,100
202603,20260331,BCCC,BATS,100
202603,20260331,BCHP,BATS,100
202603,20260331,BCKT,BATS,100
202603,20260331,BDEC,BATS,100
202603,20260331,BEGS,BATS,100
202603,20260331,BEMB,BATS,100
202603,20260331,BESF,BATS,100
202603,20260331,BEX,BATS,100
202603,20260331,BEZ,BATS,100
202603,20260331,BFEB,BATS,100
202603,20260331,BFLB,BATS,100
202603,20260331,BGLD,BATS,100
202603,20260331,BHYB,BATS,100
202603,20260331,BILT,BATS,100
202603,20260331,BINV,BATS,100
202603,20260331,BITK,BATS,100
202603,20260331,BITX,BATS,100
202603,20260331,BITY,BATS,100
202603,20260331,BJAN,BATS,100
202603,20260331,BJUL,BATS,100
202603,20260331,BJUN,BATS,100
202603,20260331,BKGI,BATS,100
202603,20260331,BLDG,BATS,100
202603,20260331,BMAR,BATS,100
202603,20260331,BMAY,BATS,100
202603,20260331,BMNU,BATS,100
202603,20260331,BNDY,BATS,100
202603,20260331,BNOV,BATS,100
202603,20260331,BOCT,BATS,100
202603,20260331,BOXA,BATS,100
202603,20260331,BOXX,BATS,100
202603,20260331,BRKW,BATS,100
202603,20260331,BRLN,BATS,100
202603,20260331,BSEP,BATS,100
202603,20260331,BSMC,BATS,100
202603,20260331,BTCI,BATS,100
202603,20260331,BTCL,BATS,100
202603,20260331,BTCO,BATS,100
202603,20260331,BTCW,BATS,100
202603,20260331,BTCZ,BATS,100
202603,20260331,BTFL,BATS,100
202603,20260331,BUFB,BATS,100
202603,20260331,BUFD,BATS,100
202603,20260331,BUFF,BATS,100
202603,20260331,BUFG,BATS,100
202603,20260331,BUFH,BATS,100
202603,20260331,BUFP,BATS,100
202603,20260331,BUFQ,BATS,100
202603,20260331,BUFR,BATS,100
202603,20260331,BUFS,BATS,100
202603,20260331,BUFT,BATS,100
202603,20260331,BUFX,BATS,100
202603,20260331,BUFY,BATS,100
202603,20260331,BUFZ,BATS,100
202603,20260331,BUSA,BATS,100
202603,20260331,BUYW,BATS,100
202603,20260331,BUYZ,BATS,100
202603,20260331,BWTG,BATS,100
202603,20260331,CABZ,BATS,100
202603,20260331,CALF,BATS,100
202603,20260331,CAOS,BATS,100
202603,20260331,CBOA,BATS,100
202603,20260331,CBOE,BATS,40
202603,20260331,CBOJ,BATS,100
202603,20260331,CBOL,BATS,100
202603,20260331,CBOO,BATS,100
202603,20260331,CBOY,BATS,100
202603,20260331,CBTA,BATS,100
202603,20260331,CBTJ,BATS,100
202603,20260331,CBTL,BATS,100
202603,20260331,CBTO,BATS,100
202603,20260331,CBTY,BATS,100
202603,20260331,CBXA,BATS,100
202603,20260331,CBXJ,BATS,100
202603,20260331,CBXL,BATS,100
202603,20260331,CBXO,BATS,100
202603,20260331,CBXY,BATS,100
202603,20260331,CCUP,BATS,100
202603,20260331,CEFS,BATS,100
202603,20260331,CEFZ,BATS,100
202603,20260331,CEGX,BATS,100
202603,20260331,CEMB,BATS,100
202603,20260331,CFIT,BATS,100
202603,20260331,CIFU,BATS,100
202603,20260331,CLSE,BATS,100
202603,20260331,CLSX,BATS,100
202603,20260331,CLSZ,BATS,100
202603,20260331,CMCI,BATS,100
202603,20260331,CNAV,BATS,100
202603,20260331,CNYA,BATS,100
202603,20260331,COHX,BATS,100
202603,20260331,COII,BATS,100
202603,20260331,COIO,BATS,100
202603,20260331,COIW,BATS,100
202603,20260331,COMD,BATS,100
202603,20260331,COPA,BATS,100
202603,20260331,CORD,BATS,100
202603,20260331,COSW,BATS,100
202603,20260331,COWZ,BATS,100
202603,20260331,COZX,BATS,100
202603,20260331,CPSL,BATS,100
202603,20260331,CRCD,BATS,100
202603,20260331,CRDU,BATS,100
202603,20260331,CRMX,BATS,100
202603,20260331,CRWU,BATS,100
202603,20260331,CSEX,BATS,100
202603,20260331,CSM,BATS,100
202603,20260331,CSTK,BATS,100
202603,20260331,CTEF,BATS,100
202603,20260331,CTIF,BATS,100
202603,20260331,CVAR,BATS,100
202603,20260331,CWII,BATS,100
202603,20260331,CWVX,BATS,100
202603,20260331,DAPR,BATS,100
202603,20260331,DAUG,BATS,100
202603,20260331,DDEC,BATS,100
202603,20260331,DDFD,BATS,100
202603,20260331,DDFF,BATS,100
202603,20260331,DDFJ,BATS,100
202603,20260331,DDFL,BATS,100
202603,20260331,DDFM,BATS,100
202603,20260331,DDFN,BATS,100
202603,20260331,DDFO,BATS,100
202603,20260331,DDFS,BATS,100
202603,20260331,DDLS,BATS,100
202603,20260331,DDNQ,BATS,100
202603,20260331,DDSQ,BATS,100
202603,20260331,DDTD,BATS,100
202603,20260331,DDTF,BATS,100
202603,20260331,DDTJ,BATS,100
202603,20260331,DDTL,BATS,100
202603,20260331,DDTM,BATS,100
202603,20260331,DDTN,BATS,100
202603,20260331,DDTO,BATS,100
202603,20260331,DDTS,BATS,100
202603,20260331,DDV,BATS,100
202603,20260331,DDWM,BATS,100
202603,20260331,DDX,BATS,100
202603,20260331,DDXX,BATS,100
202603,20260331,DECM,BATS,100
202603,20260331,DECP,BATS,100
202603,20260331,DECT,BATS,100
202603,20260331,DECU,BATS,100
202603,20260331,DECW,BATS,100
202603,20260331,DECZ,BATS,100
202603,20260331,DEFR,BATS,100
202603,20260331,DFEB,BATS,100
202603,20260331,DFIC,BATS,100
202603,20260331,DFIS,BATS,100
202603,20260331,DFNL,BATS,100
202603,20260331,DGJA,BATS,100
202603,20260331,DGOC,BATS,100
202603,20260331,DHDG,BATS,100
202603,20260331,DIHP,BATS,100
202603,20260331,DINT,BATS,100
202603,20260331,DISV,BATS,100
202603,20260331,DIVB,BATS,100
202603,20260331,DIVN,BATS,100
202603,20260331,DJAN,BATS,100
202603,20260331,DJTU,BATS,100
202603,20260331,DJUL,BATS,100
202603,20260331,DJUN,BATS,100
202603,20260331,DLAG,BATS,100
202603,20260331,DLFE,BATS,100
202603,20260331,DLNV,BATS,100
202603,20260331,DMAR,BATS,100
202603,20260331,DMAX,BATS,100
202603,20260331,DMAY,BATS,100
202603,20260331,DNOV,BATS,100
202603,20260331,DOCT,BATS,100
202603,20260331,DOGD,BATS,100
202603,20260331,DOGG,BATS,100
202603,20260331,DOJE,BATS,100
202603,20260331,DRGN,BATS,100
202603,20260331,DRNL,BATS,100
202603,20260331,DRSK,BATS,100
202603,20260331,DSEP,BATS,100
202603,20260331,DUBS,BATS,100
202603,20260331,DURA,BATS,100
202603,20260331,DUSA,BATS,100
202603,20260331,DVVY,BATS,100
202603,20260331,DWLD,BATS,100
202603,20260331,EALT,BATS,100
202603,20260331,EAOA,BATS,100
202603,20260331,EAOK,BATS,100
202603,20260331,EAOM,BATS,100
202603,20260331,EAOR,BATS,100
202603,20260331,ECH,BATS,100
202603,20260331,EDEN,BATS,100
202603,20260331,EDGE,BATS,100
202603,20260331,EEMV,BATS,100
202603,20260331,EFAD,BATS,100
202603,20260331,EFAV,BATS,100
202603,20260331,EFG,BATS,100
202603,20260331,EFNL,BATS,100
202603,20260331,EFV,BATS,100
202603,20260331,EGUS,BATS,100
202603,20260331,EHY,BATS,100
202603,20260331,EMDV,BATS,100
202603,20260331,EMGF,BATS,100
202603,20260331,EMHY,BATS,100
202603,20260331,EMTL,BATS,100
202603,20260331,ENOR,BATS,100
202603,20260331,ENPX,BATS,100
202603,20260331,EOSU,BATS,100
202603,20260331,EPRF,BATS,100
202603,20260331,EQLT,BATS,100
202603,20260331,ESG,BATS,100
202603,20260331,ESGG,BATS,100
202603,20260331,ESGV,BATS,100
202603,20260331,ESK,BATS,100
202603,20260331,ESML,BATS,100
202603,20260331,ETHU,BATS,100
202603,20260331,ETHV,BATS,100
202603,20260331,ETTY,BATS,100
202603,20260331,ETU,BATS,100
202603,20260331,EUAD,BATS,100
202603,20260331,EUDV,BATS,100
202603,20260331,EUHY,BATS,100
202603,20260331,EUIG,BATS,100
202603,20260331,EVLU,BATS,100
202603,20260331,EVUS,BATS,100
202603,20260331,EWUS,BATS,100
202603,20260331,EYLD,BATS,100
202603,20260331,EZBC,BATS,100
202603,20260331,EZET,BATS,100
202603,20260331,EZPZ,BATS,100
202603,20260331,EZU,BATS,100
202603,20260331,FAPR,BATS,100
202603,20260331,FAUG,BATS,100
202603,20260331,FB,BATS,100
202603,20260331,FBCG,BATS,100
202603,20260331,FBCV,BATS,100
202603,20260331,FBTC,BATS,100
202603,20260331,FBUF,BATS,100
202603,20260331,FCLD,BATS,100
202603,20260331,FCPI,BATS,100
202603,20260331,FCTR,BATS,100
202603,20260331,FDEC,BATS,100
202603,20260331,FDEM,BATS,100
202603,20260331,FDEV,BATS,100
202603,20260331,FDND,BATS,100
202603,20260331,FDRV,BATS,100
202603,20260331,FEBM,BATS,100
202603,20260331,FEBP,BATS,100
202603,20260331,FEBT,BATS,100
202603,20260331,FEBU,BATS,100
202603,20260331,FEBW,BATS,100
202603,20260331,FEBZ,BATS,100
202603,20260331,FETH,BATS,100
202603,20260331,FFDI,BATS,100
202603,20260331,FFEB,BATS,100
202603,20260331,FFEM,BATS,100
202603,20260331,FFF,BATS,100
202603,20260331,FFGX,BATS,100
202603,20260331,FFLC,BATS,100
202603,20260331,FFLG,BATS,100
202603,20260331,FFLV,BATS,100
202603,20260331,FFOG,BATS,100
202603,20260331,FFSM,BATS,100
202603,20260331,FGRU,BATS,100
202603,20260331,FHDG,BATS,100
202603,20260331,FHEQ,BATS,100
202603,20260331,FJAN,BATS,100
202603,20260331,FJUL,BATS,100
202603,20260331,FJUN,BATS,100
202603,20260331,FLAO,BATS,100
202603,20260331,FLBL,BATS,100
202603,20260331,FLDR,BATS,100
202603,20260331,FLDZ,BATS,100
202603,20260331,FLHY,BATS,100
202603,20260331,FLIA,BATS,100
202603,20260331,FLJJ,BATS,100
202603,20260331,FLOT,BATS,100
202603,20260331,FLQL,BATS,100
202603,20260331,FLQM,BATS,100
202603,20260331,FLQS,BATS,100
202603,20260331,FLXI,BATS,100
202603,20260331,FLXN,BATS,100
202603,20260331,FLYT,BATS,100
202603,20260331,FMAG,BATS,100
202603,20260331,FMAR,BATS,100
202603,20260331,FMAY,BATS,100
202603,20260331,FNOV,BATS,100
202603,20260331,FOCT,BATS,100
202603,20260331,FORH,BATS,100
202603,20260331,FOWF,BATS,100
202603,20260331,FPAG,BATS,100
202603,20260331,FPAS,BATS,100
202603,20260331,FPFD,BATS,100
202603,20260331,FPRO,BATS,100
202603,20260331,FRDM,BATS,100
202603,20260331,FRNW,BATS,100
