Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
DSUS,DRONE SERVICES USA INC,Pink Limited,0.000001,,0,Common Stock,USA,New York
AGTT,ANGSTROM TECHNOLOGIES INC,Pink Limited,0.070000,0.166667,50000,Common Stock,USA,Kentucky
MNZO,MANZO PHARMACEUTICALS INC,OTCID,0.000001,,0,Common Stock,USA,California
RBTK,ZHEN DING RESOURCES INC,Pink Limited,6.250000,,0,Common Stock,Canada,Quebec
FPWM,CHARLESTOWNE PREMIUM BEV,Pink Limited,0.000200,,0,Common Stock,USA,Nevada
MCIC,MULTICORP INTL INC,OTCID,0.000200,,0,Common Stock,USA,California
HUMT,HUMATECH INC,Pink Limited,0.008900,,0,Common Stock,USA,Texas
UPPR,UPPER STREET MKTNG INC,OTCID,0.000100,,0,Common Stock,USA,California
GNOLF,GENOIL INC,Pink Limited,0.000001,,0,Foreign Ordinary Shares,USA,New York
SMPP,STRATEGIC MGMT&OPPTY,OTCID,0.000500,,0,Common Stock,USA,Arizona
QOIL,QUEST OIL CORP,Pink Limited,0.000001,0.000000,500000,Common Stock,USA,New York
NPHC,NUTRA PHARMA CORP,Pink Limited,0.000300,,0,Common Stock,USA,Florida
ASPR,ADSOUTH PARTNERS INC,Pink Limited,0.000600,,0,Common Stock,China,
WYPH,WAYPOINT BIOMED HLDGS INC,OTCID,0.001300,,0,Common Stock,USA,Nevada
WHIB,WHITEBEARD INC,Pink Limited,0.000800,,80,Common Stock,United Arab Emirates,
MLPHD,AI ENERGY INC,OTCID,0.020200,,0,Common Stock,China,
CODV,COMPLIANCE ADVOCATES CORP,OTCID,0.017500,,0,Common Stock,USA,Arizona
ELTLF,ELEMENTOS LTD NEW,Pink Limited,0.300000,,0,Foreign Ordinary Shares,Australia,Queensland
AHII,AMERICAN HERITAGE INTL,OTCID,0.000100,,0,Common Stock,USA,New York
LIFS,LIFE STEM GENETICS INC,OTCID,0.000100,0.000000,500,Common Stock,USA,Pennsylvania
BRVVF,QUANTUM BATTERY METALS CP,Pink Limited,0.284300,,0,Foreign Ordinary Shares,Canada,British Columbia
RMANF,FUTUREGEN INDS CORP,Pink Limited,0.121600,,0,Foreign Ordinary Shares,Canada,British Columbia
STRG,STARGUIDE GROUP INC,Pink Limited,0.000001,,0,Common Stock,USA,Nevada
MYCOF,NOVERIS HEALTH SCIENCES,Pink Limited,2.000000,,0,Foreign Ordinary Shares,Canada,British Columbia
IMAA,IMA TECH,Pink Limited,0.050000,,0,Common Stock,USA,Wyoming
