Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source,instrument_type,instrument_scope,classification_confidence,classification_reason
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AAME,Atlantic American Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.
AAPL,Apple Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABAT,American Battery Technology Company - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABSI,Absci Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ABVX,Abivax SA - American Depositary Shares,NASDAQ,USA,,,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.
