ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date,stage1_status,stage1_primary_reason,stage1_all_reasons
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,USA,North America,USD,Financial Services,Shell Companies,common_stock,True,290310752.0,10.49,18169.0,18169.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,190592.81,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,MARKET_CAP_WATCHLIST_RANGE,MARKET_CAP_WATCHLIST_RANGE|LOW_DOLLAR_VOLUME
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,USA,North America,USD,Consumer Defensive,Education & Training Services,common_stock,True,47096996.0,1.09,13744.0,13744.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,14980.96,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,MARKET_CAP_BELOW_MINIMUM,MARKET_CAP_BELOW_MINIMUM|PRICE_BELOW_MINIMUM|LOW_DOLLAR_VOLUME
AAME,Atlantic American Corporation - Common Stock,NASDAQ,USA,North America,USD,Financial Services,Insurance - Life,common_stock,True,34063368.0,1.67,9814.0,9814.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,16389.38,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,MARKET_CAP_BELOW_MINIMUM,MARKET_CAP_BELOW_MINIMUM|PRICE_STRONG_WATCHLIST_RANGE|LOW_DOLLAR_VOLUME
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1605400192.0,17.2,5363.0,5363.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,92243.6,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,LOW_DOLLAR_VOLUME,LOW_DOLLAR_VOLUME
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,80284296.0,3.68,228526.0,228526.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,840975.68,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,MARKET_CAP_BELOW_MINIMUM,MARKET_CAP_BELOW_MINIMUM|PRICE_WEAK_WATCHLIST_RANGE|LOW_DOLLAR_VOLUME
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,USA,North America,USD,Consumer Cyclical,Specialty Retail,common_stock,True,52847216.0,1.07,404217.0,404217.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,432512.19,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,MARKET_CAP_BELOW_MINIMUM,MARKET_CAP_BELOW_MINIMUM|PRICE_BELOW_MINIMUM|LOW_DOLLAR_VOLUME
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,USA,North America,USD,Financial Services,Capital Markets,common_stock,True,1549470080.0,0.8631,14437155.0,14437155.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,12460708.4805,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,PRICE_BELOW_MINIMUM,PRICE_BELOW_MINIMUM
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,USA,North America,USD,Financial Services,Capital Markets,common_stock,True,5893279.0,1.99,2405588.0,2405588.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,4787120.12,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,MARKET_CAP_BELOW_MINIMUM,MARKET_CAP_BELOW_MINIMUM|PRICE_STRONG_WATCHLIST_RANGE|DOLLAR_VOLUME_WATCHLIST_RANGE
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,34580588.0,1.33,103998.0,103998.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,138317.34,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,MARKET_CAP_BELOW_MINIMUM,MARKET_CAP_BELOW_MINIMUM|PRICE_BELOW_MINIMUM|LOW_DOLLAR_VOLUME
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,USA,North America,USD,Industrials,Consulting Services,common_stock,True,21622344.0,1.55,76634.0,76634.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,118782.7,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,REJECTED,MARKET_CAP_BELOW_MINIMUM,MARKET_CAP_BELOW_MINIMUM|PRICE_STRONG_WATCHLIST_RANGE|LOW_DOLLAR_VOLUME
