ticker,name,stage,status,reason_code,reason_text,metric_name,metric_value,threshold,severity,recoverable,special_case,sector,industry,country,market_cap,data_date,created_at
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,stage1,REJECTED,MARKET_CAP_WATCHLIST_RANGE,Market cap is below pass threshold but above rejection threshold.,market_cap,290310752.0,500000000,medium,True,False,Financial Services,Shell Companies,USA,290310752.0,2026-06-08,2026-06-08T18:43:18+00:00
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,190592.81,1000000,high,False,False,Financial Services,Shell Companies,USA,290310752.0,2026-06-08,2026-06-08T18:43:18+00:00
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,47096996.0,150000000,high,False,False,Consumer Defensive,Education & Training Services,USA,47096996.0,2026-06-08,2026-06-08T18:43:18+00:00
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",stage1,REJECTED,PRICE_BELOW_MINIMUM,Price below Stage 1 minimum.,price,1.09,1.5,high,False,False,Consumer Defensive,Education & Training Services,USA,47096996.0,2026-06-08,2026-06-08T18:43:18+00:00
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,14980.96,1000000,high,False,False,Consumer Defensive,Education & Training Services,USA,47096996.0,2026-06-08,2026-06-08T18:43:18+00:00
AAME,Atlantic American Corporation - Common Stock,stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,34063368.0,150000000,high,False,False,Financial Services,Insurance - Life,USA,34063368.0,2026-06-08,2026-06-08T18:43:18+00:00
AAME,Atlantic American Corporation - Common Stock,stage1,REJECTED,PRICE_STRONG_WATCHLIST_RANGE,Price is below pass threshold but above rejection threshold.,price,1.67,3.0,medium,True,False,Financial Services,Insurance - Life,USA,34063368.0,2026-06-08,2026-06-08T18:43:18+00:00
AAME,Atlantic American Corporation - Common Stock,stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,16389.38,1000000,high,False,False,Financial Services,Insurance - Life,USA,34063368.0,2026-06-08,2026-06-08T18:43:18+00:00
AAPG,Ascentage Pharma Group International - American Depository Shares,stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,92243.6,1000000,high,False,False,Healthcare,Biotechnology,USA,1605400192.0,2026-06-08,2026-06-08T18:43:18+00:00
AARD,"Aardvark Therapeutics, Inc. - Common Stock",stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,80284296.0,150000000,high,False,False,Healthcare,Biotechnology,USA,80284296.0,2026-06-08,2026-06-08T18:43:18+00:00
AARD,"Aardvark Therapeutics, Inc. - Common Stock",stage1,REJECTED,PRICE_WEAK_WATCHLIST_RANGE,Price is below weak warning threshold but does not trigger watchlist by itself.,price,3.68,5.0,low,True,False,Healthcare,Biotechnology,USA,80284296.0,2026-06-08,2026-06-08T18:43:18+00:00
AARD,"Aardvark Therapeutics, Inc. - Common Stock",stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,840975.68,1000000,high,False,False,Healthcare,Biotechnology,USA,80284296.0,2026-06-08,2026-06-08T18:43:18+00:00
ABAT,American Battery Technology Company - Common Stock,stage1,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,Market cap is below pass threshold but above rejection threshold.,market_cap,424248832.0,500000000,medium,True,False,Industrials,Waste Management,USA,424248832.0,2026-06-08,2026-06-08T18:43:18+00:00
ABAT,American Battery Technology Company - Common Stock,stage1,WATCHLIST,PRICE_WEAK_WATCHLIST_RANGE,Price is below weak warning threshold but does not trigger watchlist by itself.,price,3.11,5.0,low,True,False,Industrials,Waste Management,USA,424248832.0,2026-06-08,2026-06-08T18:43:18+00:00
ABEO,Abeona Therapeutics Inc. - Common Stock,stage1,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,Market cap is below pass threshold but above rejection threshold.,market_cap,311193504.0,500000000,medium,True,False,Healthcare,Biotechnology,USA,311193504.0,2026-06-08,2026-06-08T18:43:18+00:00
ABLV,Able View Global Inc. - Class B Ordinary Shares,stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,52847216.0,150000000,high,False,False,Consumer Cyclical,Specialty Retail,USA,52847216.0,2026-06-08,2026-06-08T18:43:18+00:00
ABLV,Able View Global Inc. - Class B Ordinary Shares,stage1,REJECTED,PRICE_BELOW_MINIMUM,Price below Stage 1 minimum.,price,1.07,1.5,high,False,False,Consumer Cyclical,Specialty Retail,USA,52847216.0,2026-06-08,2026-06-08T18:43:18+00:00
ABLV,Able View Global Inc. - Class B Ordinary Shares,stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,432512.19,1000000,high,False,False,Consumer Cyclical,Specialty Retail,USA,52847216.0,2026-06-08,2026-06-08T18:43:18+00:00
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",stage1,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,Market cap is below pass threshold but above rejection threshold.,market_cap,155289312.0,500000000,medium,True,False,Healthcare,Biotechnology,USA,155289312.0,2026-06-08,2026-06-08T18:43:18+00:00
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",stage1,WATCHLIST,PRICE_STRONG_WATCHLIST_RANGE,Price is below pass threshold but above rejection threshold.,price,2.15,3.0,medium,True,False,Healthcare,Biotechnology,USA,155289312.0,2026-06-08,2026-06-08T18:43:18+00:00
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",stage1,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,Dollar volume is below pass threshold but above rejection threshold.,dollar_volume_90d,1154491.95,5000000,medium,True,False,Healthcare,Biotechnology,USA,155289312.0,2026-06-08,2026-06-08T18:43:18+00:00
ABTC,American Bitcoin Corp. - Class A Common Stock,stage1,REJECTED,PRICE_BELOW_MINIMUM,Price below Stage 1 minimum.,price,0.8631,1.5,high,False,False,Financial Services,Capital Markets,USA,1549470080.0,2026-06-08,2026-06-08T18:43:18+00:00
ABTS,Abits Group Inc - Ordinary Shares,stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,5893279.0,150000000,high,False,False,Financial Services,Capital Markets,USA,5893279.0,2026-06-08,2026-06-08T18:43:18+00:00
ABTS,Abits Group Inc - Ordinary Shares,stage1,REJECTED,PRICE_STRONG_WATCHLIST_RANGE,Price is below pass threshold but above rejection threshold.,price,1.99,3.0,medium,True,False,Financial Services,Capital Markets,USA,5893279.0,2026-06-08,2026-06-08T18:43:18+00:00
ABTS,Abits Group Inc - Ordinary Shares,stage1,REJECTED,DOLLAR_VOLUME_WATCHLIST_RANGE,Dollar volume is below pass threshold but above rejection threshold.,dollar_volume_90d,4787120.12,5000000,medium,True,False,Financial Services,Capital Markets,USA,5893279.0,2026-06-08,2026-06-08T18:43:18+00:00
ABUS,Arbutus Biopharma Corporation - Common Stock,stage1,PASSED,PRICE_WEAK_WATCHLIST_RANGE,Price is below weak warning threshold but does not trigger watchlist by itself.,price,4.25,5.0,low,True,False,Healthcare,Biotechnology,USA,839535296.0,2026-06-08,2026-06-08T18:43:18+00:00
ABVC,"ABVC BioPharma, Inc. - Common Stock",stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,34580588.0,150000000,high,False,False,Healthcare,Biotechnology,USA,34580588.0,2026-06-08,2026-06-08T18:43:18+00:00
ABVC,"ABVC BioPharma, Inc. - Common Stock",stage1,REJECTED,PRICE_BELOW_MINIMUM,Price below Stage 1 minimum.,price,1.33,1.5,high,False,False,Healthcare,Biotechnology,USA,34580588.0,2026-06-08,2026-06-08T18:43:18+00:00
ABVC,"ABVC BioPharma, Inc. - Common Stock",stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,138317.34,1000000,high,False,False,Healthcare,Biotechnology,USA,34580588.0,2026-06-08,2026-06-08T18:43:18+00:00
ACB,Aurora Cannabis Inc. - Common Shares,stage1,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,Market cap is below pass threshold but above rejection threshold.,market_cap,199847936.0,500000000,medium,True,False,Healthcare,Drug Manufacturers - Specialty & Generic,USA,199847936.0,2026-06-08,2026-06-08T18:43:18+00:00
ACB,Aurora Cannabis Inc. - Common Shares,stage1,WATCHLIST,PRICE_WEAK_WATCHLIST_RANGE,Price is below weak warning threshold but does not trigger watchlist by itself.,price,3.38,5.0,low,True,False,Healthcare,Drug Manufacturers - Specialty & Generic,USA,199847936.0,2026-06-08,2026-06-08T18:43:18+00:00
ACB,Aurora Cannabis Inc. - Common Shares,stage1,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,Dollar volume is below pass threshold but above rejection threshold.,dollar_volume_90d,3105101.22,5000000,medium,True,False,Healthcare,Drug Manufacturers - Specialty & Generic,USA,199847936.0,2026-06-08,2026-06-08T18:43:18+00:00
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,21622344.0,150000000,high,False,False,Industrials,Consulting Services,USA,21622344.0,2026-06-08,2026-06-08T18:43:18+00:00
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,stage1,REJECTED,PRICE_STRONG_WATCHLIST_RANGE,Price is below pass threshold but above rejection threshold.,price,1.55,3.0,medium,True,False,Industrials,Consulting Services,USA,21622344.0,2026-06-08,2026-06-08T18:43:18+00:00
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,118782.7,1000000,high,False,False,Industrials,Consulting Services,USA,21622344.0,2026-06-08,2026-06-08T18:43:18+00:00
ACET,"Adicet Bio, Inc. - Common Stock",stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,67868192.0,150000000,high,False,False,Healthcare,Biotechnology,USA,67868192.0,2026-06-08,2026-06-08T18:43:18+00:00
ACET,"Adicet Bio, Inc. - Common Stock",stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,897699.0,1000000,high,False,False,Healthcare,Biotechnology,USA,67868192.0,2026-06-08,2026-06-08T18:43:18+00:00
ACFN,"Acorn Energy, Inc. - Common Stock",stage1,REJECTED,MARKET_CAP_BELOW_MINIMUM,Market cap below Stage 1 minimum.,market_cap,39981632.0,150000000,high,False,False,Technology,Scientific & Technical Instruments,USA,39981632.0,2026-06-08,2026-06-08T18:43:18+00:00
ACFN,"Acorn Energy, Inc. - Common Stock",stage1,REJECTED,LOW_DOLLAR_VOLUME,Dollar volume below Stage 1 minimum.,dollar_volume_90d,276861.86,1000000,high,False,False,Technology,Scientific & Technical Instruments,USA,39981632.0,2026-06-08,2026-06-08T18:43:18+00:00
