ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date,stage1_status,stage1_primary_reason,stage1_all_reasons,yf_success,yf_error,financial_data_date,quote_type,sector_yf,industry_yf,country_yf,revenue_ttm,operating_margin,fcf_margin,net_debt_to_ebitda,shares_dilution_3y,revenue_growth_1y,gross_margin,net_margin,ebitda,free_cash_flow,total_debt,cash,net_debt,debt_to_equity,current_ratio,interest_coverage,pe_ratio,forward_pe,ev_ebitda,price_sales,fcf_yield,shares_outstanding_fund,float_shares,market_cap_yf,special_case,data_completeness_score,revenue_growth_3y,stage2_status,stage2_primary_reason,stage2_all_reasons
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Airlines,common_stock,True,8928699392.0,13.5,67493293.0,67493293.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,911159455.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Industrials,Airlines,United States,55993999360.0,-0.00065,0.0153788799128921,6.593353196480939,,0.108,0.22872,0.00361,4092000000.0,861124992.0,34892001280.0,7912000000.0,26980001280.0,,0.492,,43.870968,6.102596,8.792,0.16063933,0.0957354586543613,661385137.0,654010693.0,8994838528.0,none,92.31,,REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Communication Equipment,common_stock,True,14202970112.0,177.0,12310404.0,12310404.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,2178941508.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Communication Equipment,United States,507000000.0,-0.08595,-0.8788624536489152,5.801390442890443,,0.514,0.29642,-0.085480005,-27456000.0,-445583264.0,280422016.0,439704992.0,-159282976.0,25.356,3.826,,,41.207043,-568.898,31.122166,-0.0282391164770678,80242767.0,76066933.0,15778937856.0,none,92.31,,REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|FCF_MARGIN_TOO_NEGATIVE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Building Products & Equipment,common_stock,True,10863130624.0,132.62,1049784.0,1049784.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,139222354.08,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Industrials,Building Products & Equipment,United States,1616957952.0,0.11552,-0.1330488326761387,1.7658523004217532,,0.543,0.26242,0.07305,251051008.0,-215134368.0,443332000.0,13000.0,443319000.0,47.455,2.624,,92.34267,40.112392,44.85,6.689377,-0.0198895700681941,81911710.0,68217710.0,10816441344.0,none,92.31,,REJECTED,FCF_MARGIN_TOO_NEGATIVE,FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,USA,North America,USD,Energy,Oil & Gas Equipment & Services,common_stock,True,1253780736.0,6.93,1506595.0,1506595.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,10440703.35,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Energy,Oil & Gas Equipment & Services,United States,1791100032.0,-0.10187,0.0870763738560415,5.909136224899599,,-0.251,0.22416,-0.24287,199200000.0,155962496.0,1210599936.0,33500000.0,1177099936.0,154.256,0.82,,,-16.208834,13.326,0.7313194,0.1190674980675889,180920753.0,33303892.0,1309866240.0,none,92.31,,REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductor Equipment & Materials,common_stock,True,5272363008.0,76.29,1369280.0,1369280.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,104462371.2,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Semiconductor Equipment & Materials,United States,960225024.0,0.15642999,-0.1483195339012535,-6.696008888504105,,0.342,0.44235,0.09477,138606000.0,-142420128.0,337060992.0,1265168000.0,-928107008.0,16.178,3.513,,61.50382,35.75597,35.421,5.7987986,-0.0255776314042394,64117679.0,58438152.0,5568151552.0,none,92.31,,REJECTED,FCF_MARGIN_TOO_NEGATIVE,FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Diagnostics & Research,common_stock,True,2704750080.0,16.9,1933823.0,1933823.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,32681608.7,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Diagnostics & Research,United States,295407008.0,-0.27099,0.0545099627426577,0.3408651044114685,,0.351,0.43713,-0.16816999,-29786000.0,16102625.0,208180992.0,218334000.0,-10153008.0,92.838,3.354,,,-66.04445,-89.656,9.047657,0.0060247598756072,160044392.0,125303556.0,2672741376.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AEHR,Aehr Test Systems - Common Stock,NASDAQ,USA,North America,USD,Technology,Semiconductor Equipment & Materials,common_stock,True,3096572672.0,98.45,2939947.0,2939947.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,289437782.15000004,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Semiconductor Equipment & Materials,United States,45255000.0,-0.41006002,-0.1646586012595293,2.254024144869215,,-0.437,0.30724,-0.25226,-11928000.0,-7451625.0,10025000.0,36911000.0,-26886000.0,7.223,10.97,,,637.2,-249.783,66.430275,-0.0024786681840267,31453254.0,28408894.0,3006301952.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Infrastructure,common_stock,True,1553985024.0,23.01,1888300.0,1888300.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,43449783.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Software - Infrastructure,United States,20973000.0,-5.61099,-3.2311184856720545,-0.0200948046425927,,0.859,0.0463,0.0,-126998000.0,-67766248.0,102056000.0,99504000.0,2552000.0,,4.095,,,-14.993507,-11.482,74.35216,-0.04345695730271,67535203.0,36065654.0,1559387776.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AGNT,"eXp World Holdings, Inc. - Common Stock",NASDAQ,USA,North America,USD,Real Estate,Real Estate Services,common_stock,True,780538624.0,4.75,1158055.0,1158055.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,5500761.25,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,True,,2026-06-09,EQUITY,Real Estate,Real Estate Services,United States,4822945792.0,-0.00874,0.0197091678197323,11.572619611558505,,0.053,0.069,-0.00348,-10555000.0,95056248.0,0.0,122149000.0,-122149000.0,,1.556,,,13.514286,-62.066,0.16115715,0.1222978241707298,164323924.0,97195958.0,777252160.0,none,92.31,,REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,USA,North America,USD,Technology,Semiconductors,common_stock,True,1582775552.0,34.28,786230.0,786230.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,26951964.4,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Semiconductors,United States,76983000.0,-0.38001,0.2645389241780653,1.0362110549443289,,0.387,0.88804,-0.44924,-30267000.0,20365000.0,6740000.0,38103000.0,-31363000.0,260.131,0.728,,,220.375,-52.753,21.147839,0.0125090288591704,46171982.0,36305491.0,1628024064.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,USA,North America,USD,Basic Materials,Other Industrial Metals & Mining,common_stock,True,4627829760.0,16.31,5375207.0,5375207.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,87669626.16999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Basic Materials,Other Industrial Metals & Mining,United States,50006000.0,0.08831,-1.1914145502539697,4.137672561722991,,2.212,0.31278,-2.65078,-22844000.0,-59577876.0,165332000.0,259852992.0,-94520992.0,46.33,2.447,,,10.775584,-196.364,93.339874,-0.0127642612501036,283741849.0,214094107.0,4667553792.0,none,92.31,,REJECTED,FCF_MARGIN_TOO_NEGATIVE,FCF_MARGIN_TOO_NEGATIVE|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALMR,"Alamar Biosciences, Inc. - Class A common stock",NASDAQ,USA,North America,USD,Healthcare,Medical Devices,common_stock,True,1423651840.0,20.54,425218.0,425218.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,8733977.719999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Medical Devices,United States,87155000.0,-0.47425,,-1.2767025089605737,,0.989,0.57109,-0.49894002,-32085000.0,,105549000.0,64586000.0,40963000.0,185.418,5.883,,,-27.297789,-50.099,15.27701,,69311186.0,40314158.0,1331467776.0,none,76.92,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ALOY,REalloys Inc. - Common Stock,NASDAQ,USA,North America,USD,Basic Materials,Other Industrial Metals & Mining,common_stock,True,763944384.0,12.48,1856447.0,1856447.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,23168458.56,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Basic Materials,Other Industrial Metals & Mining,United States,800000.0,-391.5096,-26.2809375,0.0292081691150125,,,-0.1325,0.0,-69775000.0,-21024750.0,786000.0,2824000.0,-2038000.0,2.105,5.387,,,-54.500004,-11.591,1084.2441,-0.0242389494992677,61213498.0,22868453.0,867395264.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Drug Manufacturers - Specialty & Generic,common_stock,True,1481001728.0,13.32,1076168.0,1076168.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,14334557.76,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,United States,,0.0,,1.7263035264483628,,,0.0,0.0,-158800000.0,-71515872.0,5631000.0,279768000.0,-274137000.0,2.061,17.852,,,-10.276462,-7.383,,-0.049439467865234,111186317.0,83528721.0,1446534016.0,none,61.54,,REJECTED,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_REVENUE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Technology,Software - Application,common_stock,True,1015863424.0,7.66,2171653.0,2171653.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,16634861.98,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Software - Application,United States,356752992.0,-0.2582,0.1482345633698287,1.8665325654677825,,0.169,0.7357,-0.25111,-92030000.0,52883124.0,10148000.0,181924992.0,-171776992.0,4.67,1.515,,,52.97377,-8.466,2.6653736,0.0556149293286219,103867086.0,96399604.0,950880000.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
APLD,Applied Digital Corporation - Common Stock,NASDAQ,USA,North America,USD,Technology,Information Technology Services,common_stock,True,11322188800.0,39.62,21877955.0,21877955.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,866804577.0999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Technology,Information Technology Services,United States,319262016.0,-0.20466,-4.688673418638063,78.8953705861201,,1.393,0.45409,-0.59472,13905000.0,-1496915328.0,2827480064.0,1730439936.0,1097040128.0,110.128,2.382,,,-43.1,991.305,36.649624,-0.1279323696166706,285769539.0,253863370.0,11700833280.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ARKO,ARKO Corp. - Common Stock,NASDAQ,USA,North America,USD,Consumer Cyclical,Specialty Retail,common_stock,True,840271040.0,7.49,948266.0,948266.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,7102512.34,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Consumer Cyclical,Specialty Retail,United States,6487640064.0,0.0069999998,0.0019320199450571,8.169030324517243,,-0.031,0.17990999,0.0044400003,253854000.0,12534250.0,2353068032.0,279327008.0,2073741024.0,420.146,1.62,,38.05,152.2,12.181,0.13159382,0.014681691441802,112185721.0,55887561.0,853733376.0,none,92.31,,REJECTED,DEBT_TOO_HIGH,DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASPI,ASP Isotopes Inc. - Common Stock,NASDAQ,USA,North America,USD,Basic Materials,Chemicals,common_stock,True,844812160.0,6.71,5224011.0,5224011.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,35053113.81,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Basic Materials,Chemicals,United States,26927000.0,-5.9540696,-1.4791309837709363,0.4102451542763958,,2.793,0.17618,0.0,-69907000.0,-39828560.0,261836992.0,290516000.0,-28679008.0,87.566,4.388,,,-5.904882,-12.034,31.935251,-0.0463165600124677,125903447.0,97824460.0,859920512.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ASTL,Algoma Steel Group Inc. - Common Shares,NASDAQ,USA,North America,USD,Basic Materials,Steel,common_stock,True,522727552.0,4.96,1452047.0,1452047.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,7202153.12,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,True,,2026-06-09,EQUITY,Basic Materials,Steel,Canada,1865500032.0,-0.52946997,-0.1442642655500099,-1.9558233645693888,,-0.426,-0.34763,-0.60027003,-448200000.0,-269124992.0,941900032.0,65300000.0,876600032.0,272.304,2.447,,,-14.658166,-3.117,0.27907786,-0.51693194228565,105388619.0,72037337.0,520619776.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATEC,"Alphatec Holdings, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Medical Devices,common_stock,True,1230314496.0,8.0,3245530.0,3245530.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,25964240.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Medical Devices,United States,787083008.0,-0.11481,0.0693348064248898,16.30573046049852,,0.136,0.70179003,-0.15927,28404000.0,54572248.0,603059968.0,139912000.0,463147968.0,3303.352,1.899,,,13.69365,59.964,1.5455467,0.04486102595421,153789305.0,121579673.0,1216473472.0,none,92.31,,REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|DEBT_TOO_HIGH|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ATEX,Anterix Inc. - Common Stock,NASDAQ,USA,North America,USD,Communication Services,Telecom Services,common_stock,True,1248359680.0,66.64,325604.0,325604.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,21698250.56,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Communication Services,Telecom Services,United States,5932000.0,-6.18563,-6.130310182063385,0.602794797897847,,0.004,1.0,13.709201,-41291000.0,-36365000.0,4644000.0,29534000.0,-24890000.0,1.968,1.39,,15.227586,-89.51351,-29.449,209.1818,-0.0293061356663405,18732889.0,12815544.0,1240866432.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AUR,"Aurora Innovation, Inc.  - Class A Common Stock",NASDAQ,USA,North America,USD,Consumer Cyclical,Auto Parts,common_stock,True,12375191552.0,6.31,24876003.0,24876003.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,156967578.92999998,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Consumer Cyclical,Auto Parts,United States,4000000.0,-244.0,-100.437504,1.2676990442477876,,,0.0,0.0,-904000000.0,-401750016.0,79000000.0,1224999936.0,-1145999936.0,4.022,9.493,,,-14.7875185,-12.313,3069.2827,-0.0327234438861172,1653863906.0,1318909077.0,12277131264.0,none,92.31,,REJECTED,OPERATING_MARGIN_TOO_NEGATIVE,OPERATING_MARGIN_TOO_NEGATIVE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVAV,"AeroVironment, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Aerospace & Defense,common_stock,True,9408494592.0,185.92,1414766.0,1414766.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,263033294.72,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Industrials,Aerospace & Defense,United States,1610279040.0,-0.051149998,-0.1888203823357223,1.5802333916043207,,1.434,0.25004998,-0.13933,151164992.0,-304053504.0,826012992.0,587137024.0,238875968.0,19.335,5.51,,,45.790962,62.315,5.803804,-0.0325339007963774,50605071.0,37413664.0,9345743872.0,none,92.31,,REJECTED,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|FCF_MARGIN_TOO_NEGATIVE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
AVBP,"ArriVent BioPharma, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1413549056.0,30.35,532352.0,532352.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,16156883.2,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,,0.0,,,,,0.0,0.0,,-82842624.0,419000.0,326380000.0,-325961000.0,0.129,13.951,,,-8.773368,,,-0.0583178920180804,46574928.0,29777214.0,1420535296.0,none,46.15,,REJECTED,LOW_DATA_COMPLETENESS,LOW_DATA_COMPLETENESS|MISSING_REVENUE_SPECIAL_CASE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
