ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date,stage1_status,stage1_primary_reason,stage1_all_reasons,yf_success,yf_error,financial_data_date,quote_type,sector_yf,industry_yf,country_yf,revenue_ttm,operating_margin,fcf_margin,net_debt_to_ebitda,shares_dilution_3y,revenue_growth_1y,gross_margin,net_margin,ebitda,free_cash_flow,total_debt,cash,net_debt,debt_to_equity,current_ratio,interest_coverage,pe_ratio,forward_pe,ev_ebitda,price_sales,fcf_yield,shares_outstanding_fund,float_shares,market_cap_yf,special_case,data_completeness_score,revenue_growth_3y,stage2_status,stage2_primary_reason,stage2_all_reasons
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1716209664.0,5.62,5900442.0,5900442.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,33160484.04,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,Canada,79208000.0,-6.9175,-1.3306389253610746,1.967363174778526,,0.963,-1.35871,-1.81744,-188284000.0,-105397248.0,134308992.0,504732000.0,-370423008.0,14.317,14.052,,,-7.5277777,-6.823,20.896053,-0.0636789591066682,305375393.0,205322199.0,1655134592.0,none,92.31,,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ABSI,Absci Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,997792384.0,6.4,4715282.0,4715282.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,30177804.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,1836000.0,-143.46977,-22.590074074074074,1.041679191322346,,-0.818,0.0,0.0,-116437000.0,-41475376.0,4415000.0,125705000.0,-121290000.0,2.567,6.589,,,-10.1725445,-7.729,556.19727,-0.040615219728315,155905056.0,146114218.0,1021178176.0,none,92.31,,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,839535296.0,4.25,1936204.0,1936204.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,8228867.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,191444992.0,0.94412005,-0.4722329012398507,-0.5886217002325274,,100.545,0.89343,0.83950996,155136992.0,-90406624.0,3909000.0,95226000.0,-91317000.0,1.502,54.263,,5.1084337,-25.652933,4.81,4.3749375,-0.1079404912082512,197537710.0,121369144.0,837559872.0,none,92.31,,WATCHLIST,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ABVX,Abivax SA - American Depositary Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,8091386368.0,101.53,1449963.0,1449963.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,147214743.39000002,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,France,4920000.0,-41.83705,-23.266640650406504,1.8005267633580573,,0.352,1.0,0.0,-254004000.0,-114471872.0,34211000.0,491552000.0,-457341000.0,7.964,8.247,,,-35.104763,-29.894,1644.5907,-0.0141473743551186,79694535.0,58232241.0,8091386368.0,none,92.31,,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,3691845376.0,21.56,1765846.0,1765846.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,38071639.76,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,1095250048.0,-0.01722,0.1407337295090445,-8.636499768086551,,0.097,0.61579,0.34298,92707000.0,154138624.0,50794000.0,851457984.0,-800663984.0,4.07,3.587,,9.819005,24.300928,31.445,3.3926668,0.0414817419542765,171235870.0,127303595.0,3715818496.0,none,92.31,,WATCHLIST,OPERATING_MARGIN_WATCHLIST_RANGE,OPERATING_MARGIN_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Medical Care Facilities,common_stock,True,2251352832.0,24.48,2957084.0,2957084.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,72389416.32000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Medical Care Facilities,United States,3371066112.0,0.10115,-0.0643464852937301,4.310144237818508,,0.076,0.41809,-0.32839,587948992.0,-216916256.0,2692616960.0,158472000.0,2534144960.0,124.183,1.711,,,14.475933,8.628,0.69076216,-0.0931528802467603,91967027.0,85137556.0,2328604928.0,none,92.31,,WATCHLIST,FCF_MARGIN_WATCHLIST_RANGE,FCF_MARGIN_WATCHLIST_RANGE|DEBT_WATCHLIST_RANGE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,526640960.0,5.13,1304866.0,1304866.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6693962.58,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,,0.0,,0.2741354880710757,,,0.0,0.0,-52226000.0,-26947124.0,14952000.0,29269000.0,-14317000.0,140.026,2.625,,,-11.816711,-10.498,,-0.047899897010096,102659057.0,87249933.0,562571648.0,none,61.54,,WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_REVENUE_SPECIAL_CASE|MISSING_FCF_MARGIN|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,608933632.0,4.36,1762419.0,1762419.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,7684146.840000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE,True,,2026-06-09,EQUITY,Healthcare,Biotechnology,United States,8367000.0,-11.118239,-3.849752121429425,1.3181128853432569,,0.372,0.0,0.0,-78469000.0,-32210876.0,1985000.0,105416000.0,-103431000.0,1.382,4.027,,,-5.2600465,-6.442,72.778015,-0.0528971866674626,139663680.0,113205792.0,608933632.0,none,92.31,,WATCHLIST,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE,OPERATING_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|FCF_MARGIN_TOO_NEGATIVE_BUT_RECOVERABLE|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,USA,North America,USD,Financial Services,Insurance - Specialty,common_stock,True,5833915392.0,41.79,313950.0,313950.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,13119970.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Financial Services,Insurance - Specialty,United States,1241120000.0,0.72339,0.4760458424648704,,,0.017,0.73453003,0.54486,,590830016.0,744852992.0,549040000.0,195812992.0,13.939,0.966,,8.930736,8.2917,,4.6409106,0.1025759594099729,139600745.0,26566022.0,5759926784.0,none,76.92,,WATCHLIST,MISSING_NET_DEBT_TO_EBITDA,MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,USA,North America,USD,Real Estate,REIT - Mortgage,common_stock,True,806952704.0,8.98,766512.0,766512.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6883277.760000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,,True,,2026-06-09,EQUITY,Real Estate,REIT - Mortgage,United States,323403008.0,0.44512,,,,0.107,0.75,0.48081002,,,11155263488.0,210754000.0,10944509488.0,765.203,0.817,,7.6153846,8.337311,,2.4757419,,89861108.0,83861082.0,800662400.0,REIT,61.54,,WATCHLIST,DATA_COMPLETENESS_WATCHLIST_RANGE,DATA_COMPLETENESS_WATCHLIST_RANGE|MISSING_FCF_MARGIN|MISSING_NET_DEBT_TO_EBITDA|MISSING_SHARES_DILUTION_PROVIDER_LIMITATION
