ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,USA,North America,USD,Financial Services,Shell Companies,common_stock,True,290310752.0,10.49,18169.0,18169.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,190592.81,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,USA,North America,USD,Consumer Defensive,Education & Training Services,common_stock,True,47096996.0,1.09,13744.0,13744.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,14980.960000000001,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Airlines,common_stock,True,8928699392.0,13.5,67493293.0,67493293.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,911159455.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AAME,Atlantic American Corporation - Common Stock,NASDAQ,USA,North America,USD,Financial Services,Insurance - Life,common_stock,True,34063368.0,1.67,9814.0,9814.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,16389.38,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Communication Equipment,common_stock,True,14202970112.0,177.0,12310404.0,12310404.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,2178941508.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Building Products & Equipment,common_stock,True,10863130624.0,132.62,1049784.0,1049784.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,139222354.08,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1605400192.0,17.2,5363.0,5363.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,92243.59999999999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AAPL,Apple Inc. - Common Stock,NASDAQ,USA,North America,USD,Technology,Consumer Electronics,common_stock,True,4514011676672.0,307.34,44645993.0,44645993.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,13721499488.619999,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,80284296.0,3.68,228526.0,228526.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,840975.68,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
ABAT,American Battery Technology Company - Common Stock,NASDAQ,USA,North America,USD,Industrials,Waste Management,common_stock,True,424248832.0,3.11,4566960.0,4566960.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,14203245.6,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00
