field,type,requirement,purpose,availability
"identity_key","string","required","stable asset identity; primary ISIN+exchange+ticker, fallback provider key","all"
"name","string","recommended","display name","catalog"
"ticker","string","required","display and search","catalog"
"exchange","string","required","filter/group","catalog"
"mic","string","nullable","normalized market identifier","catalog"
"country","string","nullable","filter/group","catalog"
"currency","string","nullable","filter/group","catalog"
"asset_type","string","nullable","filter/group","catalog"
"instrument_type","string","nullable","detail/filter","catalog"
"instrument_scope","string","nullable","scope disclosure","catalog"
"source_provider","string","required","lineage and quality disclosure","catalog"
"metadata_quality_status","enum","derived","missingness/quality badge","catalog"
"score","number","conditionally required","sort/rank only in PRODUCTION_RANKING","production"
"rank","integer","derived","computed after active filters with deterministic ties","production"
"score_components","object","conditionally required","component contribution disclosure","production"
"score_confidence","number/enum","conditionally required","coverage and confidence disclosure","production"
"formula_version","string","required with score","version pin","production"
"scored_at_utc","datetime","required with score","freshness disclosure","production"
"scoring_status","enum","required","CATALOG_AVAILABLE/DIAGNOSTIC_LOCKED/PRODUCTION_RANKING/SCORING_UNAVAILABLE","all"
