field,type,required,description
"export_schema_version","string","yes","Contract version"
"export_id","string","yes","Unique deterministic identifier"
"pack_id","string","yes","P01-P08"
"consumer_state","enum","yes","v2.27A state"
"generated_at_utc","datetime","yes","Export timestamp"
"source_pointer_path","string","yes","Operational universe pointer"
"source_pointer_sha256","sha256","yes","Pointer content pin"
"source_dataset_path","string","yes","Resolved dataset"
"source_dataset_sha256","sha256","yes","Dataset pin"
"source_rows","integer","yes","Rows before filters"
"export_rows","integer","yes","Rows written"
"filters","object","yes","Normalized filters"
"sort","array","yes","Ordered sort contract"
"columns","array","yes","Ordered columns"
"files","array","yes","Member path, bytes, rows and SHA-256"
"scoring_pointer_status","string","yes","Scoring state"
"scoring_artifact","string/null","yes","Null outside production"
"formula_version","string/null","yes","Required with score"
"safety_label","string","yes","Use constraint"
"warnings","array","yes","Coverage disclosures"
