metric,value
selected_provider,ASX
phase_type,active-pointer-decision-gate-only
decision_gate_result,APPROVE_PREPARATION_OF_ACTIVE_POINTER_UPDATE_PLAN
pointer_decision,PREPARE_ACTIVE_POINTER_UPDATE_PLAN
promoted_canonical_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
promoted_canonical_rows,42708
promoted_canonical_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
promoted_matches_source_rows,True
promoted_matches_source_sha,True
promoted_matches_source_schema,True
promoted_matches_active_schema,True
schema_column_count,33
current_active_canonical_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
current_active_canonical_rows,38287
current_active_canonical_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
active_canonical_replaced,False
active_pointer_updated,False
pointer_update_performed,False
promotion_source_dataset,outputs\full_universe_source_acquisition\expanded_universe_candidate_asx_v2_20g.csv
promotion_source_rows,42708
promotion_source_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
current_validated_candidate_rows,41392
asx_net_new_rows_vs_current_candidate,1316
uplift_vs_active_canonical_rows,4421
quality_floor_target,42000
quality_ceiling_target,45000
quality_floor_crossed,True
quality_ceiling_not_exceeded,True
rows_above_quality_floor,708
remaining_capacity_to_quality_ceiling,2292
aspirational_target,50000
rows_to_aspirational_50k,7292
critical_failed_checks,0
warning_failed_checks,0
next_phase,v2.20P - ASX Active Pointer Update Plan
full59k,DEPRECATED_DEFERRED
