check,passed,severity,detail
v2_20m_status_expected,True,critical,ASX_CONTROLLED_PROMOTED_FILE_CREATION_COMPLETED_42708_ROWS_PROMOTED_FILE_CREATED_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20n_status_expected,True,critical,ASX_PROMOTED_CANONICAL_VALIDATION_COMPLETED_42708_ROWS_PROMOTED_FILE_VALIDATED_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20o_status_expected,True,critical,ASX_ACTIVE_POINTER_DECISION_GATE_COMPLETED_POINTER_UPDATE_PLAN_APPROVED_42708_ROWS_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20o_next_phase_expected,True,critical,v2.20P - ASX Active Pointer Update Plan
v2_20o_pointer_decision_expected,True,critical,PREPARE_ACTIVE_POINTER_UPDATE_PLAN
v2_20o_pointer_update_not_performed,True,critical,pointer_update_performed=False
active_canonical_rows_expected,True,critical,active_rows=38287
promoted_canonical_rows_expected,True,critical,promoted_rows=42708
current_candidate_rows_expected,True,critical,current_rows=41392
asx_candidate_rows_expected,True,critical,asx_rows=42708
active_canonical_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
promoted_canonical_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
current_candidate_sha_expected,True,critical,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
asx_candidate_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
promoted_matches_asx_sha,True,critical,promoted=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127;asx=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
promoted_matches_asx_rows,True,critical,promoted=42708;asx=42708
promoted_schema_matches_active,True,critical,promoted_columns=33;active_columns=33
promoted_schema_matches_asx,True,critical,promoted_columns=33;asx_columns=33
schema_column_count_expected,True,critical,promoted_columns=33
quality_floor_crossed,True,critical,rows=42708;floor=42000
quality_ceiling_not_exceeded,True,critical,rows=42708;ceiling=45000
reference_inventory_completed,True,critical,inventory_rows=140
old_reference_files_detected,True,warning,old_ref_files_total=135
update_candidates_inventory_created,True,critical,update_candidate_files_total=3
historical_references_inventory_created,True,critical,historical_reference_files_total=137
active_canonical_sha_unchanged_during_plan,True,critical,active canonical SHA unchanged
promoted_canonical_sha_unchanged_during_plan,True,critical,promoted canonical SHA unchanged
plan_only,True,critical,active pointer update plan only
pointer_update_not_performed,True,critical,active_pointer_updated=False
files_not_modified,True,critical,no target files modified in this phase
file_copy_not_performed,True,critical,file_copy_performed=False
file_rename_not_performed,True,critical,file_rename_performed=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
