source_phase,provider,source_file,source_sheet,source_excel_row_number,asx_code,ticker,symbol,name,isin,security_group_code,product_description,last_price,business_date,instrument_class,include_decision,exclusion_reason,scope_confidence,context_match,duplicate_asx_code_in_extraction,duplicate_isin_in_extraction,raw_code_column,raw_name_column,raw_isin_column,raw_product_column
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,4,THISREPORTLASTUPDATEDON07082026,THISREPORTLASTUPDATEDON07082026.AX,THISREPORTLASTUPDATEDON07082026.AX,,,,,,,missing_identity,exclude,missing_name_and_isin,critical,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,7,14DAJ,14DAJ.AX,14DAJ.AX,1414 DEGREES LIMITED,AU0000435141,,OPTION EXPIRING 21-NOV-2027 EX $0.10,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,8,14DAK,14DAK.AX,14DAK.AX,1414 DEGREES LIMITED,AU0000482044,,OPTION EXPIRING 30-JUN-2028 EX $0.20,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,9,14DAL,14DAL.AX,14DAL.AX,1414 DEGREES LIMITED,AU0000482069,,OPTION EXPIRING 30-JUN-2028 EX $0.30,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,10,14DAM,14DAM.AX,14DAM.AX,1414 DEGREES LIMITED,AU0000482051,,OPTION EXPIRING 30-JUN-2029 EX $0.25,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,11,14DAN,14DAN.AX,14DAN.AX,1414 DEGREES LIMITED,AU0000482077,,OPTION EXPIRING 30-JUN-2029 EX $0.30,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12,14DAO,14DAO.AX,14DAO.AX,1414 DEGREES LIMITED,AU0000482085,,OPTION EXPIRING 30-JUN-2029 EX $0.40,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,13,14DAP,14DAP.AX,14DAP.AX,1414 DEGREES LIMITED,AU0000482093,,OPTION EXPIRING 30-JUN-2029 EX $0.50,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,14,14DAQ,14DAQ.AX,14DAQ.AX,1414 DEGREES LIMITED,AU0000482101,,OPTION EXPIRING 30-JUN-2030 EX $0.50,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,15,14DO,14DO.AX,14DO.AX,1414 DEGREES LIMITED,AU0000476731,,OPTION EXPIRING 09-JUL-2030,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,16,14DOA,14DOA.AX,14DOA.AX,1414 DEGREES LIMITED,AU0000452963,COP,OPTION EXPIRING 29-JAN-2028,0.05,30/06/2026,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,18,29MAA,29MAA.AX,29MAA.AX,29METALS LIMITED,AU0000160848,,PERFORMANCE RIGHTS,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,20,T3DAK,T3DAK.AX,T3DAK.AX,333D LIMITED,AU0000211757,,PERFORMANCE RIGHTS,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,24,TDOAD,TDOAD.AX,TDOAD.AX,3D ENERGI LIMITED,AU0000449183,,OPTION EXPIRING 24-DEC-2026 EX $0.18,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,25,TDOAE,TDOAE.AX,TDOAE.AX,3D ENERGI LIMITED,AU0000458267,,OPTION EXPIRING 26-FEB-2027 EX $0.18,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,26,TDOO,TDOO.AX,TDOO.AX,3D ENERGI LIMITED,AU0000458127,COP,OPTION EXPIRING 27-FEB-2028,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,28,3PLAE,3PLAE.AX,3PLAE.AX,3P LEARNING LIMITED..,AU0000209231,,SHARE APPRECIATION RIGHTS,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,30,49MAD,49MAD.AX,49MAD.AX,49 METALS LIMITED,AU0000462723,,ORDINARY FULLY PAID RESTRICTED,,,non_standard_asx_code_length,exclude,non_standard_asx_code_length_5,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,31,49MAE,49MAE.AX,49MAE.AX,49 METALS LIMITED,AU0000462731,,ORDINARY FULLY PAID RESTRICTED,,,non_standard_asx_code_length,exclude,non_standard_asx_code_length_5,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,32,49MAF,49MAF.AX,49MAF.AX,49 METALS LIMITED,AU0000462756,,ORDINARY FULLY PAID RESTRICTED,,,non_standard_asx_code_length,exclude,non_standard_asx_code_length_5,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,33,49MAG,49MAG.AX,49MAG.AX,49 METALS LIMITED,AU0000462780,,OPTION EXPIRING 28-FEB-2029 RESTRICTED,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,34,49MAH,49MAH.AX,49MAH.AX,49 METALS LIMITED,AU0000462806,,OPTION EXPIRING 28-JAN-2031 RESTRICTED,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,35,49MAI,49MAI.AX,49MAI.AX,49 METALS LIMITED,AU0000462822,,PERFORMANCE RIGHTS RESTRICTED,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,37,4DXAAA,4DXAAA.AX,4DXAAA.AX,4DMEDICAL LIMITED,AU0000447518,,OPTION EXPIRING 28-NOV-2029 EX $0.8448,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,38,4DXAG,4DXAG.AX,4DXAG.AX,4DMEDICAL LIMITED,AU0000099558,,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,39,4DXAJ,4DXAJ.AX,4DXAJ.AX,4DMEDICAL LIMITED,AU0000099582,,OPTION EXPIRING 15-MAR-2027 EX $1.20,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,40,4DXAW,4DXAW.AX,4DXAW.AX,4DMEDICAL LIMITED,AU0000304602,,OPTION EXPIRING 03-NOV-2027 EX $1.60,,,excluded_non_core_instrument,exclude,derivative_debt_fund_or_secondary_issue_keyword,high,False,False,False,asx_code,company_name,isin_code,security_type
