source_phase,provider,source_file,source_sheet,source_excel_row_number,asx_code,ticker,symbol,name,isin,security_group_code,product_description,last_price,business_date,instrument_class,include_decision,exclusion_reason,scope_confidence,context_match,duplicate_asx_code_in_extraction,duplicate_isin_in_extraction,raw_code_column,raw_name_column,raw_isin_column,raw_product_column
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,6,14D,14D.AX,14D.AX,1414 DEGREES LIMITED,AU0000010696,EQY,ORDINARY FULLY PAID,0.09,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,17,29M,29M.AX,29M.AX,29METALS LIMITED,AU0000157067,EQY,ORDINARY FULLY PAID,0.255,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,19,T3D,T3D.AX,T3D.AX,333D LIMITED,AU000000T3D6,EQY,ORDINARY FULLY PAID,0.04,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,21,TCF,TCF.AX,TCF.AX,360 CAPITAL MORTGAGE REIT,AU0000108771,EQY,ORDINARY UNITS FULLY PAID,5.72,30/06/2026,a_reit_equity_like,include_conditional,a_reit_equity_like_confirm_in_validation,medium,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,22,TOT,TOT.AX,TOT.AX,360 CAPITAL REIT,AU000000TOT4,EQY,FULLY PAID UNITS STAPLED SECURITIES,0.41,30/06/2026,a_reit_equity_like,include_conditional,a_reit_equity_like_confirm_in_validation,medium,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,23,TDO,TDO.AX,TDO.AX,3D ENERGI LIMITED,AU000000TDO8,EQY,ORDINARY FULLY PAID,0.08,22/01/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,27,3PL,3PL.AX,3PL.AX,3P LEARNING LIMITED..,AU0000003PL9,EQY,ORDINARY FULLY PAID,0.3,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,29,49M,49M.AX,49M.AX,49 METALS LIMITED,AU0000455057,EQY,ORDINARY FULLY PAID,0.095,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,36,4DX,4DX.AX,4DX.AX,4DMEDICAL LIMITED,AU0000095416,EQY,ORDINARY FULLY PAID,4.53,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,44,4DS,4DS.AX,4DS.AX,4DS MEMORY LIMITED,AU0000004DS8,EQY,ORDINARY FULLY PAID,0.011,24/04/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
