check,passed,severity,detail
v2_20m_status_expected,True,critical,ASX_CONTROLLED_PROMOTED_FILE_CREATION_COMPLETED_42708_ROWS_PROMOTED_FILE_CREATED_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20n_status_expected,True,critical,ASX_PROMOTED_CANONICAL_VALIDATION_COMPLETED_42708_ROWS_PROMOTED_FILE_VALIDATED_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20o_status_expected,True,critical,ASX_ACTIVE_POINTER_DECISION_GATE_COMPLETED_POINTER_UPDATE_PLAN_APPROVED_42708_ROWS_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20p_status_expected,True,critical,ASX_ACTIVE_POINTER_UPDATE_PLAN_COMPLETED_POINTER_UPDATE_READY_42708_ROWS_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20p_next_phase_expected,True,critical,v2.20Q - ASX Controlled Active Pointer Update
v2_20p_plan_decision_expected,True,critical,ACTIVE_POINTER_UPDATE_PLAN_READY_FOR_CONTROLLED_UPDATE
v2_20p_pointer_update_not_performed,True,critical,pointer_update_performed=False
planned_candidate_set_exact,True,critical,"planned=['outputs/audit/documentation_canonical_dataset_path_v2_14i.json', 'outputs/audit/eol_guard_v2_14k.json', 'tests/test_expanded_universe_post_closure_v2_14j.py']"
planned_candidate_count_expected,True,critical,planned_candidate_count=3
active_canonical_rows_expected,True,critical,active_rows=38287
promoted_canonical_rows_expected,True,critical,promoted_rows=42708
current_candidate_rows_expected,True,critical,current_rows=41392
asx_candidate_rows_expected,True,critical,asx_rows=42708
active_canonical_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
promoted_canonical_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
current_candidate_sha_expected,True,critical,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
asx_candidate_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
