check,passed,severity,detail
v2_20g_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_expanded_rebuild_candidate_v2_20g.json
v2_20h_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_expanded_validation_v2_20h.json
v2_20i_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_closure_report_v2_20i.json
v2_20j_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_candidate_promotion_decision_gate_v2_20j.json
v2_20k_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_canonical_promotion_plan_v2_20k.json
v2_20l_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_v2_20l.json
v2_20g_status_expected,True,critical,ASX_EXPANDED_REBUILD_CANDIDATE_COMPLETED_42708_ROWS_1316_NET_NEW_42K_CROSSED_45K_NOT_EXCEEDED_CANONICAL_UNCHANGED_FULL59K_DEPRECATED
v2_20h_status_expected,True,critical,ASX_EXPANDED_VALIDATION_COMPLETED_42708_ROWS_1316_ASX_NET_NEW_VALIDATED_42K_CROSSED_45K_NOT_EXCEEDED_CLOSURE_REPORT_READY_FULL59K_DEPRECATED
v2_20i_status_expected,True,critical,ASX_CLOSURE_REPORT_COMPLETED_42708_ROWS_1316_ASX_NET_NEW_42K_TARGET_ACHIEVED_45K_CEILING_RESPECTED_CANONICAL_PROMOTION_DECISION_READY_FULL59K_DEPRECATED
v2_20j_status_expected,True,critical,ASX_CANDIDATE_PROMOTION_DECISION_GATE_COMPLETED_PROMOTION_RECOMMENDED_42708_ROWS_42K_ACHIEVED_CANONICAL_UNCHANGED_FULL59K_DEPRECATED
v2_20k_status_expected,True,critical,ASX_CANONICAL_PROMOTION_PLAN_COMPLETED_DRY_RUN_READY_42708_ROWS_CANONICAL_UNCHANGED_FULL59K_DEPRECATED
v2_20l_status_expected,True,critical,ASX_CANONICAL_PROMOTION_DRY_RUN_COMPLETED_PROMOTION_EXECUTION_READY_42708_ROWS_CANONICAL_UNCHANGED_PROMOTED_FILE_NOT_CREATED_FULL59K_DEPRECATED
v2_20l_next_phase_expected,True,critical,v2.20M - ASX Controlled Promoted File Creation
v2_20l_dry_run_decision_expected,True,critical,PROMOTION_DRY_RUN_PASSED_EXECUTION_READY
v2_20l_promoted_file_not_created,True,critical,promoted_file_created=False
v2_20l_active_pointer_not_updated,True,critical,active_pointer_updated=False
source_candidate_exists,True,critical,outputs\full_universe_source_acquisition\expanded_universe_candidate_asx_v2_20g.csv
active_canonical_exists,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
promoted_target_absent_before_creation,True,critical,target_exists_before=False
active_canonical_rows_expected_before,True,critical,active_canonical_rows=38287
pre_hkex_current_candidate_rows_expected_before,True,critical,pre_hkex_rows=40996
current_validated_candidate_rows_expected_before,True,critical,current_validated_rows=41392
asx_validated_candidate_rows_expected_before,True,critical,asx_validated_rows=42708
active_canonical_sha_expected_before,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
pre_hkex_current_candidate_sha_expected_before,True,critical,05047f03058c6d3d200b70f5f6e28e313dd9a98018b8ac44ea449989773c3aa2
current_validated_candidate_sha_expected_before,True,critical,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
asx_validated_candidate_sha_expected_before,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
schema_column_count_expected_before,True,critical,asx_columns=33
schema_matches_active_canonical_before,True,critical,schema_matches_active_canonical=True
schema_matches_current_candidate_before,True,critical,schema_matches_current_candidate=True
copy_performed,True,critical,copy_performed=True
promoted_target_exists_after_creation,True,critical,target_exists_after=True
promoted_rows_expected,True,critical,promoted_rows=42708
promoted_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
promoted_rows_match_source,True,critical,promoted=42708;source=42708
promoted_sha_matches_source,True,critical,promoted=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127;source=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
promoted_schema_matches_source,True,critical,schema_matches_source=True
promoted_column_count_expected,True,critical,promoted_columns=33
active_canonical_rows_unchanged,True,critical,before=38287;after=38287
pre_hkex_current_candidate_rows_unchanged,True,critical,before=40996;after=40996
current_validated_candidate_rows_unchanged,True,critical,before=41392;after=41392
asx_validated_candidate_rows_unchanged,True,critical,before=42708;after=42708
