check,passed,severity,detail
v2_20m_status_expected,True,critical,ASX_CONTROLLED_PROMOTED_FILE_CREATION_COMPLETED_42708_ROWS_PROMOTED_FILE_CREATED_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20n_status_expected,True,critical,ASX_PROMOTED_CANONICAL_VALIDATION_COMPLETED_42708_ROWS_PROMOTED_FILE_VALIDATED_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20o_status_expected,True,critical,ASX_ACTIVE_POINTER_DECISION_GATE_COMPLETED_POINTER_UPDATE_PLAN_APPROVED_42708_ROWS_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20p_status_expected,True,critical,ASX_ACTIVE_POINTER_UPDATE_PLAN_COMPLETED_POINTER_UPDATE_READY_42708_ROWS_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20q_status_expected,True,critical,ASX_CONTROLLED_ACTIVE_POINTER_UPDATE_COMPLETED_3_FILES_UPDATED_42708_ROWS_CANONICAL_UNCHANGED_FULL59K_DEPRECATED
v2_20r_status_expected,True,critical,ASX_ACTIVE_POINTER_UPDATE_VALIDATION_COMPLETED_3_FILES_VALIDATED_42708_ROWS_POINTERS_ACTIVE_ROLLBACK_AVAILABLE_FULL59K_DEPRECATED
v2_20s_status_expected,True,critical,ASX_POST_POINTER_OPERATIONAL_READINESS_GATE_COMPLETED_OPERATIONAL_BASE_READY_42708_ROWS_ROLLBACK_AVAILABLE_SCORING_NOT_AUTHORIZED_FULL59K_DEPRECATED
v2_20s_next_phase_expected,True,critical,v2.20T - Final ASX Promotion Closure Report
v2_20s_readiness_decision_expected,True,critical,PROMOTED_CANONICAL_OPERATIONAL_BASE_READY_FOR_FINAL_CLOSURE
v2_20s_operational_base_ready,True,critical,operational_base_ready=True
v2_20s_provider_expansion_frozen,True,critical,provider_expansion_frozen=True
v2_20s_scoring_not_authorized,True,critical,scoring_authorized=False
v2_20s_openai_not_authorized,True,critical,openai_authorized=False
v2_20s_broker_not_authorized,True,critical,broker_authorized=False
