metric,value
selected_provider,ASX
phase_type,final-asx-promotion-closure-report-only
closure_decision,ASX_PROMOTION_CLOSED_PROMOTED_CANONICAL_RECOGNIZED_AS_OPERATIONAL_BASE_SCORING_DEFERRED
asx_promotion_closed,True
operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
operational_base_rows,42708
operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
previous_candidate_dataset,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv
previous_candidate_rows,41392
previous_candidate_sha,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
controlled_pointer_files_validated,3
controlled_pointer_files_with_old_refs,0
controlled_pointer_files_with_new_refs,3
quality_floor_target,42000
quality_ceiling_target,45000
quality_floor_crossed,True
quality_ceiling_not_exceeded,True
rows_above_quality_floor,708
remaining_capacity_to_quality_ceiling,2292
aspirational_target,50000
rows_to_aspirational_50k,7292
provider_expansion_frozen,True
scoring_authorized,False
openai_authorized,False
broker_authorized,False
full59k,DEPRECATED_DEFERRED
canonical_dataset_modified,False
active_canonical_replaced,False
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.21A - Post-ASX Explicit Scoring Decision Gate
