check,passed,severity,detail
v2_20n_status_expected,True,critical,ASX_PROMOTED_CANONICAL_VALIDATION_COMPLETED_42708_ROWS_PROMOTED_FILE_VALIDATED_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20o_status_expected,True,critical,ASX_ACTIVE_POINTER_DECISION_GATE_COMPLETED_POINTER_UPDATE_PLAN_APPROVED_42708_ROWS_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20p_status_expected,True,critical,ASX_ACTIVE_POINTER_UPDATE_PLAN_COMPLETED_POINTER_UPDATE_READY_42708_ROWS_CANONICAL_UNCHANGED_POINTER_UNCHANGED_FULL59K_DEPRECATED
v2_20q_status_expected,True,critical,ASX_CONTROLLED_ACTIVE_POINTER_UPDATE_COMPLETED_3_FILES_UPDATED_42708_ROWS_CANONICAL_UNCHANGED_FULL59K_DEPRECATED
v2_20r_status_expected,True,critical,ASX_ACTIVE_POINTER_UPDATE_VALIDATION_COMPLETED_3_FILES_VALIDATED_42708_ROWS_POINTERS_ACTIVE_ROLLBACK_AVAILABLE_FULL59K_DEPRECATED
v2_20r_next_phase_expected,True,critical,v2.20S - Post-Pointer Operational Readiness Gate
v2_20r_validation_decision_expected,True,critical,ACTIVE_POINTER_UPDATE_VALIDATED_READY_FOR_OPERATIONAL_READINESS_GATE
v2_20r_pointer_update_validated,True,critical,pointer_update_validated=True
v2_20r_validated_target_files_expected,True,critical,validated_target_files=3
v2_20r_no_old_refs_in_targets,True,critical,target_files_with_old_refs=0
v2_20r_new_refs_in_targets,True,critical,target_files_with_new_refs=3
v2_20r_no_target_sha_drift,True,critical,target_files_with_sha_drift=0
v2_20r_historical_preserved,True,critical,historical_changed=0
rollback_rows_expected,True,critical,rollback_rows=38287
promoted_rows_expected,True,critical,promoted_rows=42708
asx_rows_expected,True,critical,asx_rows=42708
current_rows_expected,True,critical,current_rows=41392
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
promoted_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
asx_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
current_sha_expected,True,critical,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
promoted_matches_asx_rows,True,critical,promoted=42708;asx=42708
promoted_matches_asx_sha,True,critical,promoted=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127;asx=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
promoted_schema_matches_rollback,True,critical,promoted_columns=33;rollback_columns=33
promoted_schema_matches_asx,True,critical,promoted_columns=33;asx_columns=33
promoted_schema_matches_current_candidate,True,critical,promoted_columns=33;current_columns=33
schema_column_count_expected,True,critical,promoted_columns=33
quality_floor_crossed,True,critical,rows=42708;floor=42000
quality_ceiling_not_exceeded,True,critical,rows=42708;ceiling=45000
pointer_file_exists::outputs/audit/documentation_canonical_dataset_path_v2_14i.json,True,critical,outputs\audit\documentation_canonical_dataset_path_v2_14i.json
pointer_file_no_old_refs::outputs/audit/documentation_canonical_dataset_path_v2_14i.json,True,critical,old_refs=0
pointer_file_has_new_ref::outputs/audit/documentation_canonical_dataset_path_v2_14i.json,True,critical,new_refs=1
pointer_file_validated::outputs/audit/documentation_canonical_dataset_path_v2_14i.json,True,critical,validated=True
pointer_file_exists::outputs/audit/eol_guard_v2_14k.json,True,critical,outputs\audit\eol_guard_v2_14k.json
pointer_file_no_old_refs::outputs/audit/eol_guard_v2_14k.json,True,critical,old_refs=0
pointer_file_has_new_ref::outputs/audit/eol_guard_v2_14k.json,True,critical,new_refs=1
pointer_file_validated::outputs/audit/eol_guard_v2_14k.json,True,critical,validated=True
pointer_file_exists::tests/test_expanded_universe_post_closure_v2_14j.py,True,critical,tests\test_expanded_universe_post_closure_v2_14j.py
pointer_file_no_old_refs::tests/test_expanded_universe_post_closure_v2_14j.py,True,critical,old_refs=0
pointer_file_has_new_ref::tests/test_expanded_universe_post_closure_v2_14j.py,True,critical,new_refs=1
pointer_file_validated::tests/test_expanded_universe_post_closure_v2_14j.py,True,critical,validated=True
pointer_files_validated_expected,True,critical,pointer_files_validated=3
pointer_files_with_old_refs_expected_zero,True,critical,pointer_files_with_old_refs=0
pointer_files_with_new_refs_expected_three,True,critical,pointer_files_with_new_refs=3
operational_readiness_gate_all_passed,True,critical,readiness_failed=0
readiness_gate_only,True,critical,post-pointer operational readiness gate only
file_edit_not_performed,True,critical,file_edit_performed=False
file_copy_not_performed,True,critical,file_copy_performed=False
file_rename_not_performed,True,critical,file_rename_performed=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
scoring_not_authorized,True,critical,scoring_authorized=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
