artifact,path,rows,sha256,role
v2.23a_input,outputs\full_universe_source_acquisition\scoring_model_calibration_roadmap_v2_23a.json,1,9e6dbaefbe95fac4656c214ef9201c341ce38a5658cd0989f51770306e65417a,input_phase_report
v2.23b_input,outputs\full_universe_source_acquisition\metadata_coverage_improvement_plan_v2_23b.json,1,c3d74b1e81eac10517f63e260c6277d4d5870407d76f461687978e31a61761d3,input_phase_report
v2.23c_input,outputs\full_universe_source_acquisition\scoring_calibration_data_design_v2_23c.json,1,fcdf106c3e7c371cd300de418dee6c852015294e0f37a537a82682b1a2f42243,input_phase_report
v2.23d_input,outputs\full_universe_source_acquisition\scoring_formula_redesign_dry_run_v2_23d.json,1,9fc79ee60d4272e50e5868bd3265243d99c32cfa31a29eb515f21ef2d53b8491,input_phase_report
v2.23e_input,outputs\full_universe_source_acquisition\calibration_review_freeze_decision_v2_23e.json,1,aea0473df5cfb6daf3f619bc6c637fa0c0018cd6cf6d7b3cd4ab19f6542a9bc2,input_phase_report
current_operational_pointer_input,outputs\full_universe_source_acquisition\current_operational_universe_pointer.json,1,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4,input_pointer_no_modification
current_dataset_input,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv,43089,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707,input_dataset_no_modification
legacy_dry_run_scores_input,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv,33498,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1,input_legacy_scores_no_modification
redesigned_dry_run_scores_input,outputs\full_universe_source_acquisition\scoring_formula_redesign_dry_run_scores_v2_23d.csv,33498,096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb,input_redesigned_scores_no_modification_not_promoted
phase_rollup_output,outputs\full_universe_source_acquisition\calibration_closure_report_phase_rollup_v2_23f.csv,5,b584a0e8e66a0282553dc4e080684a4fec2fa7e96dd773e0ce08e56d53e4fba4,closure_phase_rollup_output
remaining_blockers_output,outputs\full_universe_source_acquisition\calibration_closure_report_remaining_blockers_v2_23f.csv,5,67b1c00d0287b6b7264a8624ab9d56a8cdef07ff47272deda09e5cad954adef4,closure_remaining_blockers_output
handoff_to_v2_24_output,outputs\full_universe_source_acquisition\calibration_closure_report_handoff_to_v2_24_v2_23f.csv,4,42dbd5d0cbc53e793468ff030fe314f784b232f830e0c842a7424a7a74641031,closure_handoff_output
