check,passed,severity,detail
v2.23A_status_expected,True,critical,SCORING_MODEL_CALIBRATION_ROADMAP_COMPLETED_PRODUCTION_SCORING_DEFERRED
v2.23A_critical_failed_checks_zero,True,critical,critical_failed_checks=0
v2.23B_status_expected,True,critical,METADATA_COVERAGE_IMPROVEMENT_PLAN_COMPLETED_NO_DATASET_MODIFICATION
v2.23B_critical_failed_checks_zero,True,critical,critical_failed_checks=0
v2.23C_status_expected,True,critical,SCORING_CALIBRATION_DATA_DESIGN_COMPLETED_NO_LABELS_NO_SCORING_NO_PROMOTION
v2.23C_critical_failed_checks_zero,True,critical,critical_failed_checks=0
v2.23D_status_expected,True,critical,SCORING_FORMULA_REDESIGN_DRY_RUN_COMPLETED_NO_PROMOTION_NO_CANONICAL_CHANGE
v2.23D_critical_failed_checks_zero,True,critical,critical_failed_checks=0
v2.23E_status_expected,True,critical,CALIBRATION_REVIEW_FREEZE_DECISION_COMPLETED_REDESIGNED_DRY_RUN_FROZEN_NOT_PROMOTED
v2.23E_critical_failed_checks_zero,True,critical,critical_failed_checks=0
pointer_current_dataset_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
legacy_scoring_rows_expected,True,critical,legacy_rows=33498
legacy_scoring_sha_expected,True,critical,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
redesigned_scoring_rows_expected,True,critical,redesigned_rows=33498
redesigned_scoring_sha_expected,True,critical,096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb
v23e_freeze_decision_expected,True,critical,FREEZE_REDESIGNED_DRY_RUN_AS_NON_PROMOTED_REFERENCE
v23e_promotion_not_approved,True,critical,promotion_approved=False
manual_labels_not_created,True,critical,manual_labels_created=False
attractiveness_not_available,True,critical,attractiveness_score_available=False
production_scoring_not_authorized,True,critical,production_scoring_authorized=False
scoring_not_promoted,True,critical,scoring_promoted=False
canonical_dataset_not_modified,True,critical,current_sha_after=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
active_pointer_not_modified,True,critical,pointer_sha_after=61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
legacy_score_output_not_modified,True,critical,legacy_sha_after=a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
redesigned_score_output_not_modified,True,critical,redesigned_sha_after=096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb
phase_rollup_created,True,critical,phase_rollup_rows=5
remaining_blockers_created,True,critical,blockers_rows=5
handoff_created,True,critical,handoff_rows=4
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
gitignore_not_modified_by_phase,True,critical,gitignore_modified=False
git_info_exclude_not_modified_by_phase,True,critical,git_info_exclude_modified=False
