artifact,path,rows,sha256,role
formula_dry_run_input,outputs\full_universe_source_acquisition\scoring_formula_redesign_dry_run_v2_23d.json,1,9fc79ee60d4272e50e5868bd3265243d99c32cfa31a29eb515f21ef2d53b8491,input_redesigned_formula_dry_run
calibration_data_design_input,outputs\full_universe_source_acquisition\scoring_calibration_data_design_v2_23c.json,1,fcdf106c3e7c371cd300de418dee6c852015294e0f37a537a82682b1a2f42243,input_calibration_data_design
metadata_plan_input,outputs\full_universe_source_acquisition\metadata_coverage_improvement_plan_v2_23b.json,1,c3d74b1e81eac10517f63e260c6277d4d5870407d76f461687978e31a61761d3,input_metadata_plan
current_operational_pointer_input,outputs\full_universe_source_acquisition\current_operational_universe_pointer.json,1,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4,input_pointer_no_modification
current_dataset_input,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv,43089,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707,input_dataset_no_modification
legacy_dry_run_scores_input,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv,33498,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1,input_legacy_scores_no_modification
redesigned_scores_input,outputs\full_universe_source_acquisition\scoring_formula_redesign_dry_run_scores_v2_23d.csv,33498,096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb,input_redesigned_scores_no_modification_not_promoted
redesigned_distribution_input,outputs\full_universe_source_acquisition\scoring_formula_redesign_dry_run_distribution_v2_23d.csv,5,b2c0fbcb80bf40f4e2b4bc2be26dfef124d737a73acb8dfd23076db0ce9200c1,input_distribution_no_modification
redesigned_component_weights_input,outputs\full_universe_source_acquisition\scoring_formula_redesign_dry_run_component_weights_v2_23d.csv,4,eaf07cfe18fc8fbc6e32308a80ca3679040ca6405b5e1a4ec6d795d1be0b98f9,input_component_weights_no_modification
redesigned_acceptance_review_input,outputs\full_universe_source_acquisition\scoring_formula_redesign_dry_run_acceptance_review_v2_23d.csv,5,044d3d03eb315239e01d389cb53d8c278d04f517af447d5b871a2e86848071c9,input_acceptance_review_no_modification
freeze_reasons_output,outputs\full_universe_source_acquisition\calibration_review_freeze_decision_freeze_reasons_v2_23e.csv,5,2ef1116882dd5885b057d6a25b047e769c8018335982179ac2ecb356af3240f2,freeze_decision_reasons_output
promotion_blockers_output,outputs\full_universe_source_acquisition\calibration_review_freeze_decision_promotion_blockers_v2_23e.csv,5,26bb9c01fc92b2e99a16fe2a9dda66beb1a4be4f207ad5e9521921cfaa318736,promotion_blockers_output
