check,passed,severity,detail
formula_status_expected,True,critical,SCORING_FORMULA_REDESIGN_DRY_RUN_COMPLETED_NO_PROMOTION_NO_CANONICAL_CHANGE
formula_critical_failed_checks_zero,True,critical,critical_failed_checks=0
calibration_data_design_status_expected,True,critical,SCORING_CALIBRATION_DATA_DESIGN_COMPLETED_NO_LABELS_NO_SCORING_NO_PROMOTION
metadata_plan_status_expected,True,critical,METADATA_COVERAGE_IMPROVEMENT_PLAN_COMPLETED_NO_DATASET_MODIFICATION
pointer_current_dataset_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
legacy_scoring_rows_expected,True,critical,legacy_rows=33498
legacy_scoring_sha_expected,True,critical,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
redesigned_scoring_rows_expected,True,critical,redesigned_rows=33498
redesigned_scoring_sha_expected,True,critical,096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb
distribution_rows_expected,True,critical,distribution_rows=5
component_weight_rows_expected,True,critical,component_weight_rows=4
acceptance_review_rows_expected,True,critical,acceptance_review_rows=5
manual_labels_absent,True,critical,manual_labels_created=False
attractiveness_score_not_available,True,critical,attractiveness_score_available=False
attractiveness_score_not_invented,True,critical,attractiveness_score_invented=False
prior_production_scoring_not_authorized,True,critical,prior_production_scoring_authorized=False
prior_scoring_not_promoted,True,critical,prior_scoring_promoted=False
freeze_reasons_defined,True,critical,freeze_reasons=5
promotion_blockers_defined,True,critical,promotion_blockers=5
promotion_decision_false,True,critical,promotion_approved=False
production_scoring_not_authorized,True,critical,production_scoring_authorized=False
canonical_dataset_not_modified,True,critical,current_sha_after=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
redesigned_score_output_not_modified,True,critical,redesigned_sha_after=096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb
legacy_score_output_not_modified,True,critical,legacy_sha_after=a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
