raw_path,exists,family,target,source_link_text,url,status_code,content_type,bytes,sha256,parse_status,delimiter,encoding_used,row_count_excluding_header,column_count,headers_json,first_row_preview,is_tiny_file_lt_1kb,is_small_file_lt_10kb,validation_notes,symbol_candidate_headers,name_candidate_headers,mic_or_venue_candidate_headers,currency_candidate_headers,country_candidate_headers,asset_class_candidate_headers,has_symbol_like_header,has_name_like_header,has_mic_or_venue_like_header,has_currency_like_header,has_country_like_header,has_asset_class_like_header
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\001_csv.csv,True,symbols_csv_candidate,discovered_csv_001,BXE,https://accounteu.cboe.com/bxe/market_data/symbol_listing/csv/,200,text/csv,2221835,c96e9f6820e41068e2217d80fdbb1116d5743d0d3c302586e221bf7309b25513,PARSED_AS_CSV,",",utf-8-sig/errors=replace,9384,39,"[""company_name"", ""bats_name"", ""isin"", ""currency"", ""mic"", ""reuters_exchange_code"", ""lis_local"", ""live"", ""tick_type"", ""reference_price"", ""bats_prev_close"", ""live_date"", ""bloomberg_primary"", ""bloomberg_bats"", ""mifid_share"", ""asset_class"", ""matching_unit"", ""euroccp_enabled"", ""xclr_enabled"", ""lchl_enabled"", ""reuters_ric_primary"", ""reuters_ric_bats"", ""reference_adt_eur"", ""csd"", ""corporate_action_status"", ""supported_services"", ""trading_segment"", ""printed_name"", ""periodic_auction_max_duration"", ""periodic_auction_min_order_entry_size"", ""periodic_auction_min_order_entry_notional"", ""max_otr_count"", ""max_otr_volume"", ""capped"", ""venue_cap_percentage"", ""venue_uncap_date"", ""setter_size"", ""lchs_enabled"", ""retail_lpp_group""]",WisdomTree Agriculture - EUR Daily Hedged | 00XJd | JE00B78NPY84 | EUR | XETR | DE | 1000000.0000 | t | xetra_ne1 | 6.19100000 | 6.65800000 | 2014-04-04 | 00XJ GY Equity | 00XJD EB Equity | t | ETC | 7 | t | t | t | | | ,False,False,SKIPPED_METADATA_ROWS_1,bats_name|isin,company_name,mic|reuters_exchange_code|venue_cap_percentage|venue_uncap_date,currency,,asset_class,True,True,True,True,False,True
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\002_csv.csv,True,symbols_csv_candidate,discovered_csv_002,CXE,https://accounteu.cboe.com/cxe/market_data/symbol_listing/csv/,200,text/csv,2219464,9f32173c57e21e7feca5900c4a8514044dfa9114be1b35a330ee479e4edcd972,PARSED_AS_CSV,",",utf-8-sig/errors=replace,9384,39,"[""company_name"", ""bats_name"", ""isin"", ""currency"", ""mic"", ""reuters_exchange_code"", ""lis_local"", ""live"", ""tick_type"", ""reference_price"", ""bats_prev_close"", ""live_date"", ""bloomberg_primary"", ""bloomberg_bats"", ""mifid_share"", ""asset_class"", ""matching_unit"", ""euroccp_enabled"", ""xclr_enabled"", ""lchl_enabled"", ""reuters_ric_primary"", ""reuters_ric_bats"", ""reference_adt_eur"", ""csd"", ""corporate_action_status"", ""supported_services"", ""trading_segment"", ""printed_name"", ""periodic_auction_max_duration"", ""periodic_auction_min_order_entry_size"", ""periodic_auction_min_order_entry_notional"", ""max_otr_count"", ""max_otr_volume"", ""capped"", ""venue_cap_percentage"", ""venue_uncap_date"", ""setter_size"", ""lchs_enabled"", ""retail_lpp_group""]",WisdomTree Agriculture - EUR Daily Hedged | 00XJd | JE00B78NPY84 | EUR | XETR | DE | 1000000.0000 | t | xetra_ne1 | 6.19100000 | 5.92150000 | 2014-04-04 | 00XJ GY Equity | 00XJD IX Equity | t | ETC | 7 | t | t | t | | | ,False,False,SKIPPED_METADATA_ROWS_1,bats_name|isin,company_name,mic|reuters_exchange_code|venue_cap_percentage|venue_uncap_date,currency,,asset_class,True,True,True,True,False,True
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\003_csv.csv,True,symbols_csv_candidate,discovered_csv_003,DXE,https://accounteu.cboe.com/dxe/market_data/symbol_listing/csv/,200,text/csv,1371610,43af2b4c5c7aed72748e2638e43411a0a4f624f7c321d2fa4a5bf1bc0baca2a5,PARSED_AS_CSV,",",utf-8-sig/errors=replace,5731,39,"[""company_name"", ""bats_name"", ""isin"", ""currency"", ""mic"", ""reuters_exchange_code"", ""lis_local"", ""live"", ""tick_type"", ""reference_price"", ""bats_prev_close"", ""live_date"", ""bloomberg_primary"", ""bloomberg_bats"", ""mifid_share"", ""asset_class"", ""matching_unit"", ""euroccp_enabled"", ""xclr_enabled"", ""lchl_enabled"", ""reuters_ric_primary"", ""reuters_ric_bats"", ""reference_adt_eur"", ""csd"", ""corporate_action_status"", ""supported_services"", ""trading_segment"", ""printed_name"", ""periodic_auction_max_duration"", ""periodic_auction_min_order_entry_size"", ""periodic_auction_min_order_entry_notional"", ""max_otr_count"", ""max_otr_volume"", ""capped"", ""venue_cap_percentage"", ""venue_uncap_date"", ""setter_size"", ""lchs_enabled"", ""retail_lpp_group""]",WisdomTree Agriculture - EUR Daily Hedged | 00XJd | JE00B78NPY84 | EUR | XETR | DE | 1000000.0000 | t | xetra_ne1 | 6.17400000 | 6.17400000 | 2019-10-01 | 00XJ GY Equity | 00XJD I2 Equity | t | ETC | 7 | t | t | t | | | ,False,False,SKIPPED_METADATA_ROWS_1,bats_name|isin,company_name,mic|reuters_exchange_code|venue_cap_percentage|venue_uncap_date,currency,,asset_class,True,True,True,True,False,True
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\004_csv.csv,True,symbols_csv_candidate,discovered_csv_004,TRF EU,https://accounteu.cboe.com/trf/market_data/symbol_listing/csv/?jurisdiction=EU,200,text/csv,4082561,774843d8db2ae34b0606c00bab1c224825c1fe7d9ae1558abd9bf52a6c62784a,PARSED_AS_CSV,",",utf-8-sig/errors=replace,21287,39,"[""company_name"", ""bats_name"", ""isin"", ""currency"", ""mic"", ""reuters_exchange_code"", ""lis_local"", ""live"", ""tick_type"", ""reference_price"", ""bats_prev_close"", ""live_date"", ""bloomberg_primary"", ""bloomberg_bats"", ""mifid_share"", ""asset_class"", ""matching_unit"", ""euroccp_enabled"", ""xclr_enabled"", ""lchl_enabled"", ""reuters_ric_primary"", ""reuters_ric_bats"", ""reference_adt_eur"", ""csd"", ""corporate_action_status"", ""supported_services"", ""trading_segment"", ""printed_name"", ""periodic_auction_max_duration"", ""periodic_auction_min_order_entry_size"", ""periodic_auction_min_order_entry_notional"", ""max_otr_count"", ""max_otr_volume"", ""capped"", ""venue_cap_percentage"", ""venue_uncap_date"", ""setter_size"", ""lchs_enabled"", ""retail_lpp_group""]",WisdomTree Industrial Metals - EUR Daily Hedged | 00X0d | JE00B78NPW60 | EUR | XETR | DE | 1000000.0000 | t | tck_000001 | 9.40000000 | | 2024-10-29 | 00X0 GY Equity | | t | ETC | 2 | f | f | f | | | | | | MT | TDM | 00X,False,False,SKIPPED_METADATA_ROWS_1,bats_name|isin,company_name,mic|reuters_exchange_code|venue_cap_percentage|venue_uncap_date,currency,,asset_class,True,True,True,True,False,True
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\005_csv.csv,True,symbols_csv_candidate,discovered_csv_005,TRF UK,https://accounteu.cboe.com/trf/market_data/symbol_listing/csv/?jurisdiction=UK,200,text/csv,4064048,5c7f22b5a6ae0400ebcbe67a448e1b999f6cca041c0ed9eb02fa37d7bfd7890a,PARSED_AS_CSV,",",utf-8-sig/errors=replace,21287,39,"[""company_name"", ""bats_name"", ""isin"", ""currency"", ""mic"", ""reuters_exchange_code"", ""lis_local"", ""live"", ""tick_type"", ""reference_price"", ""bats_prev_close"", ""live_date"", ""bloomberg_primary"", ""bloomberg_bats"", ""mifid_share"", ""asset_class"", ""matching_unit"", ""euroccp_enabled"", ""xclr_enabled"", ""lchl_enabled"", ""reuters_ric_primary"", ""reuters_ric_bats"", ""reference_adt_eur"", ""csd"", ""corporate_action_status"", ""supported_services"", ""trading_segment"", ""printed_name"", ""periodic_auction_max_duration"", ""periodic_auction_min_order_entry_size"", ""periodic_auction_min_order_entry_notional"", ""max_otr_count"", ""max_otr_volume"", ""capped"", ""venue_cap_percentage"", ""venue_uncap_date"", ""setter_size"", ""lchs_enabled"", ""retail_lpp_group""]",WisdomTree Industrial Metals - EUR Daily Hedged | 00X0d | JE00B78NPW60 | EUR | XETR | DE | 1000000.0000 | t | tck_000001 | 9.40000000 | | 2024-10-29 | 00X0 GY Equity | | t | ETC | 2 | f | f | f | | | | | | MT | TDM | 00X,False,False,SKIPPED_METADATA_ROWS_1,bats_name|isin,company_name,mic|reuters_exchange_code|venue_cap_percentage|venue_uncap_date,currency,,asset_class,True,True,True,True,False,True
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\006_csv.csv,True,symbols_csv_candidate,discovered_csv_006,SIS,https://accounteu.cboe.com/sis/market_data/symbol_listing/csv/,200,text/csv,3658704,6e9a3b620f2b32a8b7c32b182c3ce5845c57762c35e3144e835580e82d3d45cc,PARSED_AS_CSV,",",utf-8-sig/errors=replace,21170,39,"[""company_name"", ""bats_name"", ""isin"", ""currency"", ""mic"", ""reuters_exchange_code"", ""lis_local"", ""live"", ""tick_type"", ""reference_price"", ""bats_prev_close"", ""live_date"", ""bloomberg_primary"", ""bloomberg_bats"", ""mifid_share"", ""asset_class"", ""matching_unit"", ""euroccp_enabled"", ""xclr_enabled"", ""lchl_enabled"", ""reuters_ric_primary"", ""reuters_ric_bats"", ""reference_adt_eur"", ""csd"", ""corporate_action_status"", ""supported_services"", ""trading_segment"", ""printed_name"", ""periodic_auction_max_duration"", ""periodic_auction_min_order_entry_size"", ""periodic_auction_min_order_entry_notional"", ""max_otr_count"", ""max_otr_volume"", ""capped"", ""venue_cap_percentage"", ""venue_uncap_date"", ""setter_size"", ""lchs_enabled"", ""retail_lpp_group""]",WisdomTree Industrial Metals - EUR Daily Hedged | 00X0d | JE00B78NPW60 | EUR | XETR | DE | 1000000.0000 | t | tck_000001 | | | 2024-10-29 | 00X0 GY Equity | | t | ETC | 7 | f | f | f | | | | | | OT | SIS | 00X0d | | | | ,False,False,SKIPPED_METADATA_ROWS_1,bats_name|isin,company_name,mic|reuters_exchange_code|venue_cap_percentage|venue_uncap_date,currency,,asset_class,True,True,True,True,False,True
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\007_enhanced_csv.csv,True,live_symbols_enhanced_csv,discovered_csv_007,BXE,https://accounteu.cboe.com/bxe/market_data/symbol_listing/enhanced_csv/,200,text/html; charset=utf-8,3960,9d936aa5a6d5f067191c7e9fa9158a2461a9ee8c7b35512086784b70959dd2bb,PARSED_AS_CSV,",",utf-8-sig/errors=replace,51,1,"[""<!DOCTYPE html>""]","<html lang=""en-gb"">",False,True,SMALL_FILE_REVIEW_REQUIRED|LOW_COLUMN_COUNT|NO_SYMBOL_LIKE_HEADER|NO_NAME_LIKE_HEADER,,,,,,,False,False,False,False,False,False
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\008_enhanced_csv.csv,True,live_symbols_enhanced_csv,discovered_csv_008,CXE,https://accounteu.cboe.com/cxe/market_data/symbol_listing/enhanced_csv/,200,text/html; charset=utf-8,3960,9d936aa5a6d5f067191c7e9fa9158a2461a9ee8c7b35512086784b70959dd2bb,PARSED_AS_CSV,",",utf-8-sig/errors=replace,51,1,"[""<!DOCTYPE html>""]","<html lang=""en-gb"">",False,True,SMALL_FILE_REVIEW_REQUIRED|LOW_COLUMN_COUNT|NO_SYMBOL_LIKE_HEADER|NO_NAME_LIKE_HEADER,,,,,,,False,False,False,False,False,False
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\009_enhanced_csv.csv,True,live_symbols_enhanced_csv,discovered_csv_009,DXE,https://accounteu.cboe.com/dxe/market_data/symbol_listing/enhanced_csv/,200,text/html; charset=utf-8,3960,9d936aa5a6d5f067191c7e9fa9158a2461a9ee8c7b35512086784b70959dd2bb,PARSED_AS_CSV,",",utf-8-sig/errors=replace,51,1,"[""<!DOCTYPE html>""]","<html lang=""en-gb"">",False,True,SMALL_FILE_REVIEW_REQUIRED|LOW_COLUMN_COUNT|NO_SYMBOL_LIKE_HEADER|NO_NAME_LIKE_HEADER,,,,,,,False,False,False,False,False,False
outputs\full_universe_source_acquisition\raw\cboe_europe_v2_11c\csv\010_enhanced_csv.csv,True,live_symbols_enhanced_csv,discovered_csv_010,TRF EU,https://accounteu.cboe.com/trf/market_data/symbol_listing/enhanced_csv/?jurisdiction=EU,200,text/html; charset=utf-8,3960,9d936aa5a6d5f067191c7e9fa9158a2461a9ee8c7b35512086784b70959dd2bb,PARSED_AS_CSV,",",utf-8-sig/errors=replace,51,1,"[""<!DOCTYPE html>""]","<html lang=""en-gb"">",False,True,SMALL_FILE_REVIEW_REQUIRED|LOW_COLUMN_COUNT|NO_SYMBOL_LIKE_HEADER|NO_NAME_LIKE_HEADER,,,,,,,False,False,False,False,False,False
