check,passed,severity,detail
colombia_discovery_status_expected,True,critical,COLOMBIA_REGULATORY_DISCOVERY_EXTRACTION_DECISION_COMPLETED_STRUCTURED_SOURCE_READY_EXTRACTION_APPROVED_NO_DATASET_CHANGES_SCORING_DEFERRED
colombia_structured_extraction_approved,True,critical,approved_for_colombia_structured_extraction=True
singapore_promotion_status_expected,True,critical,SINGAPORE_PROMOTION_FREEZE_DECISION_COMPLETED_PROMOTED_ARTIFACT_READY_POINTER_NOT_UPDATED_SCORING_DEFERRED
operational_base_rows_expected,True,critical,operational_rows=42708
operational_base_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
singapore_promoted_rows_expected,True,critical,singapore_promoted_rows=43066
singapore_promoted_sha_expected,True,critical,8b6aa52eca0b7e5625aaeb8875d3806157fe30f7595cd698b5d0071ea2187c2f
schema_column_count_expected,True,critical,columns=33
structured_sources_available,True,critical,structured_sources=8
raw_candidate_rows_seen,True,critical,raw_candidate_rows_seen=36
raw_candidates_accepted_by_quality_available,True,warning,raw_candidates_accepted_by_quality=27
eligible_colombia_candidates_available,True,warning,eligible_new_candidates=23
candidate_dataset_created_if_eligible,True,critical,candidate_dataset_created=True;eligible=23
candidate_dataset_under_quality_ceiling,True,critical,candidate_dataset_rows=43089;ceiling=45000
candidate_dataset_above_quality_floor,True,critical,candidate_dataset_rows=43089;floor=42000
candidate_rows_equal_singapore_plus_eligible_if_created,True,critical,candidate_rows=43089;base_plus_eligible=43089
singapore_promoted_artifact_not_modified,True,critical,Singapore promoted artifact SHA unchanged
operational_base_not_modified,True,critical,operational base SHA unchanged
rollback_not_modified,True,critical,rollback SHA unchanged
candidate_dataset_not_promoted,True,critical,colombia_candidate_dataset_promoted=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
pointer_update_not_performed,True,critical,pointer_update_performed=False
scoring_not_authorized,True,critical,scoring_authorized=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
