candidate_id,market_id,country,country_code,exchange,mic,currency,source_id,source_class,table_index,row_index,title,symbol,isin,code_ann,issue_number,inscrito_en,bvc_date,rnve_date,tipo_inscripcion,moneda_source,instrument_bucket,accepted_by_quality,quality_reason,raw_payload
CO_SFC_VALORES_INSCRITOS_007_001_1_1,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,1,ACE BANCOLOMBIA S.A.,COB07CAR0019,COB07CAR0019,COB07CAR0019,198705,BVC,20/05/1987,20/05/1987,AUT,N/A,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""ACE BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CAR0019"", ""No. Emisión"": ""198705"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""20/05/1987"", ""Inscrito BVC Fecha"": ""20/05/1987"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_2,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,2,BGG BANCOLOMBIA (ANTES CORFINSURA),COB07CBBG004,COB07CBBG004,COB07CBBG004,199911,BVC,02/02/2000,24/11/1999,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BGG BANCOLOMBIA (ANTES CORFINSURA)"", ""Código ANN"": ""COB07CBBG004"", ""No. Emisión"": ""199911"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""24/11/1999"", ""Inscrito BVC Fecha"": ""02/02/2000"", ""Monto Autorizado"": ""200.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_3,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,3,BGG BANCOLOMBIA (ANTES CORFINSURA),COB07CBBG012,COB07CBBG012,COB07CBBG012,200209,BVC,29/05/2003,17/09/2002,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BGG BANCOLOMBIA (ANTES CORFINSURA)"", ""Código ANN"": ""COB07CBBG012"", ""No. Emisión"": ""200209"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""17/09/2002"", ""Inscrito BVC Fecha"": ""29/05/2003"", ""Monto Autorizado"": ""1.500.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_4,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,4,BO 2DA. EMISIÓN PEC BANCOLOMBIA S.A.,COB07CBBO198,COB07CBBO198,COB07CBBO198,201805,BVC,08/09/2021,09/09/2021,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BO 2DA. EMISIÓN PEC BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO198"", ""No. Emisión"": ""201805"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""09/09/2021"", ""Inscrito BVC Fecha"": ""08/09/2021"", ""Monto Autorizado"": ""600.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_5,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,5,BO 5TO. TRAMO DEL PEC LEASING BANCOLOMBIA HOY BANCOLOMBIA,COJ49CBBO095,COJ49CBBO095,COJ49CBBO095,201105,BVC,15/07/2014,16/07/2014,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BO 5TO. TRAMO DEL PEC LEASING BANCOLOMBIA HOY BANCOLOMBIA"", ""Código ANN"": ""COJ49CBBO095"", ""No. Emisión"": ""201105"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""16/07/2014"", ""Inscrito BVC Fecha"": ""15/07/2014"", ""Monto Autorizado"": ""400.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_6,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,6,BO BANCOLOMBIA S.A.,COB07CBBO015,COB07CBBO015,COB07CBBO015,200401,BVC,09/02/2004,23/01/2004,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BO BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO015"", ""No. Emisión"": ""200401"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""23/01/2004"", ""Inscrito BVC Fecha"": ""09/02/2004"", ""Monto Autorizado"": ""400.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_8,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,8,BO MSE 2DO TRAMO BANCOLOMBIA S.A.,COB07CBBO099,COB07CBBO099,COB07CBBO099,201002,BVC,22/07/2011,22/07/2011,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BO MSE 2DO TRAMO BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO099"", ""No. Emisión"": ""201002"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""22/07/2011"", ""Inscrito BVC Fecha"": ""22/07/2011"", ""Monto Autorizado"": ""800.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_9,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,9,BO MSE 3ER TRAMO BANCOLOMBIA S.A.,COB07CBBO106,COB07CBBO106,COB07CBBO106,201002,BVC,26/10/2011,26/10/2011,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BO MSE 3ER TRAMO BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO106"", ""No. Emisión"": ""201002"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""26/10/2011"", ""Inscrito BVC Fecha"": ""26/10/2011"", ""Monto Autorizado"": ""600.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_13,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,13,BO SUBORDINADOS MSE 1. TRAMO BANCOLOMBIA S.A.,COB07CBBO049,COB07CBBO049,COB07CBBO049,200902,BVC,27/02/2009,06/02/2009,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BO SUBORDINADOS MSE 1. TRAMO BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO049"", ""No. Emisión"": ""200902"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""06/02/2009"", ""Inscrito BVC Fecha"": ""27/02/2009"", ""Monto Autorizado"": ""400.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AA+""}"
CO_SFC_VALORES_INSCRITOS_007_001_1_14,COLOMBIA_BVC_REGULATORY,Colombia,CO,BVC,XBOG,COP,SFC_VALORES_INSCRITOS_007_001,registered_values_page,1,14,BO. SUBORDINADO 1A. EMIS PEC BANCOLOMBIA S.A.,COB07CBBO156,COB07CBBO156,COB07CBBO156,201207,BVC,16/09/2014,01/06/2012,AUT,COP,colombia_registered_bvc_security,True,accepted_official_regulatory_bvc_registered_security,"{""Nombre del título"": ""BO. SUBORDINADO 1A. EMIS PEC BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO156"", ""No. Emisión"": ""201207"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""01/06/2012"", ""Inscrito BVC Fecha"": ""16/09/2014"", ""Monto Autorizado"": ""1.000.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AA""}"
