ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot,provider,source_phase,symbol,security_name,instrument_id,product_assignment_group_description,asset_type
COB07CAR0019,ACE BANCOLOMBIA S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CAR0019,COP,XBOG,,,,,,,,,,,,
COB07CBBG004,BGG BANCOLOMBIA (ANTES CORFINSURA),BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CBBG004,COP,XBOG,,,,,,,,,,,,
COB07CBBO198,BO 2DA. EMISIÓN PEC BANCOLOMBIA S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CBBO198,COP,XBOG,,,,,,,,,,,,
COJ49CBBO095,BO 5TO. TRAMO DEL PEC LEASING BANCOLOMBIA HOY BANCOLOMBIA,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COJ49CBBO095,COP,XBOG,,,,,,,,,,,,
COB07CBBO015,BO BANCOLOMBIA S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CBBO015,COP,XBOG,,,,,,,,,,,,
COB07CBBO099,BO MSE 2DO TRAMO BANCOLOMBIA S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CBBO099,COP,XBOG,,,,,,,,,,,,
COB07CBBO106,BO MSE 3ER TRAMO BANCOLOMBIA S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CBBO106,COP,XBOG,,,,,,,,,,,,
COB07CBBO049,BO SUBORDINADOS MSE 1. TRAMO BANCOLOMBIA S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CBBO049,COP,XBOG,,,,,,,,,,,,
COB07CBBO156,BO. SUBORDINADO 1A. EMIS PEC BANCOLOMBIA S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CBBO156,COP,XBOG,,,,,,,,,,,,
COB07CDCD012,CDT BANCOLOMBIA S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB07CDCD012,COP,XBOG,,,,,,,,,,,,
COJ07CDCD008,CDT COMERCIA S.A. CIA. FIN. CIAL. ANTES FACTORING BANCOLOMBIA H,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COJ07CDCD008,COP,XBOG,,,,,,,,,,,,
COJ49CDCD000,CDT LEASING COLOMBIA S.A. CIA. DE FIN. CIAL. HOY BANCOLOMBIA,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COJ49CDCD000,COP,XBOG,,,,,,,,,,,,
COI04PAAO006,AO PROMIGAS S.A. E.S.P.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COI04PAAO006,COP,XBOG,,,,,,,,,,,,
COI04CBBO059,BO PEC 1ER TRAMO PROMIGAS S.. S.A. E.S.P.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COI04CBBO059,COP,XBOG,,,,,,,,,,,,
COI04CBBO067,BO PEC 2DO TRAMO PROMIGAS S.A. E.S.P.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COI04CBBO067,COP,XBOG,,,,,,,,,,,,
COI04CBBO083,BO PROMIGAS S.A. E.S.P - SEGUNDO MERCADO,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COI04CBBO083,COP,XBOG,,,,,,,,,,,,
COI04CBBO009,BO PROMIGAS S.A. E.S.P.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COI04CBBO009,COP,XBOG,,,,,,,,,,,,
COI04CPPC014,PC PEC PROMIGAS S.A. E.S.P.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COI04CPPC014,COP,XBOG,,,,,,,,,,,,
COT60PAAO005,AO CELSIA S.A. - ANTES CELSIA S.A. E.S.P.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COT60PAAO005,COP,XBOG,,,,,,,,,,,,
COT60CBBO008,BONOS ORDINARIOS,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_registered_bvc_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COT60CBBO008,COP,XBOG,,,,,,,,,,,,
COB01PAAO006,AO BANCO DE BOGOTA,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_equity_price_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COB01PAAO006,COP,XBOG,,,,,,,,,,,,
COW19PAAO005,AO ADM.DE FDOS.DE PENS.Y CES PROTECCION S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_equity_price_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COW19PAAO005,COP,XBOG,,,,,,,,,,,,
COG20PAAO006,AO ORGANIZACION TERPEL S.A.,BVC,Colombia,SFC_SIMEV_RNVE,,colombia_equity_price_security,,,,,,COLOMBIA_BVC_REGULATORY,,BVC,,,,COG20PAAO006,COP,XBOG,,,,,,,,,,,,
