metric,value
selected_route,Colombia conditional build after Singapore promoted artifact
phase_type,colombia-conditional-build-freeze
build_decision,COLOMBIA_CANDIDATE_CREATED_READY_FOR_PROMOTION_OR_FREEZE_DECISION
approved_for_colombia_promotion_decision,True
previous_operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
previous_operational_base_rows,42708
previous_operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
singapore_promoted_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21e_s_singapore_promoted.csv
singapore_promoted_rows,43066
singapore_promoted_sha,8b6aa52eca0b7e5625aaeb8875d3806157fe30f7595cd698b5d0071ea2187c2f
colombia_candidate_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21d_c_colombia_candidate.csv
colombia_candidate_dataset_rows,43089
colombia_candidate_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
colombia_raw_candidate_rows_seen,36
colombia_raw_candidates_accepted_by_quality,27
colombia_eligible_new_candidates,23
colombia_rejected_candidates,13
duplicate_within_colombia_candidate_set,4
duplicate_against_existing_singapore_promoted_universe,0
rejected_by_capacity_filter,0
remaining_capacity_after_colombia_candidate,1911
quality_floor_target,42000
quality_ceiling_target,45000
candidate_dataset_created,True
candidate_extraction_performed,True
dedup_performed,True
expanded_rebuild_candidate_performed,True
colombia_dataset_promoted,False
canonical_dataset_modified,False
active_canonical_replaced,False
pointer_update_performed,False
scoring_authorized,False
openai_authorized,False
broker_authorized,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.21E_C - Colombia Promotion / Freeze Decision
