metric,value
selected_route,Colombia promotion decision after Colombia conditional build
phase_type,colombia-promotion-freeze-decision
promotion_decision,COLOMBIA_PROMOTED_ARTIFACT_READY_FOR_FINAL_V2_21_CLOSURE
approved_as_promoted_artifact,True
approved_for_final_v2_21_closure,True
active_pointer_update_performed,False
approved_for_scoring,False
previous_operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
previous_operational_base_rows,42708
previous_operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
singapore_promoted_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21e_s_singapore_promoted.csv
singapore_promoted_rows,43066
singapore_promoted_sha,8b6aa52eca0b7e5625aaeb8875d3806157fe30f7595cd698b5d0071ea2187c2f
colombia_candidate_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21d_c_colombia_candidate.csv
colombia_candidate_rows,43089
colombia_candidate_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
colombia_promoted_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21e_c_colombia_promoted.csv
colombia_promoted_rows,43089
colombia_promoted_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
colombia_appended_rows,23
colombia_eligible_source_rows,23
quality_floor_target,42000
quality_ceiling_target,45000
remaining_capacity_after_colombia_promoted_artifact,1911
market_id,COLOMBIA_BVC_REGULATORY
country,Colombia
country_code,CO
exchange,BVC
mic,XBOG
currency,COP
candidate_dataset_promoted_as_artifact,True
canonical_dataset_modified,False
active_canonical_replaced,False
pointer_update_performed,False
scoring_authorized,False
openai_authorized,False
broker_authorized,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.21G - Final v2.21 Closure Report
