check,passed,severity,detail
singapore_promotion_status_expected,True,critical,SINGAPORE_PROMOTION_FREEZE_DECISION_COMPLETED_PROMOTED_ARTIFACT_READY_POINTER_NOT_UPDATED_SCORING_DEFERRED
singapore_promoted_artifact_approved,True,critical,approved_as_promoted_artifact=True
singapore_pointer_not_updated,True,critical,pointer_update_performed=False
operational_base_rows_expected,True,critical,operational_rows=42708
operational_base_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
singapore_promoted_rows_expected,True,critical,singapore_promoted_rows=43066
singapore_promoted_sha_expected,True,critical,8b6aa52eca0b7e5625aaeb8875d3806157fe30f7595cd698b5d0071ea2187c2f
schema_column_count_expected,True,critical,columns=33
official_source_inventory_created,True,critical,sources=12
all_sources_official_hosts,True,critical,all seed hosts are official Superfinanciera hosts
at_least_one_regulatory_fetch_successful,True,critical,successful_fetches=12
colombia_structured_source_ready,True,warning,structured_sources=8
colombia_traversal_or_source_review_available,True,warning,structured=8;traversable=0
candidate_extraction_not_performed,True,critical,candidate_extraction_performed=False
dedup_not_performed,True,critical,dedup_performed=False
expanded_rebuild_not_performed,True,critical,expanded_rebuild_performed=False
singapore_promoted_artifact_not_modified,True,critical,Singapore promoted artifact SHA unchanged
operational_base_not_modified,True,critical,operational base SHA unchanged
rollback_not_modified,True,critical,rollback SHA unchanged
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
pointer_update_not_performed,True,critical,pointer_update_performed=False
scoring_not_authorized,True,critical,scoring_authorized=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
