source_id,sample_order,sample_kind,sample_payload
SFC_SIMEV_FINANCIAL_INSTITUTION_LIST_RNVE,1,html_table_row,"{""Razón social"": ""Para realizar una búsqueda de entidades es necesario que especifique por lo menos tres letras en el filtro 'Razón social de la entidad o seleccionar al menos un tipo de agente o sector económico."", ""Estado"": """", ""Tipo de entidad"": """", ""Código RNVEI"": """", ""Identificación"": """", ""Acción"": """"}"
SFC_VALORES_INSCRITOS_007_001,1,html_table_row,"{""Nombre del título"": ""ACE BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CAR0019"", ""No. Emisión"": ""198705"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""20/05/1987"", ""Inscrito BVC Fecha"": ""20/05/1987"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,2,html_table_row,"{""Nombre del título"": ""BGG BANCOLOMBIA (ANTES CORFINSURA)"", ""Código ANN"": ""COB07CBBG004"", ""No. Emisión"": ""199911"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""24/11/1999"", ""Inscrito BVC Fecha"": ""02/02/2000"", ""Monto Autorizado"": ""200.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,3,html_table_row,"{""Nombre del título"": ""BGG BANCOLOMBIA (ANTES CORFINSURA)"", ""Código ANN"": ""COB07CBBG012"", ""No. Emisión"": ""200209"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""17/09/2002"", ""Inscrito BVC Fecha"": ""29/05/2003"", ""Monto Autorizado"": ""1.500.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
SFC_VALORES_INSCRITOS_007_001,4,html_table_row,"{""Nombre del título"": ""BO 2DA. EMISIÓN PEC BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO198"", ""No. Emisión"": ""201805"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""09/09/2021"", ""Inscrito BVC Fecha"": ""08/09/2021"", ""Monto Autorizado"": ""600.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,5,html_table_row,"{""Nombre del título"": ""BO 5TO. TRAMO DEL PEC LEASING BANCOLOMBIA HOY BANCOLOMBIA"", ""Código ANN"": ""COJ49CBBO095"", ""No. Emisión"": ""201105"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""16/07/2014"", ""Inscrito BVC Fecha"": ""15/07/2014"", ""Monto Autorizado"": ""400.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,6,html_table_row,"{""Nombre del título"": ""BO BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO015"", ""No. Emisión"": ""200401"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""23/01/2004"", ""Inscrito BVC Fecha"": ""09/02/2004"", ""Monto Autorizado"": ""400.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
SFC_VALORES_INSCRITOS_007_001,7,html_table_row,"{""Nombre del título"": ""BO BANCOLOMBIA S.A. - SEGUNDO MERCADO"", ""Código ANN"": ""COB07CBBO213"", ""No. Emisión"": ""202210"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""04/10/2022"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""640.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,8,html_table_row,"{""Nombre del título"": ""BO MSE 2DO TRAMO BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO099"", ""No. Emisión"": ""201002"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""22/07/2011"", ""Inscrito BVC Fecha"": ""22/07/2011"", ""Monto Autorizado"": ""800.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,9,html_table_row,"{""Nombre del título"": ""BO MSE 3ER TRAMO BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBO106"", ""No. Emisión"": ""201002"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""26/10/2011"", ""Inscrito BVC Fecha"": ""26/10/2011"", ""Monto Autorizado"": ""600.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_007_001,10,html_table_row,"{""Nombre del título"": ""BO PEC BANCOLOMBIA"", ""Código ANN"": ""COB07CBBO114"", ""No. Emisión"": ""201207"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""01/06/2012"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
SFC_VALORES_INSCRITOS_007_001,11,html_table_row,"{""Nombre del título"": ""BO SUBORDINADO 1A. EMISIÓN PEC BANCOLOMBIA S.A."", ""Código ANN"": ""COB07CBBS174"", ""No. Emisión"": ""201805"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""08/05/2018"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AA""}"
