source_id,source_type,authority,url,official_host,selected_for_fetch,reason
SFC_SIMEV2_RNVE_HOME,official_regulator_registry_home,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/SIMEV2/rnve,True,True,RNVE/SIMEV official registry entry point.
SFC_SIMEV2_EMISORES_INSCRITOS_VIGENTES,official_regulator_issuer_list,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/SIMEV2/rnve/emisoresinscritosvigentes,True,True,SIMEV page for current registered issuers and securities.
SFC_SIMEV_FINANCIAL_INSTITUTION_LIST_RNVE,official_regulator_jsf_search,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/Superfinanciera-Simev/faces/generic/FinancialInstitutionSimevList.xhtml?financialInstitutionStateRNVEIId=1&nationalRecordId=1,True,True,JSF RNVE registered financial institution list candidate.
SFC_VALORES_INSCRITOS_007_001,official_regulator_registered_values_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/ReportesInformacionRelevante/faces/B_simevRelevantes/G_valoresInscritos/repoValoresInscritos.xhtml?entidad=007&tipoEntidad=001,True,True,Valores Inscritos example page exposing RNVE/BVC registration fields.
SFC_VALORES_INSCRITOS_004_261,official_regulator_registered_values_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/ReportesInformacionRelevante/faces/B_simevRelevantes/G_valoresInscritos/repoValoresInscritos.xhtml?entidad=004&tipoEntidad=261,True,True,Valores Inscritos example page exposing registered securities fields.
SFC_VALORES_INSCRITOS_050_261,official_regulator_registered_values_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/ReportesInformacionRelevante/faces/B_simevRelevantes/G_valoresInscritos/repoValoresInscritos.xhtml?entidad=050&tipoEntidad=261,True,True,Valores Inscritos example page exposing registered securities fields.
SFC_PRECIO_ACCIONES_001_001,official_regulator_action_price_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/ReportesInformacionRelevante/faces/B_simevRelevantes/H_precioAcciones/repoPrecioAcciones.xhtml?entidad=001&tipoEntidad=001,True,True,"Precio Acciones page exposing title name, Superfinanciera code and BVC inscription fields."
SFC_PRECIO_ACCIONES_001_142,official_regulator_action_price_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/ReportesInformacionRelevante/faces/B_simevRelevantes/H_precioAcciones/repoPrecioAcciones.xhtml?entidad=001&tipoEntidad=142,True,True,"Precio Acciones page exposing title name, Superfinanciera code and BVC inscription fields."
SFC_PRECIO_ACCIONES_002_023,official_regulator_action_price_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/ReportesInformacionRelevante/faces/B_simevRelevantes/H_precioAcciones/repoPrecioAcciones.xhtml?entidad=002&tipoEntidad=023,True,True,"Precio Acciones page exposing title name, Superfinanciera code and BVC inscription fields."
SFC_PRECIO_ACCIONES_022_053,official_regulator_action_price_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/ReportesInformacionRelevante/faces/B_simevRelevantes/H_precioAcciones/repoPrecioAcciones.xhtml?entidad=022&tipoEntidad=053,True,True,"Precio Acciones page exposing title name, Superfinanciera code and BVC inscription fields."
SFC_RNVE_INFORMATION_PAGE,official_regulator_information_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/publicaciones/80102/simev/registro-nacional-de-valores-y-emisores-rnve-80102/,True,True,Official RNVE information and caveat page.
SFC_MARKET_VALUE_INFORMATION_PAGE,official_regulator_information_page,Superintendencia Financiera de Colombia,https://www.superfinanciera.gov.co/publicaciones/38565/simevregistro-nacional-de-valores-y-emisores-rnveinformacion-emisoresofertas-publicasinformacion-mercado-de-valores-38565/,True,True,Official SFC information page mentioning market-value information and BVC-calculated market cap.
