metric,value
selected_route,Colombia regulatory branch after Singapore promoted artifact
phase_type,colombia-regulatory-discovery-extraction-decision
colombia_decision,COLOMBIA_STRUCTURED_REGULATORY_SOURCE_READY_EXTRACTION_PLANNING_APPROVED
approved_for_colombia_structured_extraction,True
approved_for_colombia_traversal_review,True
recommended_if_colombia_not_ready,v2.21G - Final v2.21 Closure Report
previous_operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
previous_operational_base_rows,42708
previous_operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
singapore_promoted_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21e_s_singapore_promoted.csv
singapore_promoted_rows,43066
singapore_promoted_sha,8b6aa52eca0b7e5625aaeb8875d3806157fe30f7595cd698b5d0071ea2187c2f
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
quality_floor_target,42000
quality_ceiling_target,45000
colombia_sources_tested,12
colombia_fetches_successful,12
colombia_structured_sources_found,8
colombia_traversable_sources_found,0
sample_rows_collected,38
candidate_extraction_performed,False
dedup_performed,False
expanded_rebuild_performed,False
colombia_dataset_promoted,False
canonical_dataset_modified,False
active_canonical_replaced,False
pointer_update_performed,False
scoring_authorized,False
openai_authorized,False
broker_authorized,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.21D_C - Colombia Conditional Build / Freeze
