source_file,member,header_score,header_line_index_zero_based,header_line_number_one_based,delimiter,header_preview,detected_headers_count,row_count_from_detected_header,isin_col,mnemonic_col,instrument_id_col,name_col,type_col,rows_with_isin,rows_with_mnemonic,rows_with_instrument_id,rows_with_name,rows_with_type,first_detected_header_line
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\001_downloads_en_t7-xetr-allTradableInstruments.csv,001_downloads_en_t7-xetr-allTradableInstruments.csv,67,2,3,';',Product Status | Instrument Status | Instrument | ISIN | Product ID | Instrument ID | WKN | Mnemonic | MIC Code | CCP eligible Code | Trading Model Type | Product Assignment Group | Product Assignment Group Description | Designated Sponsor Member ID | Designated Sponsor | Price Range Value | Price Range Percentage | Minimum Quote Size | Instrument Type | Tick Size 1 | Upper Price Limit Max | Tick Size 2 | Upper Price Limit 2 | Tick Size 3 | Upper Price Limit 3 | Tick Size 4 | Upper Price Limit 4 | Tick Size 5 | Upper Price Limit 5 | Tick Size 6 | Upper Price Limit 6 | Tick Size 7 | Upper Price Limit 7 | Tick Size 8 | Upper Price Limit 8 | Tick Size 9 | Upper Price Limit 9 | Tick Size 10 | Upper Price Limit 10 | Tick Size 11 | Upper Price Limit 11 | Tick Size 12 | Upper Price Limit 12 | Tick Size 13 | Upper Price Limit 13 | Tick Size 14 | Upper Price Limit 14 | Tick Size 15 | Upper Price Limit 15 | Tick Size 16 | Upper Price Limit 16 | Tick Size 17 | Upper Price Limit 17 | Tick Size 18 | Upper Price Limit 18 | Tick Size 19 | Upper Price Limit 19 | Tick Size 20 | Upper Price Limit 20 | Number of Decimal Digits | Unit of Quotation | Market Segment | Market Segment Supplement | Clearing Location | Primary Market MIC Code | Reporting Market | Settlement Period | Settlement Currency | Closed Book Indicator | Market Imbalance Indicator | CUM/EX Indicator | Minimum Iceberg Total Volume | Minimum Iceberg Display Volume | EMDI Incremental A - Unnetted | EMDI Incremental A - Unnetted Port | EMDI Incremental B - Unnetted | EMDI Incremental B - Unnetted Port | EMDI Snapshot A - Unnetted | EMDI Snapshot A - Unnetted Port | EMDI Snapshot B - Unnetted,153,5069,ISIN,Mnemonic,Instrument ID,Product Assignment Group Description,Instrument Type,5069,5066,5069,5069,5069,Product Status;Instrument Status;Instrument;ISIN;Product ID;Instrument ID;WKN;Mnemonic;MIC Code;CCP eligible Code;Trading Model Type;Product Assignment Group;Product Assignment Group Description;Designated Sponsor Member ID;Designated Sponsor;Price Range Value;Price Range Percentage;Minimum Quote Size;Instrument Type;Tick Size 1;Upper Price Limit Max;Tick Size 2;Upper Price Limit 2;Tick Size 3;Upper Price Limit 3;Tick Size 4;Upper Price Limit 4;Tick Size 5;Upper Price Limit 5;Tick Size 6;Upper P
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_orderProfiles.csv,15,0,1,';',OrderProfileId | Full Name | Regular | Stop | TSO | OCO | Iceberg | Limit | Market | OAO | AOO | CAO | IAO | BOC | IOC | FOK | GFD | GTD/GTC | AVDOAO | AVDIAO | AVDCAO,21,33,,,,Full Name,,0,0,0,33,0,OrderProfileId;Full Name;Regular;Stop;TSO;OCO;Iceberg;Limit;Market;OAO;AOO;CAO;IAO;BOC;IOC;FOK;GFD;GTD/GTC;AVDOAO;AVDIAO;AVDCAO
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_orderProfileAssignment.csv,35,0,1,';',Mnemonic | ISIN | InstrumentId | OrderProfileId,4,167277,ISIN,Mnemonic,InstrumentId,,,167277,167178,167277,0,0,Mnemonic;ISIN;InstrumentId;OrderProfileId
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_tradingSchedule.csv,5,1,2,';',SCHED_FFM_BZR_FULL | MOVE PRODUCT TO START OF DAY | 06:00:00,3,382,,,,,,0,0,0,0,0,SCHED_FFM_BZR_FULL;MOVE PRODUCT TO START OF DAY;06:00:00
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_tradingScheduleAssignment.csv,18,0,1,"','",InstrumentId;standardSchedule,1,5069,,,InstrumentId;standardSchedule,,,0,0,5069,0,0,InstrumentId;standardSchedule
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_marketSegment.csv,10,36,37,';',Market Segment | 087 | Official List Main Security Market Xetra,3,112,,,,,,0,0,0,0,0,Market Segment;087;Official List Main Security Market Xetra
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_TESProfiles.csv,16,0,1,';',ProductSymbol | TESType | BrokerAllowed | MaxParticipants | PriceValidationRule,5,14226,,ProductSymbol,,,,0,14226,0,0,0,ProductSymbol;TESType;BrokerAllowed;MaxParticipants;PriceValidationRule
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_securitySubType.csv,15,0,1,';',SecurityType | SecuritySubTypeId | Name | Description,4,12,,,,Name,SecurityType,0,0,0,12,12,SecurityType;SecuritySubTypeId;Name;Description
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_SRQSRespondentAssignment.csv,38,0,1,';',ISIN | InstrumentID | ProductID | BusinessUnitName | UserName,5,14635,ISIN,,InstrumentID,BusinessUnitName,,14635,0,14635,14635,0,ISIN;InstrumentID;ProductID;BusinessUnitName;UserName
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_SRQSparameters.csv,32,0,1,';',ISIN | InstrumentID | EnableSRQS | EnableSmartSRQS | PriceGranularityRuleSRQS | SRQSMinimumValue | NegotiationDurationSRQS,7,5069,ISIN,,InstrumentID,,,5069,0,5069,0,0,ISIN;InstrumentID;EnableSRQS;EnableSmartSRQS;PriceGranularityRuleSRQS;SRQSMinimumValue;NegotiationDurationSRQS
outputs\full_universe_source_acquisition\raw\deutsche_boerse_xetra_v2_14c\datasets\002_downloads_en_RDF_StaticData_xetr.zip,20260709_volatilityCorridorTables.csv,14,0,1,';',ID | VolatilityCorridorTableName | InitalDynamicVolatilityPercentage | StaticVolatilityPercentage | Percentage | Duration | Market,7,91,,,,VolatilityCorridorTableName,,0,0,0,91,0,ID;VolatilityCorridorTableName;InitalDynamicVolatilityPercentage;StaticVolatilityPercentage;Percentage;Duration;Market
