raw_file,name,bytes,source_url,title,table_count,script_count,form_count,drupal_settings_count,isin_like_count,candidate_endpoint_count,marker_isin,marker_symbol,marker_ticker,marker_name,marker_instrument,marker_equity,marker_shares,marker_market,marker_mic,marker_currency,marker_company,marker_issuer,marker_listing,marker_stock
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_advanced_reference_data.html,euronext_advanced_reference_data.html,409557,https://www.euronext.com/en/products-services/advanced-reference-data,Advanced Reference Data | euronext.com,0,0,0,0,0,578,15,0,2,577,5,19,4,194,2,2,11,39,165,0
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_amsterdam_equities_list.html,euronext_amsterdam_equities_list.html,342057,https://live.euronext.com/en/markets/amsterdam/equities/list?page=0,Stocks Amsterdam - Euronext exchange Live quotes,0,0,0,0,0,398,12,3,2,534,6,18,0,292,12,0,52,4,4,179
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_brussels_equities_list.html,euronext_brussels_equities_list.html,338285,https://live.euronext.com/en/markets/brussels/equities/list?page=0,Stocks Brussels - Euronext exchange Live quotes,0,0,0,0,0,398,12,3,2,522,6,18,0,318,12,0,52,4,4,181
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_dublin_equities_list.html,euronext_dublin_equities_list.html,296723,https://live.euronext.com/en/markets/dublin/equities/list?page=0,Stocks Dublin - Euronext exchange Live quotes,0,0,0,0,0,399,12,3,2,437,6,18,0,294,7,0,48,4,4,180
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,euronext_lisbon_equities_list.html,313044,https://live.euronext.com/en/markets/lisbon/equities/list?page=0,Stocks Lisbon - Euronext exchange Live quotes,0,0,0,0,0,398,12,3,2,469,6,18,0,294,7,0,52,4,4,179
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,euronext_live_all_equities.html,423012,https://live.euronext.com/en/products/equities/list,Stocks all markets - Euronext exchange Live quotes,0,0,0,0,0,397,12,3,2,692,6,24,0,386,12,1,48,4,4,181
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_equities_overview.html,euronext_live_equities_overview.html,346293,https://live.euronext.com/en/products/equities,Equities - Stocks - Shares | Euronext Markets,0,0,0,0,0,466,15,1,5,438,53,64,6,298,40,0,142,8,10,224
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_milan_equities_list.html,euronext_milan_equities_list.html,380685,https://live.euronext.com/en/markets/milan/equities/list?page=0,Stocks Milan - Euronext exchange Live quotes,0,0,0,0,0,398,12,3,2,626,6,23,0,321,13,0,48,4,4,187
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_oslo_equities_list.html,euronext_oslo_equities_list.html,350439,https://live.euronext.com/en/markets/oslo/equities/list?page=0,Stocks Oslo - Euronext exchange Live quotes,0,0,0,0,0,399,12,3,2,546,6,18,0,314,13,0,52,4,4,186
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_paris_equities_list.html,euronext_paris_equities_list.html,385397,https://live.euronext.com/en/markets/paris/equities/list?page=0,Stocks Paris - Euronext exchange Live quotes,0,0,0,0,0,399,12,3,2,630,6,19,0,323,12,1,52,4,4,182
outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_static_reference_data.html,euronext_static_reference_data.html,415621,https://www.euronext.com/en/products-services/static-reference-data,Static Reference Data | euronext.com,0,0,0,0,0,595,18,0,2,563,17,20,4,191,3,2,10,39,171,0
