version,phase_type,sheet_name,row_number,stock_code_raw_text,ticker,company_name,exchange,isin,currency,board_lot,category,subcategory,source_provider,rebuild_candidate_status,decision_reason
v2.12E,rebuild-only,ListOfSecurities,342,00405,00405,YUEXIU REIT,HKEX,HK0405033157,HKD,"1,000",Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,363,00435,00435,SUNLIGHT REIT,HKEX,HK0435036626,HKD,"1,000",Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,612,00778,00778,FORTUNE REIT,HKEX,SG1O33912138,HKD,"1,000",Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,626,00808,00808,PROSPERITY REIT,HKEX,HK0808032913,HKD,"1,000",Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,639,00823,00823,LINK REIT,HKEX,HK0823032773,HKD,100,Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1081,01426,01426,SPRING REIT,HKEX,HK0000174232,HKD,"1,000",Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1129,01503,01503,CMC REIT,HKEX,HK0000552189,HKD,"1,000",Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1259,01687,01687,PRC B2710,HKEX,US712219AG90,USD,10,Debt Securities,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1416,01881,01881,REGAL REIT,HKEX,HK1881037571,HKD,"1,000",Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1618,02191,02191,SF REIT,HKEX,HK0000735800,HKD,"1,000",Real Estate Investment Trusts,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1799,02461,02461,SYNAGISTICS W29,HKEX,KYG4515L1142,HKD,"11,500",Equity Warrants (Main Board),,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1805,02478,02478,APAC RES W2712,HKEX,HK0001294419,HKD,"12,000",Equity Warrants (Main Board),,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1845,02527,02527,PTT N3508,HKEX,USY71548AX22,USD,"1,000",Debt Securities,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
v2.12E,rebuild-only,ListOfSecurities,1874,02568,02568,CNOOC F03 N3305,HKEX,USG21886AB53,USD,10,Debt Securities,,hkex_securities_list,EXCLUDED,NON_EQUITY_CATEGORY_EXCLUDED
