check,passed,severity,detail
operational_base_rows_expected,True,critical,operational_rows=42708
operational_base_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
singapore_promoted_rows_expected,True,critical,singapore_rows=43066
singapore_promoted_sha_expected,True,critical,8b6aa52eca0b7e5625aaeb8875d3806157fe30f7595cd698b5d0071ea2187c2f
colombia_promoted_rows_expected,True,critical,colombia_rows=43089
colombia_promoted_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
final_reference_rows_expected,True,critical,final_rows=43089
final_reference_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
headers_consistent,True,critical,operational=33;singapore=33;colombia=33
final_reference_under_quality_ceiling,True,critical,final_rows=43089;ceiling=45000
final_reference_above_quality_floor,True,critical,final_rows=43089;floor=42000
remaining_capacity_non_negative,True,critical,remaining_capacity=1911
required_phase_reports_exist,True,critical,required_phase_reports_present=5/5
required_phase_expected_statuses_passed,True,critical,expected statuses validated for required closure phases
required_phase_critical_failures_zero,True,critical,required phase critical_failed_checks are blank or zero
required_phase_warning_failures_zero,True,critical,required phase warning_failed_checks are blank or zero
historical_phase_register_is_advisory,True,critical,older v2.21 phases are documented as historical and not required by final local closure register
operational_base_not_modified,True,critical,operational base SHA unchanged after closure
rollback_not_modified,True,critical,rollback SHA unchanged after closure
singapore_artifact_not_modified,True,critical,Singapore promoted SHA unchanged after closure
colombia_artifact_not_modified,True,critical,Colombia promoted SHA unchanged after closure
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
pointer_update_not_performed,True,critical,pointer_update_performed=False
scoring_not_authorized,True,critical,scoring_authorized=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
