sheet_name,row_number,stock_code_raw_text,name_of_securities,category,subcategory,isin,board_lot,currency,diagnostic_security_class
ListOfSecurities,4,00001,CKH HOLDINGS,Equity,Equity Securities (Main Board),KYG217651051,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,5,00002,CLP HOLDINGS,Equity,Equity Securities (Main Board),HK0002007356,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,6,00003,HK & CHINA GAS,Equity,Equity Securities (Main Board),HK0003000038,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,7,00004,WHARF HOLDINGS,Equity,Equity Securities (Main Board),HK0004000045,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,8,00005,HSBC HOLDINGS,Equity,Equity Securities (Main Board),GB0005405286,400,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,9,00006,POWER ASSETS,Equity,Equity Securities (Main Board),HK0006000050,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,10,00007,WISDOM WEALTH,Equity,Equity Securities (Main Board),BMG4643R1245,"10,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,11,00008,PCCW,Equity,Equity Securities (Main Board),HK0008011667,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,12,00010,HANG LUNG GROUP,Equity,Equity Securities (Main Board),HK0010000088,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,13,00012,HENDERSON LAND,Equity,Equity Securities (Main Board),HK0012000102,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,14,00013,HUTCHMED,Equity,Equity Securities (Main Board),KYG4672N1198,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,15,00014,HYSAN DEV,Equity,Equity Securities (Main Board),HK0014000126,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,16,00016,SHK PPT,Equity,Equity Securities (Main Board),HK0016000132,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,17,00017,NEW WORLD DEV,Equity,Equity Securities (Main Board),HK0000608585,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,18,00018,ORIENTAL M G,Equity,Equity Securities (Main Board),HK0018000155,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,19,00019,SWIRE PACIFIC A,Equity,Equity Securities (Main Board),HK0019000162,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,20,00020,SENSETIME-W,Equity,Equity Securities (Main Board),KYG8062L1041,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,21,00021,GREAT CHI HLDGS,Equity,Equity Securities (Main Board),HK0000132420,"5,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,22,00022,MEXAN,Equity,Equity Securities (Main Board),BMG6051D1175,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,23,00023,BANK OF E ASIA,Equity,Equity Securities (Main Board),HK0023000190,200,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,24,00025,CHEVALIER INT'L,Equity,Equity Securities (Main Board),BMG2097Z1471,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,25,00026,CHINA MOTOR BUS,Equity,Equity Securities (Main Board),HK0026000205,200,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,26,00027,GALAXY ENT,Equity,Equity Securities (Main Board),HK0027032686,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,27,00028,TIAN AN,Equity,Equity Securities (Main Board),HK0028013271,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,28,00029,DYNAMIC HOLD,Equity,Equity Securities (Main Board),BMG2889K1678,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,29,00030,YNBY INTL,Equity,Equity Securities (Main Board),BMG0865U1009,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,30,00031,CHINA AEROSPACE,Equity,Equity Securities (Main Board),HK0031044180,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,31,00032,CROSS-HAR(HOLD),Equity,Equity Securities (Main Board),HK0032009356,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,32,00033,INTL GENIUS,Equity,Equity Securities (Main Board),KYG0252B1115,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,33,00034,KOWLOON DEV,Equity,Equity Securities (Main Board),HK0034000254,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,34,00035,FE CONSORT INTL,Equity,Equity Securities (Main Board),KYG3307Z1090,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,35,00036,FE HLDGS INTL,Equity,Equity Securities (Main Board),HK0001095345,"6,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,36,00037,FE HOTELS,Equity,Equity Securities (Main Board),HK0037039283,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,37,00038,FIRST TRACTOR,Equity,Equity Securities (Main Board),CNE100000320,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,38,00039,CH BEIDAHUANG,Equity,Equity Securities (Main Board),KYG2117W1087,"8,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,39,00040,GOLD PEAK,Equity,Equity Securities (Main Board),HK0040000298,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,40,00041,GREAT EAGLE H,Equity,Equity Securities (Main Board),BMG4069C1486,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,41,00042,NE ELECTRIC,Equity,Equity Securities (Main Board),CNE1000003V0,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,42,00045,HK&S HOTELS,Equity,Equity Securities (Main Board),HK0045000319,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,43,00046,COMPUTER & TECH,Equity,Equity Securities (Main Board),BMG2335C1082,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,44,00048,C AUTO INT DECO,Equity,Equity Securities (Main Board),KYG211351500,"10,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,45,00050,HK FERRY (HOLD),Equity,Equity Securities (Main Board),HK0050000345,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,46,00051,HARBOUR CENTRE,Equity,Equity Securities (Main Board),HK0051000351,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,47,00052,FAIRWOOD HOLD,Equity,Equity Securities (Main Board),BMG3305Y1619,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,48,00053,GUOCO GROUP,Equity,Equity Securities (Main Board),BMG420981224,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,49,00055,NEWAY GROUP,Equity,Equity Securities (Main Board),BMG6433R1319,"10,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,50,00057,CHEN HSONG HOLD,Equity,Equity Securities (Main Board),BMG208741063,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,51,00058,SUNWAY INT'L,Equity,Equity Securities (Main Board),BMG858331389,"20,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,52,00059,SKYFAME REALTY,Equity,Equity Securities (Main Board),BMG8220B1476,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,53,00060,HK FOOD INV,Equity,Equity Securities (Main Board),HK0060028229,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,54,00061,GREEN LEADER,Equity,Equity Securities (Main Board),BMG4165P1187,"20,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,55,00062,TRANSPORT INT'L,Equity,Equity Securities (Main Board),BMG9031M1082,400,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
