phase,artifact,artifact_exists,status,phase_type,recommended_next_phase
v2.19K - HKEX Acquisition Plan,outputs\full_universe_source_acquisition\hkex_acquisition_plan_v2_19k.json,True,HKEX_ACQUISITION_PLAN_COMPLETED_OFFICIAL_SOURCES_READY_FOR_RAW_ACQUISITION_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,acquisition-plan-only,v2.19L - HKEX Raw Acquisition
v2.19L - HKEX Raw Acquisition,outputs\full_universe_source_acquisition\hkex_raw_acquisition_v2_19l.json,True,HKEX_RAW_ACQUISITION_COMPLETED_RAW_FILES_CAPTURED_VALIDATION_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,raw-acquisition-only,v2.19M - HKEX Raw Validation
v2.19M - HKEX Raw Validation,outputs\full_universe_source_acquisition\hkex_raw_validation_v2_19m.json,True,HKEX_RAW_VALIDATION_COMPLETED_REPAIR_REQUIRED_BEFORE_CANDIDATE_EXTRACTION_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,raw-validation-only,v2.19L_FIX - HKEX Raw Acquisition Repair
v2.19L_FIX - HKEX Raw Acquisition Repair,outputs\full_universe_source_acquisition\hkex_raw_acquisition_repair_v2_19l_fix.json,True,HKEX_RAW_ACQUISITION_REPAIR_COMPLETED_STRUCTURED_DOWNLOADS_CAPTURED_RAW_VALIDATION_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,raw-acquisition-repair-only,v2.19M_FIX - HKEX Repaired Raw Validation
v2.19M_FIX - HKEX Repaired Raw Validation,outputs\full_universe_source_acquisition\hkex_repaired_raw_validation_v2_19m_fix.json,True,HKEX_REPAIRED_RAW_VALIDATION_COMPLETED_PARSE_READY_EXTRACTION_DRY_RUN_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,repaired-raw-validation-only,v2.19N - HKEX Candidate Extraction Dry Run
v2.19N - HKEX Candidate Extraction Dry Run,outputs\full_universe_source_acquisition\hkex_candidate_extraction_dry_run_v2_19n.json,True,HKEX_CANDIDATE_EXTRACTION_DRY_RUN_COMPLETED_CANDIDATES_EXTRACTED_CANONICAL_VALIDATION_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,candidate-extraction-dry-run-only,v2.19O - HKEX Candidate Validation Against Canonical Dry Run
v2.19O - HKEX Candidate Validation Against Canonical Dry Run,outputs\full_universe_source_acquisition\hkex_candidate_validation_against_canonical_dry_run_v2_19o.json,True,HKEX_CANDIDATE_VALIDATION_DRY_RUN_COMPLETED_NET_NEW_CLASSIFIED_EXPANDED_REBUILD_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,candidate-validation-against-canonical-dry-run-only,v2.19P - HKEX Expanded Rebuild Candidate
v2.19P - HKEX Expanded Rebuild Candidate,outputs\full_universe_source_acquisition\hkex_expanded_rebuild_candidate_v2_19p.json,True,HKEX_EXPANDED_REBUILD_CANDIDATE_COMPLETED_41392_ROWS_EXPANDED_VALIDATION_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,expanded-rebuild-candidate-only,v2.19Q - HKEX Expanded Validation
v2.19Q - HKEX Expanded Validation,outputs\full_universe_source_acquisition\hkex_expanded_validation_v2_19q.json,True,HKEX_EXPANDED_VALIDATION_COMPLETED_41392_ROWS_VALIDATED_CLOSURE_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED,expanded-validation-only,v2.19R - HKEX Closure Report
v2.19R - HKEX Closure Report,outputs\full_universe_source_acquisition\hkex_closure_report_v2_19r.json,True,generated_by_this_phase,closure-report-only,post-v2.19R - Next Provider Route Selection After HKEX
