candidate_id,source_phase,source_provider,source_market,source_country,exchange,mic,source_artifact_id,source_file,source_sheet,source_row_number,raw_stock_code,stock_code,ticker,ticker_yahoo,symbol,name,category,sub_category,instrument_family,candidate_scope_flag,board_lot,isin,expiry_date,subject_to_stamp_duty,shortsell_eligible,cas_eligible,vcm_eligible,admitted_to_ccass,debt_securities_board_lot_nominal,debt_securities_investor_type,pos_eligible,spread_table,trading_currency,rmb_counter,duplicate_stock_code_within_hkex_extract,dry_run_only,canonical_validation_status,expanded_rebuild_status,validation_phase,validation_status,validation_reason,matched_dataset,match_count,net_new_candidate,canonical_validation_dry_run_only,v2_19p_append_order,v2_19p_target_dataset,v2_19p_schema_mode,v2_19p_ticker_normalized,v2_19p_isin_normalized
HKEX_00405,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,342,00405,00405,00405.HK,00405.HK,00405.HK,YUEXIU REIT,Real Estate Investment Trusts,,reit,potential_candidate_pending_canonical_validation,"1,000",HK0405033157,,,Y,Y,,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,1,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,00405.HK,HK0405033157
HKEX_00435,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,362,00435,00435,00435.HK,00435.HK,00435.HK,SUNLIGHT REIT,Real Estate Investment Trusts,,reit,potential_candidate_pending_canonical_validation,"1,000",HK0435036626,,,Y,Y,,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,2,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,00435.HK,HK0435036626
HKEX_00537,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,426,00537,00537,00537.HK,00537.HK,00537.HK,RIGOL,Equity,Equity Securities (Main Board),equity_like,potential_candidate_pending_canonical_validation,100,CNE100007RQ0,,Y,,Y,,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,3,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,00537.HK,CNE100007RQ0
HKEX_00778,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,611,00778,00778,00778.HK,00778.HK,00778.HK,FORTUNE REIT,Real Estate Investment Trusts,,reit,potential_candidate_pending_canonical_validation,"1,000",SG1O33912138,,,Y,Y,Y,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,4,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,00778.HK,SG1O33912138
HKEX_00808,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,625,00808,00808,00808.HK,00808.HK,00808.HK,PROSPERITY REIT,Real Estate Investment Trusts,,reit,potential_candidate_pending_canonical_validation,"1,000",HK0808032913,,,Y,Y,,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,5,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,00808.HK,HK0808032913
HKEX_00823,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,638,00823,00823,00823.HK,00823.HK,00823.HK,LINK REIT,Real Estate Investment Trusts,,reit,potential_candidate_pending_canonical_validation,100,HK0823032773,,,Y,Y,Y,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,6,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,00823.HK,HK0823032773
HKEX_01377,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,1045,01377,01377,01377.HK,01377.HK,01377.HK,DTECH,Equity,Equity Securities (Main Board),equity_like,potential_candidate_pending_canonical_validation,100,CNE100007RR8,,Y,,Y,,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,7,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,01377.HK,CNE100007RR8
HKEX_01426,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,1079,01426,01426,01426.HK,01426.HK,01426.HK,SPRING REIT,Real Estate Investment Trusts,,reit,potential_candidate_pending_canonical_validation,"1,000",HK0000174232,,,Y,Y,,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,8,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,01426.HK,HK0000174232
HKEX_01503,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,1127,01503,01503,01503.HK,01503.HK,01503.HK,CMC REIT,Real Estate Investment Trusts,,reit,potential_candidate_pending_canonical_validation,"1,000",HK0000552189,,,,Y,,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,9,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,01503.HK,HK0000552189
HKEX_01881,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,1414,01881,01881,01881.HK,01881.HK,01881.HK,REGAL REIT,Real Estate Investment Trusts,,reit,potential_candidate_pending_canonical_validation,"1,000",HK1881037571,,,,Y,,Y,,,Y,1,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,10,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,01881.HK,HK1881037571
