check,passed,severity,detail
v2_19o_report_exists,True,critical,outputs\full_universe_source_acquisition\hkex_candidate_validation_against_canonical_dry_run_v2_19o.json
v2_19o_status_expected,True,critical,HKEX_CANDIDATE_VALIDATION_DRY_RUN_COMPLETED_NET_NEW_CLASSIFIED_EXPANDED_REBUILD_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
v2_19o_net_new_exists,True,critical,outputs\full_universe_source_acquisition\hkex_candidate_validation_against_canonical_dry_run_net_new_candidates_v2_19o.csv
net_new_rows_expected,True,critical,net_new_rows=396
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_validated_candidate_rows_expected,True,critical,current_candidate_rows=40996
expanded_candidate_rows_expected,True,critical,expanded_candidate_rows=41392
rowcount_arithmetic_expected,True,critical,40996+396=41392
rows_needed_after_rebuild_expected,True,critical,rows_needed_after=8608
final_50k_gate_after_rebuild_blocked,True,critical,BLOCKED
current_headers_preserved,True,critical,header_count=33
appended_rows_written,True,critical,appended_rows=396
appended_full_audit_written,True,critical,appended_full_rows=396
duplicate_appended_tickers_zero,True,critical,duplicate_appended_tickers=0
duplicate_appended_isins_documented,True,warning,duplicate_appended_isins=109
appended_tickers_not_in_current,True,critical,appended_tickers_already_in_current=0
appended_isins_not_in_current,True,warning,appended_isins_already_in_current=0
canonical_sha_unchanged,True,critical,active canonical sha unchanged
current_candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
new_expanded_candidate_written,True,critical,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv
expanded_dataset_is_new_candidate_only,True,critical,active canonical not replaced
network_not_used_by_rebuild,True,critical,network_download_performed=False
candidate_validation_against_canonical_not_performed,True,critical,candidate_validation_against_canonical_performed=False
expanded_rebuild_candidate_performed,True,critical,expanded_rebuild_candidate_performed=True
expanded_validation_not_performed,True,critical,expanded_validation_performed=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
current_candidate_dataset_not_modified,True,critical,current_candidate_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
