version,phase_type,sheet_name,row_number,stock_code_raw_text,ticker,company_name,exchange,isin,currency,board_lot,category,subcategory,source_provider,rebuild_candidate_status,decision_reason
v2.12E,rebuild-only,ListOfSecurities,4,00001,00001,CKH HOLDINGS,HKEX,KYG217651051,HKD,500,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,5,00002,00002,CLP HOLDINGS,HKEX,HK0002007356,HKD,500,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,6,00003,00003,HK & CHINA GAS,HKEX,HK0003000038,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,7,00004,00004,WHARF HOLDINGS,HKEX,HK0004000045,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,8,00005,00005,HSBC HOLDINGS,HKEX,GB0005405286,HKD,400,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,9,00006,00006,POWER ASSETS,HKEX,HK0006000050,HKD,500,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,10,00007,00007,WISDOM WEALTH,HKEX,BMG4643R1245,HKD,"10,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,11,00008,00008,PCCW,HKEX,HK0008011667,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,12,00010,00010,HANG LUNG GROUP,HKEX,HK0010000088,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,13,00012,00012,HENDERSON LAND,HKEX,HK0012000102,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,14,00013,00013,HUTCHMED,HKEX,KYG4672N1198,HKD,500,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,15,00014,00014,HYSAN DEV,HKEX,HK0014000126,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,16,00016,00016,SHK PPT,HKEX,HK0016000132,HKD,500,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,17,00017,00017,NEW WORLD DEV,HKEX,HK0000608585,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,18,00018,00018,ORIENTAL M G,HKEX,HK0018000155,HKD,"2,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,19,00019,00019,SWIRE PACIFIC A,HKEX,HK0019000162,HKD,500,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,20,00020,00020,SENSETIME-W,HKEX,KYG8062L1041,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,21,00021,00021,GREAT CHI HLDGS,HKEX,HK0000132420,HKD,"5,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,22,00022,00022,MEXAN,HKEX,BMG6051D1175,HKD,"2,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,23,00023,00023,BANK OF E ASIA,HKEX,HK0023000190,HKD,200,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,24,00025,00025,CHEVALIER INT'L,HKEX,BMG2097Z1471,HKD,"2,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,25,00026,00026,CHINA MOTOR BUS,HKEX,HK0026000205,HKD,200,Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,26,00027,00027,GALAXY ENT,HKEX,HK0027032686,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,27,00028,00028,TIAN AN,HKEX,HK0028013271,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,28,00029,00029,DYNAMIC HOLD,HKEX,BMG2889K1678,HKD,"2,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,29,00030,00030,YNBY INTL,HKEX,BMG0865U1009,HKD,"2,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,30,00031,00031,CHINA AEROSPACE,HKEX,HK0031044180,HKD,"2,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,31,00032,00032,CROSS-HAR(HOLD),HKEX,HK0032009356,HKD,"1,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
v2.12E,rebuild-only,ListOfSecurities,32,00033,00033,INTL GENIUS,HKEX,KYG0252B1115,HKD,"2,000",Equity,Equity Securities (Main Board),hkex_securities_list,ACCEPTED_FOR_REBUILD_CANDIDATE,ACCEPTED_HKEX_EQUITY_ALLOWLIST
