check,passed,severity,detail
v2_19k_report_exists,True,critical,outputs\full_universe_source_acquisition\hkex_acquisition_plan_v2_19k.json
v2_19k_status_expected,True,critical,HKEX_ACQUISITION_PLAN_COMPLETED_OFFICIAL_SOURCES_READY_FOR_RAW_ACQUISITION_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
source_inventory_exists,True,critical,outputs\full_universe_source_acquisition\hkex_acquisition_plan_source_inventory_v2_19k.csv
raw_artifact_plan_exists,True,critical,outputs\full_universe_source_acquisition\hkex_acquisition_plan_raw_artifacts_v2_19k.csv
source_inventory_rows_expected,True,critical,source_inventory_rows=5
raw_artifact_plan_rows_expected,True,critical,raw_artifact_plan_rows=5
validation_strategy_loaded,True,critical,validation_strategy_rows=5
filtering_policy_loaded,True,critical,filtering_policy_rows=4
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_validated_candidate_rows_expected,True,critical,current_candidate_rows=40996
rows_needed_to_50k_expected,True,critical,rows_needed_to_50k=9004
canonical_sha_unchanged,True,critical,active canonical sha unchanged
candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
raw_directory_exists,True,critical,outputs\full_universe_source_acquisition\raw\hkex_v2_19l
planned_artifacts_written,True,critical,artifacts_written=5; planned=5
raw_files_exist,True,critical,raw_files_exist=5/5
header_files_exist,True,critical,header_files_exist=5/5
raw_files_nonempty,True,critical,nonempty_raw_count=5/5
official_scope_no_violations,True,critical,official_scope_violations=0
http_success_documented,True,warning,http_success_count=5; http_error_count=0
discovered_links_documented,True,warning,discovered_links_count=1028
candidate_related_links_documented,True,warning,candidate_related_links_count=381
download_like_links_documented,True,warning,download_like_links_count=15
html_signals_documented,True,warning,html_signal_present_count=53
final_50k_gate_still_blocked,True,critical,40996 < 50000
network_used_by_raw_acquisition,True,critical,network_download_performed=True
raw_acquisition_performed,True,critical,raw_acquisition_performed=True
candidate_extraction_not_performed,True,critical,candidate_extraction_performed=False
canonical_comparison_not_performed,True,critical,canonical_comparison_performed=False
expanded_rebuild_not_performed,True,critical,expanded_rebuild_candidate_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
next_phase_hkex_raw_validation,True,critical,v2.19M - HKEX Raw Validation
