check,passed,severity,detail
v2_19m_report_exists,True,critical,outputs\full_universe_source_acquisition\hkex_raw_validation_v2_19m.json
v2_19m_status_expected,True,critical,HKEX_RAW_VALIDATION_COMPLETED_REPAIR_REQUIRED_BEFORE_CANDIDATE_EXTRACTION_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
download_candidates_exists,True,critical,outputs\full_universe_source_acquisition\hkex_raw_validation_official_download_candidates_v2_19m.csv
download_candidates_available,True,critical,download_candidate_rows=33
selected_downloads_available,True,critical,selected_downloads=9
top_primary_full_list_selected,True,critical,ListOfSecurities.xlsx selected
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_validated_candidate_rows_expected,True,critical,current_candidate_rows=40996
rows_needed_to_50k_expected,True,critical,rows_needed_to_50k=9004
canonical_sha_unchanged,True,critical,active canonical sha unchanged
candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
raw_repair_directory_exists,True,critical,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix
repair_artifacts_written,True,critical,artifacts_written=9; selected=9
repair_raw_files_exist,True,critical,raw_files_exist=9/9
repair_header_files_exist,True,critical,header_files_exist=9/9
repair_raw_files_nonempty,True,critical,nonempty_raw_count=9/9
repair_http_success_documented,True,critical,http_success_count=9; http_error_count=0
repair_official_scope_no_violations,True,critical,official_scope_violations=0
repair_structured_files_captured,True,critical,structured_extension_count=9
top_primary_full_list_captured,True,critical,top_primary_full_list_captured=True
source_readiness_loaded,True,warning,source_readiness_rows=5
extraction_gate_loaded,True,warning,extraction_gate_rows=6
final_50k_gate_still_blocked,True,critical,40996 < 50000
network_used_by_repair_acquisition,True,critical,network_download_performed=True
raw_acquisition_repair_performed,True,critical,raw_acquisition_repair_performed=True
raw_validation_not_performed,True,critical,raw_validation_performed=False
candidate_extraction_not_performed,True,critical,candidate_extraction_performed=False
canonical_comparison_not_performed,True,critical,canonical_comparison_performed=False
expanded_rebuild_not_performed,True,critical,expanded_rebuild_candidate_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
next_phase_repaired_raw_validation,True,critical,v2.19M_FIX - HKEX Repaired Raw Validation
