row_number,local_code_raw_text,company_name,market_segment,industry,source_date
2,1301,"KYOKUYO CO.,LTD.",Prime Market (Domestic),50,20260630
7,130A,Veritas In Silico Inc.,Growth Market(Domestic),3250,20260630
20,1332,Nissui Corporation,Prime Market (Domestic),50,20260630
21,1333,Umios Corporation,Prime Market (Domestic),50,20260630
32,135A,"VRAIN Solution,Inc.",Growth Market(Domestic),5250,20260630
40,1375,"YUKIGUNI FACTORY CO.,LTD.",Prime Market (Domestic),50,20260630
41,1376,"KANEKO SEEDS CO.,LTD.",Standard Market(Domestic),50,20260630
42,1377,SAKATA SEED CORPORATION,Prime Market (Domestic),50,20260630
43,1379,HOKUTO CORPORATION,Prime Market (Domestic),50,20260630
44,137A,"Cocolive,Inc.",Growth Market(Domestic),5250,20260630
45,1380,"AKIKAWA FOODS & FARMS CO.,LTD.",Standard Market(Domestic),50,20260630
46,1381,"AXYZ CO.,Ltd.",Standard Market(Domestic),50,20260630
47,1382,"HOB Co.,Ltd.",Standard Market(Domestic),50,20260630
48,1383,"Berg Earth co.,ltd.",Standard Market(Domestic),50,20260630
49,1384,"Hokuryo Co.,Ltd.",Standard Market(Domestic),50,20260630
50,138A,"Hikari Food Service Co.,Ltd.",Growth Market(Domestic),6100,20260630
55,1401,"mbs,inc.",Growth Market(Domestic),2050,20260630
56,1407,West Holdings Corporation,Standard Market(Domestic),2050,20260630
59,1417,MIRAIT ONE Corporation,Prime Market (Domestic),2050,20260630
60,1418,"INTERLIFE HOLDINGS CO.,LTD.",Standard Market(Domestic),2050,20260630
61,1419,"Tama Home Co.,Ltd.",Prime Market (Domestic),2050,20260630
62,141A,"TRIAL Holdings,Inc.",Growth Market(Domestic),6100,20260630
63,1420,Sanyo Homes Corporation,Standard Market(Domestic),2050,20260630
64,1429,"Nippon Aqua Co.,Ltd.",Prime Market (Domestic),2050,20260630
65,142A,"JINJIB Co.,Ltd.",Growth Market(Domestic),9050,20260630
66,1430,First-corporation Inc.,Standard Market(Domestic),2050,20260630
67,1431,"Lib Work Co.,Ltd.",Growth Market(Domestic),2050,20260630
69,1433,"BESTERRA CO.,LTD",Prime Market (Domestic),2050,20260630
70,1434,"JESCO Holdings,Inc.",Standard Market(Domestic),2050,20260630
71,1435,robot home Inc.,Standard Market(Domestic),8050,20260630
72,1436,GreenEnergy & Company Inc.,Growth Market(Domestic),2050,20260630
73,1438,"Gifu landscape architect Co.,Ltd.",Standard Market(Domestic),2050,20260630
74,143A,"Ishin Co.,Ltd.",Growth Market(Domestic),9050,20260630
75,1443,"Giken Holdings Co.,Ltd.",Standard Market(Domestic),2050,20260630
76,1444,"Nissou Co.,Ltd.",Growth Market(Domestic),2050,20260630
78,1446,"CANDEAL Co.,Ltd.",Standard Market(Domestic),2050,20260630
79,1447,"SAAF Holdings Co.,Ltd.",Growth Market(Domestic),2050,20260630
81,1450,TANAKEN Inc.,Standard Market(Domestic),2050,20260630
87,145A,L is B Corp.,Growth Market(Domestic),5250,20260630
90,146A,Columbia Works Inc.,Standard Market(Domestic),8050,20260630
99,147A,"SORACOM,INC.",Growth Market(Domestic),5250,20260630
110,148A,"HATCH WORK CO.,LTD.",Growth Market(Domestic),5250,20260630
112,1491,"Chugai Mining Co.,Ltd.",Standard Market(Domestic),3500,20260630
120,149A,"Thinca Co.,Ltd.",Growth Market(Domestic),5250,20260630
121,150A,"JSH Co.,Ltd.",Growth Market(Domestic),9050,20260630
122,1514,"Sumiseki Holdings,Inc.",Standard Market(Domestic),1050,20260630
123,1515,"Nittetsu Mining Co.,Ltd.",Prime Market (Domestic),1050,20260630
124,1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Prime Market (Domestic),3800,20260630
125,151A,Dive Inc.,Growth Market(Domestic),9050,20260630
127,153A,Caulis Inc.,Growth Market(Domestic),5250,20260630
142,155A,"Information Strategy and Technology Co.,Ltd.",Growth Market(Domestic),5250,20260630
148,156A,Material Group Inc.,Growth Market(Domestic),9050,20260630
156,157A,Green Monster Inc.,Growth Market(Domestic),9050,20260630
169,1605,INPEX CORPORATION,Prime Market (Domestic),1050,20260630
170,160A,"As Partners CO.,LTD.",Standard Market(Domestic),9050,20260630
203,1662,"Japan Petroleum Exploration Co.,Ltd.",Prime Market (Domestic),1050,20260630
204,1663,K&O Energy Group Inc.,Prime Market (Domestic),1050,20260630
205,166A,TASUKI Holdings Inc.,Prime Market (Domestic),8050,20260630
215,167A,"Ryoyo Ryosan Holdings,Inc.",Prime Market (Domestic),6050,20260630
224,168A,itamiarts inc.,Growth Market(Domestic),3800,20260630
236,1711,"SDS HOLDINGS Co.,Ltd.",Standard Market(Domestic),2050,20260630
237,1716,DAI-ICHI CUTTER KOGYO K.K.,Standard Market(Domestic),2050,20260630
238,1717,Meiho Facility Works Ltd.,Standard Market(Domestic),9050,20260630
239,1718,"MIKIKOGYO CO.,LTD.",Standard Market(Domestic),2050,20260630
240,1719,HAZAMA ANDO CORPORATION,Prime Market (Domestic),2050,20260630
242,1720,"TOKYU CONSTRUCTION CO., LTD.",Prime Market (Domestic),2050,20260630
243,1721,COMSYS Holdings Corporation,Prime Market (Domestic),2050,20260630
244,1723,"NIHON DENGI CO.,LTD.",Standard Market(Domestic),2050,20260630
245,1724,SYNCLAYER INC.,Standard Market(Domestic),2050,20260630
247,1736,OTEC CORPORATION,Standard Market(Domestic),2050,20260630
248,173A,Hammock Inc.,Growth Market(Domestic),5250,20260630
249,1758,"Taiyo Kisokogyo Co.,Ltd.",Standard Market(Domestic),2050,20260630
250,175A,"Will Smart Co.,LTD.",Growth Market(Domestic),5250,20260630
251,1762,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",Prime Market (Domestic),2050,20260630
252,1764,KUDO CORPORATION,Standard Market(Domestic),2050,20260630
253,1766,TOKEN CORPORATION,Prime Market (Domestic),2050,20260630
254,1768,SONEC CORPORATION,Standard Market(Domestic),2050,20260630
255,1770,"FUJITA ENGINEERING CO.,LTD.",Standard Market(Domestic),2050,20260630
257,177A,"Kohjin Bio Co.,Ltd.",Growth Market(Domestic),3200,20260630
258,1780,YAMAURA CORPORATION,Prime Market (Domestic),2050,20260630
259,1783,"Fantasista Co.,Ltd.",Standard Market(Domestic),8050,20260630
260,1786,Oriental Shiraishi Corporation,Prime Market (Domestic),2050,20260630
261,1787,"Nakabohtec Corrosion Protecting Co.,Ltd.",Standard Market(Domestic),2050,20260630
262,1788,SANTO CORPORATION,Standard Market(Domestic),2050,20260630
264,1793,"OHMOTO GUMI CO.,LTD.",Standard Market(Domestic),2050,20260630
265,1795,MASARU CORPORATION,Standard Market(Domestic),2050,20260630
266,1798,MORIYA CORPORATION,Standard Market(Domestic),2050,20260630
267,1799,DAIICHI KENSETSU CORPORATION,Standard Market(Domestic),2050,20260630
269,1801,TAISEI CORPORATION,Prime Market (Domestic),2050,20260630
270,1802,OBAYASHI CORPORATION,Prime Market (Domestic),2050,20260630
271,1803,SHIMIZU CORPORATION,Prime Market (Domestic),2050,20260630
272,1807,"WATANABE SATO CO.,LTD.",Standard Market(Domestic),2050,20260630
273,1808,HASEKO Corporation,Prime Market (Domestic),2050,20260630
275,1810,"MATSUI CONSTRUCTION CO.,LTD.",Standard Market(Domestic),2050,20260630
276,1811,THE ZENITAKA CORPORATION,Standard Market(Domestic),2050,20260630
277,1812,KAJIMA CORPORATION,Prime Market (Domestic),2050,20260630
278,1813,Fudo Tetra Corporation,Prime Market (Domestic),2050,20260630
279,1814,"DAISUE CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,20260630
280,1815,TEKKEN CORPORATION,Prime Market (Domestic),2050,20260630
282,1820,"Nishimatsu Construction Co.,Ltd.",Prime Market (Domestic),2050,20260630
283,1822,DAIHO CORPORATION,Standard Market(Domestic),2050,20260630
284,1826,"Sata Construction Co.,Ltd.",Standard Market(Domestic),2050,20260630
285,1827,NAKANO CORPORATION,Standard Market(Domestic),2050,20260630
286,1828,TANABE ENGINEERING CORPORATION,Standard Market(Domestic),2050,20260630
288,1833,OKUMURA CORPORATION,Prime Market (Domestic),2050,20260630
289,1835,"TOTETSU KOGYO CO.,LTD.",Prime Market (Domestic),2050,20260630
291,1840,"TSUCHIYA HOLDINGS CO.,LTD.",Standard Market(Domestic),2050,20260630
292,1844,"OHMORI CO.,LTD.",Standard Market(Domestic),2050,20260630
293,1847,"ICHIKEN Co.,Ltd.",Standard Market(Domestic),2050,20260630
294,1848,FUJI P.S CORPORATION,Standard Market(Domestic),2050,20260630
295,184A,"Manabi-aid Co.,Ltd.",Growth Market(Domestic),5250,20260630
296,1850,"Nankai Tatsumura Construction Co.,Ltd.",Standard Market(Domestic),2050,20260630
297,1852,ASANUMA CORPORATION,Prime Market (Domestic),2050,20260630
298,1853,"Mori-Gumi Co.,Ltd.",Standard Market(Domestic),2050,20260630
300,1860,TODA CORPORATION,Prime Market (Domestic),2050,20260630
301,1861,"Kumagai Gumi Co.,Ltd.",Prime Market (Domestic),2050,20260630
302,1866,KITANO CONSTRUCTION CORP.,Standard Market(Domestic),2050,20260630
