version,discovery_source,family,link_text,parent_text,href,absolute_url,official_jpx_url,downloaded_in_v2_13c,normalization_allowed,rebuild_allowed
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,,,#,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html#,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Statistics (Equities),Statistics (Equities),/english/markets/statistics-equities/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Daily Report,Daily Report,/english/markets/statistics-equities/daily/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/daily/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Monthly Statistics Report,Monthly Statistics Report,/english/markets/statistics-equities/monthly/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/monthly/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Monthly Quotations,Monthly Quotations,/english/markets/statistics-equities/price/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/price/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,"Outstanding Margin Trading, etc.","Outstanding Margin Trading, etc.",/english/markets/statistics-equities/margin/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/margin/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Short Selling Value,Short Selling Value,/english/markets/statistics-equities/short-selling/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/short-selling/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Trading by Type of Investors,Trading by Type of Investors,/english/markets/statistics-equities/investor-type/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/investor-type/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Program/Arbitrage Trading,Program/Arbitrage Trading,/english/markets/statistics-equities/program/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/program/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Other Statistics,Other Statistics,/english/markets/statistics-equities/misc/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/misc/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Other Reports,Other Reports,/english/markets/statistics-equities/examination/index.html,https://www.jpx.co.jp/english/markets/statistics-equities/examination/index.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Japanese,Japanese,/markets/statistics-equities/misc/01.html,https://www.jpx.co.jp/markets/statistics-equities/misc/01.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_listed_issues_page_candidate,List of TSE-listed Issues,List of TSE-listed Issues,/english/markets/statistics-equities/misc/01.html,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Market Capitalization,Market Capitalization,/english/markets/statistics-equities/misc/02.html,https://www.jpx.co.jp/english/markets/statistics-equities/misc/02.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Market Capitalization by Industry Sector,Market Capitalization by Industry Sector,/english/markets/statistics-equities/misc/07.html,https://www.jpx.co.jp/english/markets/statistics-equities/misc/07.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Ranking of Stocks by Market Capitalization,Ranking of Stocks by Market Capitalization,/english/markets/statistics-equities/misc/08.html,https://www.jpx.co.jp/english/markets/statistics-equities/misc/08.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Stock Price Average/ Average Yield,Stock Price Average/ Average Yield,/english/markets/statistics-equities/misc/03.html,https://www.jpx.co.jp/english/markets/statistics-equities/misc/03.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,PER/ PBR,PER/ PBR,/english/markets/statistics-equities/misc/04.html,https://www.jpx.co.jp/english/markets/statistics-equities/misc/04.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_page_candidate,Financing by Listed Companies,Financing by Listed Companies,/english/markets/statistics-equities/misc/06.html,https://www.jpx.co.jp/english/markets/statistics-equities/misc/06.html,True,no,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_workbook_candidate,,,/english/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_e.xls,https://www.jpx.co.jp/english/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_e.xls,True,yes,no,no
v2.13C,jpx_list_of_tse_listed_issues_page,jpx_discovered_workbook_candidate,,,/english/markets/statistics-equities/misc/tvdivq0000001vg2-att/jyoujyou(updated)_e.xlsx,https://www.jpx.co.jp/english/markets/statistics-equities/misc/tvdivq0000001vg2-att/jyoujyou(updated)_e.xlsx,True,yes,no,no
