ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot
1301,"KYOKUYO CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
130A,Veritas In Silico Inc.,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,3250,3250,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1332,Nissui Corporation,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1333,Umios Corporation,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
135A,"VRAIN Solution,Inc.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,5250,5250,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1375,"YUKIGUNI FACTORY CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1376,"KANEKO SEEDS CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1377,SAKATA SEED CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1379,HOKUTO CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
137A,"Cocolive,Inc.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,5250,5250,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1380,"AKIKAWA FOODS & FARMS CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1381,"AXYZ CO.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1382,"HOB Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1383,"Berg Earth co.,ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1384,"Hokuryo Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,50,50,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
