market_segment,security_type,diagnostic_security_class,rows
Standard Market(Domestic),,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY,1561
Prime Market (Domestic),,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY,1551
Growth Market(Domestic),,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY,593
ETFs/ ETNs,,NON_ORDINARY_OR_REVIEW_REQUIRED,468
PRO Market,,UNKNOWN_REVIEW_REQUIRED,182
"REIT, Venture Funds, Country Funds and Infrastructure Funds",,NON_ORDINARY_OR_REVIEW_REQUIRED,63
Prime Market (Domestic),,NON_ORDINARY_OR_REVIEW_REQUIRED,8
Standard Market(Domestic),,NON_ORDINARY_OR_REVIEW_REQUIRED,2
Standard Market(Foreign),,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY,2
Growth Market (Foreign),,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY,2
Equity Contribution Securities,,UNKNOWN_REVIEW_REQUIRED,2
Prime Market(Foreign),,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY,1
PRO Market,,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY,1
Growth Market(Domestic),,NON_ORDINARY_OR_REVIEW_REQUIRED,1
