check,passed,severity,detail
v2_19a_report_exists,True,critical,outputs\full_universe_source_acquisition\next_provider_route_selection_v2_19a.json
v2_19a_status_expected,True,critical,NEXT_PROVIDER_ROUTE_SELECTION_COMPLETED_KRX_SELECTED_ACQUISITION_PLAN_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
v2_19a_selected_route_expected,True,critical,selected_route_id=KRX_KOREA_EXCHANGE
v2_19a_selected_route_csv_exists,True,critical,outputs\full_universe_source_acquisition\next_provider_selected_route_v2_19a.csv
v2_19a_route_candidates_csv_exists,True,critical,outputs\full_universe_source_acquisition\next_provider_route_candidates_v2_19a.csv
selected_route_csv_has_one_row,True,critical,selected_route_rows=1
route_candidates_csv_has_expected_rows,True,critical,route_candidate_rows=5
active_canonical_exists,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
current_validated_candidate_exists,True,critical,outputs\full_universe_source_acquisition\expanded_universe_candidate_twse_tpex_v2_18g.csv
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_validated_candidate_rows_expected,True,critical,current_candidate_rows=40996
rows_needed_to_50k_expected,True,critical,rows_needed_to_50k=9004
source_inventory_minimum_count,True,critical,source_inventory=4
primary_sources_available,True,critical,primary_sources=2
supporting_source_available,True,warning,supporting_sources=1
raw_artifact_plan_available,True,critical,raw_artifacts_planned=4
instrument_filters_available,True,critical,instrument_filters=5
validation_strategy_available,True,critical,validation_steps=7
official_sources_only,True,critical,all planned URLs are KRX or data.go.kr official sources
no_full59k_source,True,critical,full59k absent from source inventory
canonical_sha_unchanged,True,critical,active canonical sha unchanged
candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
candidate_dataset_not_modified,True,critical,candidate_dataset_modified=False
plan_only_no_raw_download,True,critical,raw_acquisition_performed=False
plan_only_no_candidate_extraction,True,critical,candidate_extraction_performed=False
plan_only_no_expanded_rebuild,True,critical,expanded_rebuild_candidate_performed=False
network_not_used_by_script,True,critical,network_download_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
final_50k_gate_still_blocked,True,critical,40996 < 50000
krx_raw_acquisition_next_needed,True,critical,v2.19C - KRX Raw Acquisition
