check,passed,severity,detail
v2_19b_status_expected,True,critical,KRX_ACQUISITION_PLAN_COMPLETED_OFFICIAL_SOURCES_READY_FOR_RAW_ACQUISITION_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
v2_19c_status_expected,True,critical,KRX_RAW_ACQUISITION_COMPLETED_RAW_FILES_CAPTURED_VALIDATION_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
v2_19d_status_expected,True,critical,KRX_RAW_VALIDATION_COMPLETED_REPAIR_REQUIRED_BEFORE_CANDIDATE_EXTRACTION_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
v2_19c_fix_status_expected,True,critical,KRX_RAW_ACQUISITION_REPAIR_COMPLETED_REPAIRED_RAW_FILES_CAPTURED_REVALIDATION_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
v2_19d_fix_status_expected,True,critical,KRX_REPAIRED_RAW_VALIDATION_COMPLETED_NO_PARSE_READY_SOURCE_ROUTE_BLOCKED_CLOSURE_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_validated_candidate_rows_expected,True,critical,current_candidate_rows=40996
rows_needed_to_50k_expected,True,critical,rows_needed_to_50k=9004
canonical_sha_unchanged,True,critical,active canonical sha unchanged
candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
v2_19d_fix_critical_failed_zero,True,critical,critical_failed_checks=0
v2_19d_fix_critical_issue_zero,True,critical,critical_issue_count=0
v2_19d_fix_official_scope_only,True,critical,official_scope_violations=0
v2_19d_fix_repaired_artifacts_integrity,True,critical,exists=18/18; bytes=18/18; sha=18/18
krx_extraction_ready_false,True,critical,extraction_ready=False
krx_primary_candidate_ready_zero,True,critical,primary_candidate_ready_count=0
krx_route_blocked_before_extraction,True,critical,krx_route_blocked_before_extraction=True
krx_candidate_rows_added_zero,True,critical,candidate_rows_added=0
v2_19e_to_h_artifacts_absent,True,critical,unexpected_e_h_artifacts=[]
structured_artifact_count_documented,True,warning,structured_artifact_count=1
candidate_ready_count_zero,True,warning,candidate_ready_count=0
warning_issue_count_documented,True,warning,warning_issue_count=18
raw_files_read_only,True,critical,raw_files_written=False
network_not_used_by_closure,True,critical,network_download_performed=False
candidate_extraction_not_performed,True,critical,candidate_extraction_performed=False
canonical_comparison_not_performed,True,critical,canonical_comparison_performed=False
expanded_rebuild_not_performed,True,critical,expanded_rebuild_candidate_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
final_50k_gate_still_blocked,True,critical,40996 < 50000
next_provider_selection_ready,True,critical,v2.19J - Next Provider Route Selection After KRX Block
