check,passed,severity,detail
v2_19b_report_exists,True,critical,outputs\full_universe_source_acquisition\krx_acquisition_plan_v2_19b.json
v2_19b_status_expected,True,critical,KRX_ACQUISITION_PLAN_COMPLETED_OFFICIAL_SOURCES_READY_FOR_RAW_ACQUISITION_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
v2_19b_source_inventory_exists,True,critical,outputs\full_universe_source_acquisition\krx_acquisition_plan_source_inventory_v2_19b.csv
v2_19b_raw_artifacts_plan_exists,True,critical,outputs\full_universe_source_acquisition\krx_acquisition_plan_raw_artifacts_v2_19b.csv
v2_19b_validation_strategy_exists,True,critical,outputs\full_universe_source_acquisition\krx_acquisition_plan_validation_strategy_v2_19b.csv
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_validated_candidate_rows_expected,True,critical,current_candidate_rows=40996
rows_needed_to_50k_expected,True,critical,rows_needed_to_50k=9004
raw_dir_created,True,critical,outputs\full_universe_source_acquisition\raw\krx_v2_19c
manifest_rows_expected_minimum,True,critical,manifest_rows=7
raw_files_written_minimum,True,critical,raw_files_written=7
official_scope_only,True,critical,official_scope_violations=0
primary_sources_attempted,True,critical,primary_attempt_rows=4
primary_sources_captured,True,critical,primary_captured_rows=3
http_200_rows_present,True,warning,http_200_rows=2
possible_parse_ready_or_diagnostic_present,False,warning,possible_parse_ready_rows=0
canonical_sha_unchanged,True,critical,active canonical sha unchanged
candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
candidate_dataset_not_modified,True,critical,candidate_dataset_modified=False
raw_acquisition_performed,True,critical,raw_acquisition_performed=True
candidate_extraction_not_performed,True,critical,candidate_extraction_performed=False
canonical_comparison_not_performed,True,critical,canonical_comparison_performed=False
expanded_rebuild_not_performed,True,critical,expanded_rebuild_candidate_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
final_50k_gate_still_blocked,True,critical,40996 < 50000
krx_raw_validation_next_needed,True,critical,v2.19D - KRX Raw Validation
