check,passed,severity,detail
v2.24A_status_evidenced,True,critical,METADATA_GAP_AUDIT_COMPLETED_NO_DATASET_MODIFICATION
v2.24A_commit_evidenced,True,critical,69123333d2480bca78813f22e1a796a8d66c8a1c
v2.24B_status_evidenced,True,critical,COUNTRY_MIC_CURRENCY_BACKFILL_PLAN_COMPLETED_NO_DATASET_MODIFICATION
v2.24B_commit_evidenced,True,critical,8243d6328b53dc59a1e9d31d2c485a3aeb6c7c7b
v2.24C_status_evidenced,True,critical,ASSET_TYPE_NORMALIZATION_PLAN_COMPLETED_NO_DATASET_MODIFICATION
v2.24C_commit_evidenced,True,critical,729d1c92a75a123929c447181d90f2c5192990f9
v2.24D_status_evidenced,True,critical,PROVIDER_QUALITY_MATRIX_COMPLETED_NO_DATASET_MODIFICATION
v2.24D_commit_evidenced,True,critical,b9cf63a218378b219f59c5ebbe14e9801085304f
v2.24E_status_evidenced,True,critical,METADATA_IMPROVEMENT_DRY_RUN_COMPLETED_NO_PROMOTION
v2.24E_commit_evidenced,True,critical,963f3eb37a0ecc61129ca0cc0b5d3a3517d2f66b
v2.24F_status_evidenced,True,critical,METADATA_PROMOTION_FREEZE_DECISION_COMPLETED_PROMOTED_ARTIFACT_CREATED_POINTER_UNCHANGED
v2.24F_commit_evidenced,True,critical,9e50f43090b433ebe636e2f702af6c434b212511
promoted_rows_43089,True,critical,43089
promoted_sha_expected,True,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
derived_cells_56002,True,critical,56002
derived_provenance_100pct,True,critical,100.0
zero_overwrites,True,critical,0
only_six_authorized_fields_changed,True,critical,0 outside-field changes
canonical_file_unchanged,True,critical,72a02a82851c6b6e14a43944e817700010516286defd8f9984991fb4d1ea50d4
canonical_contract_unchanged,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
active_pointer_unchanged,True,critical,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
production_scoring_not_authorized,True,critical,False
scoring_not_promoted,True,critical,False
openai_not_called,True,critical,False
broker_not_called,True,critical,False
full59k_deferred,True,critical,DEPRECATED_DEFERRED
