check,passed,severity,detail
calibration_status_expected,True,critical,SCORING_MODEL_CALIBRATION_ROADMAP_COMPLETED_PRODUCTION_SCORING_DEFERRED
calibration_critical_failed_checks_zero,True,critical,critical_failed_checks=0
pointer_current_dataset_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
scoring_rows_expected,True,critical,scoring_rows=33498
scoring_sha_expected,True,critical,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
coverage_metrics_created,True,critical,coverage_metrics=24
gap_plan_created,True,critical,gap_plan_rows=5
provider_priorities_created,True,critical,provider_priority_rows=28
known_country_gap_documented,True,warning,top_country=__MISSING__;missing_pct=35.1961
production_scoring_not_authorized,True,critical,production_scoring_authorized=False
new_scoring_not_executed,True,critical,new_scoring_executed=False
metadata_backfill_not_executed,True,critical,metadata_backfill_executed=False
canonical_dataset_not_modified,True,critical,current_sha_after=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
dry_run_score_output_not_modified,True,critical,scoring_sha_after=a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
