row_number,ticker,exchange,source_provider,changed_field_count,metadata_backfill_status,original_country,proposed_country,country_rule_id,original_mic,proposed_mic,mic_rule_id,original_currency,proposed_currency,currency_rule_id,original_asset_type,proposed_asset_type,asset_type_rule_id,original_instrument_type,proposed_instrument_type,instrument_type_rule_id,original_instrument_scope,proposed_instrument_scope,instrument_scope_rule_id
1,AACB,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
2,AACI,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
3,AACO,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
4,AACP,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
5,AAL,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
6,AAME,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
7,AAOI,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
8,AAON,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
9,AAPG,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,adr_equity,TAX_NASDAQ_ADR_001,ADR,ADR,,IN_SCOPE_ADR,IN_SCOPE_ADR,
10,AAPL,NASDAQ,nasdaq_trader_nasdaqlisted,3,DRY_RUN_DERIVED,USA,USA,,,XNAS,GEO_NASDAQ_MIC_001,,USD,GEO_NASDAQ_CCY_001,,common_equity,TAX_NASDAQ_COMMON_001,COMMON_STOCK,COMMON_STOCK,,IN_SCOPE,IN_SCOPE,
