source_provider,field,unresolved_rows,reason
HKEX,asset_type,396,REVIEW_REQUIRED_PROVIDER_HOLD
HKEX,instrument_type,396,REVIEW_REQUIRED_PROVIDER_HOLD
HKEX,instrument_scope,396,REVIEW_REQUIRED_PROVIDER_HOLD
SFC_SIMEV_RNVE,asset_type,20,NO_APPROVED_DETERMINISTIC_RULE
SFC_SIMEV_RNVE,instrument_scope,20,NO_APPROVED_DETERMINISTIC_RULE
__MISSING_PROVIDER__,mic,2013,REVIEW_REQUIRED_PROVIDER_HOLD
__MISSING_PROVIDER__,instrument_type,2013,REVIEW_REQUIRED_PROVIDER_HOLD
__MISSING_PROVIDER__,instrument_scope,2013,REVIEW_REQUIRED_PROVIDER_HOLD
cboe_europe_reference_data,country,21154,VENUE_OR_LISTING_DETAIL_INSUFFICIENT
cboe_europe_reference_data,mic,21154,VENUE_OR_LISTING_DETAIL_INSUFFICIENT
cboe_europe_reference_data,currency,21154,VENUE_OR_LISTING_DETAIL_INSUFFICIENT
cboe_europe_reference_data,asset_type,10657,BROAD_EQTY_CLASS_REMAINS_AMBIGUOUS
cboe_europe_reference_data,instrument_scope,10657,BROAD_EQTY_CLASS_REMAINS_AMBIGUOUS
cboe_listed_symbols,asset_type,1193,NO_APPROVED_DETERMINISTIC_RULE
hkex_securities_list,asset_type,2804,REVIEW_REQUIRED_PROVIDER_HOLD
hkex_securities_list,instrument_type,2804,REVIEW_REQUIRED_PROVIDER_HOLD
hkex_securities_list,instrument_scope,2804,REVIEW_REQUIRED_PROVIDER_HOLD
sec_company_tickers_exchange,asset_type,2359,NO_APPROVED_DETERMINISTIC_RULE
