check,passed,severity,detail
krx_closure_report_exists,True,critical,outputs\full_universe_source_acquisition\krx_closure_report_v2_19i.json
krx_closure_status_expected,True,critical,KRX_CLOSURE_COMPLETED_ROUTE_BLOCKED_BEFORE_EXTRACTION_NEXT_PROVIDER_SELECTION_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
krx_route_decision_exists,True,critical,outputs\full_universe_source_acquisition\krx_closure_report_route_decision_v2_19i.csv
krx_skipped_phases_exists,True,critical,outputs\full_universe_source_acquisition\krx_closure_report_skipped_phases_v2_19i.csv
krx_evidence_exists,True,critical,outputs\full_universe_source_acquisition\krx_closure_report_evidence_matrix_v2_19i.csv
krx_route_closed,True,critical,route_closed=True
krx_final_result_blocked,True,critical,route_final_result=blocked_before_extraction
krx_extraction_not_performed,True,critical,candidate_extraction_performed=False
krx_rows_added_zero,True,critical,candidate_rows_added=0
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_validated_candidate_rows_expected,True,critical,current_candidate_rows=40996
rows_needed_to_50k_expected,True,critical,rows_needed_to_50k=9004
canonical_sha_unchanged,True,critical,active canonical sha unchanged
candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
route_candidates_present,True,critical,route_candidates=5
selected_route_is_hkex,True,critical,HKEX_HONG_KONG_EXCHANGE
selected_route_top_ranked_or_explicit_priority,True,critical,rank_1=HKEX_HONG_KONG_EXCHANGE
selected_route_has_next_phase,True,critical,v2.19K - HKEX Acquisition Plan
krx_in_blocklist,True,critical,KRX_KOREA_EXCHANGE
full59k_deprecated,True,critical,full59k=DEPRECATED_DEFERRED
final_50k_gate_still_blocked,True,critical,40996 < 50000
network_not_used_by_route_selection,True,critical,network_download_performed=False
candidate_extraction_not_performed,True,critical,candidate_extraction_performed=False
canonical_comparison_not_performed,True,critical,canonical_comparison_performed=False
expanded_rebuild_not_performed,True,critical,expanded_rebuild_candidate_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
next_phase_hkex_plan,True,critical,v2.19K - HKEX Acquisition Plan
