check,passed,severity,detail
v2_18i_report_exists,True,critical,outputs\full_universe_source_acquisition\twse_tpex_closure_report_v2_18i.json
v2_18i_status_expected,True,critical,TWSE_TPEX_CLOSURE_COMPLETED_40996_CANDIDATES_NEXT_PROVIDER_SELECTION_READY_50K_GATE_STILL_BLOCKED_FULL59K_DEPRECATED
active_canonical_exists,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
current_validated_candidate_exists,True,critical,outputs\full_universe_source_acquisition\expanded_universe_candidate_twse_tpex_v2_18g.csv
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_validated_candidate_rows_expected,True,critical,current_candidate_rows=40996
rows_needed_to_50k_expected,True,critical,rows_needed_to_50k=9004
route_candidates_available,True,critical,route_candidates=5
selected_route_is_krx,True,critical,selected_route_id=KRX_KOREA_EXCHANGE
selected_route_has_official_sources,True,critical,KRX Global Listed Company; KRX Data Marketplace; Public Data Portal KRX Listed Stock Information
selected_route_not_full59k,True,critical,full59k not selected
selected_route_not_tpex_repair,True,critical,TPEx repair deferred
canonical_sha_unchanged,True,critical,active canonical sha unchanged
candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
candidate_dataset_not_modified,True,critical,candidate_dataset_modified=False
no_raw_acquisition,True,critical,raw_acquisition_performed=False
no_candidate_extraction,True,critical,candidate_extraction_performed=False
no_expanded_rebuild,True,critical,expanded_rebuild_candidate_performed=False
route_selection_only,True,critical,phase_type=route-selection-only
network_not_used_by_script,True,critical,network_download_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
final_50k_gate_still_blocked,True,critical,40996 < 50000
next_provider_needed,True,critical,rows_needed_to_50k=9004
