source_id,source_role,raw_kind,csv_rows_seen,rows_considered,raw_candidates_before_filter,deduped_candidates_after_filter,exclusions,schema_columns,validation_bucket,notes
nse_all_reports_cm_mii_security_file_nse_and_bse_exclusive,bse_exclusive_scope_review_not_candidate,gzip_csv,36243,36243,0,0,5000,FinInstrmId | TckrSymb | SctySrs | FinInstrmNm | ISIN | NewBrdLotQty | ParVal | SctyTpFlg | BidIntrvl | TrckgInd | CallAuctnInd | BookClsrStartDt | BookClsrEndDt | NoDlvryStartDt | NoDlvryEndDt | IssdCptl | PrtdToTrad | PricRg | SctyStsNrmlMkt | ElgbltyNrmlMkt | SctyStsOddLotMkt | ElgbltyOddLotMkt | SctyStsRETDBTMkt | ElgbltyClsgAuctnSsn | SctyStsAuctnMkt | ElgbltyAuctnMkt | SctyStsAddtlMkt1 | ElgbltyAddtlMkt1 | SctyStsAddtlMkt2 | ElgbltyAddtlMkt2 | IsseDt | FrstPmtDt | MtrtyDt | MaxTradQtyPctg | ListgDt | RmvlDt | RadmssnDt | RcrdDt | IndxPrtcptnInd | AllOrNn | MinFill | SttlmTp | Dvdd | Rghts | Bns | Intrst | AGMtg | EGMtg | MktMakrSprd | MktMakrMinQty | AddtlInf | UpdDt | DelFlg | SpclExDt | Xchg | UnqPdctIdr | SctyTp | TickSz | XchgExclsv | Sts | ExDvddDt | ExBnsDt | ExRghtsDt | FinInstrmTp | InstrmTp | TradgPrtd | BuyBckInd | TradToTradInd | Indx | IndxInstrm | FinInstrmAttrbts | MinLot | UndrlygInstrmAsstClss | UndrlygInstrm | UndrlygFinInstrmId | BlckDealAllwdFlg | InstrmNm | MktTpAndId | UnitOfMeasr | PricQtQty | PricRgTp | MaxPric | MinPric | SttlmMtd | InitlMrgnTp | BuyInitlMrgnRate | IssePric | MaxSnglTxnQty | MaxSnglTxnVal | AsstClss | PricNmrtr | Spcfctn | PricDnmtr | GnlNmrtr | GnlDnmtr | LotNmrtr | LotDnmtr | DcmlstnPric | SrsSttlmTp | FreeFltCptl | SellInitlMrgnRate | RatgDtls | FinInstrmClssfctn | SpclMrgnTp | BuySpclMrgnRat | SellSpclMrgnRat | PreOpnAllwdFlg | ClssfctnTp | MtchgCrit | ValMtd | SLBMElgblty | Sgmt | Ccy | SttlmCcy | Rsvd02 | Rsvd03 | Rsvd04 | Rsvd05 | Rsvd06 | Rsvd07,no_candidates_or_exclusion_only,artifact_type=mii_security_file_candidate; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_all_reports_cm_mii_security_file_nse_and_bse_exclusive__mii_security_file_candidate.csv.gz
nse_all_reports_cm_mii_security_file_nse_listed,primary_mii_security_file,gzip_csv,36243,36243,11802,9738,24441,FinInstrmId | TckrSymb | SctySrs | FinInstrmNm | ISIN | NewBrdLotQty | ParVal | SctyTpFlg | BidIntrvl | TrckgInd | CallAuctnInd | BookClsrStartDt | BookClsrEndDt | NoDlvryStartDt | NoDlvryEndDt | IssdCptl | PrtdToTrad | PricRg | SctyStsNrmlMkt | ElgbltyNrmlMkt | SctyStsOddLotMkt | ElgbltyOddLotMkt | SctyStsRETDBTMkt | ElgbltyClsgAuctnSsn | SctyStsAuctnMkt | ElgbltyAuctnMkt | SctyStsAddtlMkt1 | ElgbltyAddtlMkt1 | SctyStsAddtlMkt2 | ElgbltyAddtlMkt2 | IsseDt | FrstPmtDt | MtrtyDt | MaxTradQtyPctg | ListgDt | RmvlDt | RadmssnDt | RcrdDt | IndxPrtcptnInd | AllOrNn | MinFill | SttlmTp | Dvdd | Rghts | Bns | Intrst | AGMtg | EGMtg | MktMakrSprd | MktMakrMinQty | AddtlInf | UpdDt | DelFlg | SpclExDt | Xchg | UnqPdctIdr | SctyTp | TickSz | XchgExclsv | Sts | ExDvddDt | ExBnsDt | ExRghtsDt | FinInstrmTp | InstrmTp | TradgPrtd | BuyBckInd | TradToTradInd | Indx | IndxInstrm | FinInstrmAttrbts | MinLot | UndrlygInstrmAsstClss | UndrlygInstrm | UndrlygFinInstrmId | BlckDealAllwdFlg | InstrmNm | MktTpAndId | UnitOfMeasr | PricQtQty | PricRgTp | MaxPric | MinPric | SttlmMtd | InitlMrgnTp | BuyInitlMrgnRate | IssePric | MaxSnglTxnQty | MaxSnglTxnVal | AsstClss | PricNmrtr | Spcfctn | PricDnmtr | GnlNmrtr | GnlDnmtr | LotNmrtr | LotDnmtr | DcmlstnPric | SrsSttlmTp | FreeFltCptl | SellInitlMrgnRate | RatgDtls | FinInstrmClssfctn | SpclMrgnTp | BuySpclMrgnRat | SellSpclMrgnRat | PreOpnAllwdFlg | ClssfctnTp | MtchgCrit | ValMtd | SLBMElgblty | Sgmt | Ccy | SttlmCcy | Rsvd02 | Rsvd03 | Rsvd04 | Rsvd05 | Rsvd06 | Rsvd07,extracted,artifact_type=mii_security_file_candidate; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_all_reports_cm_mii_security_file_nse_listed__mii_security_file_candidate.csv.gz
nse_securities_available_equity_segment,primary_equity_segment_csv,csv,2397,2397,2380,2064,17,SYMBOL | NAME OF COMPANY |  SERIES |  DATE OF LISTING |  PAID UP VALUE |  MARKET LOT |  ISIN NUMBER |  FACE VALUE,extracted,artifact_type=raw_source_file; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_securities_available_equity_segment__raw_source_file.csv
nse_securities_available_sme,sme_equity_review_csv,csv,560,560,555,0,5,SYMBOL | NAME_OF_COMPANY | SERIES | DATE_OF_LISTING | PAID_UP_VALUE | ISIN_NUMBER | FACE_VALUE | ,extracted,artifact_type=raw_source_file; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_securities_available_sme__raw_source_file.csv
nse_idrs,excluded_source_idr,csv,4,4,0,0,4,SYMBOL | NAME OF COMPANY |  SERIES |  DATE OF LISTING |  PAID UP VALUE |  MARKET LOT |  ISIN NUMBER |  FACE VALUE*,no_candidates_or_exclusion_only,artifact_type=raw_source_file; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_idrs__raw_source_file.csv
nse_preference_shares,excluded_source_preference_shares,csv,4,4,0,0,4,SYMBOL |  NAME OF COMPANY |  SERIES |  SECURITY NAME |  FACE VALUE |  PAID UP VALUE |  MKT LOT |  DIVIDEND % |  DATE OF LISTING |  DATE OF ALLOTMENT |  REDEMPTION DATE |  REDEMPTION AMT |  CONVERSION DATE |  CONVERSION AMT,no_candidates_or_exclusion_only,artifact_type=raw_source_file; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_preference_shares__raw_source_file.csv
nse_warrants,excluded_source_warrants,csv,1,1,0,0,1,SYMBOL |  NAME OF COMPANY |  SERIES |  DATE OF LISTING |  MARKET LOT,no_candidates_or_exclusion_only,artifact_type=raw_source_file; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_warrants__raw_source_file.csv
nse_close_ended_mf,excluded_source_close_ended_mf,csv,119,119,0,0,119,SYMBOL | NAME OF COMPANY |  SERIES |  DATE OF LISTING |  PAID UP VALUE |  MARKET LOT |  ISIN NUMBER |  FACE VALUE,no_candidates_or_exclusion_only,artifact_type=raw_source_file; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_close_ended_mf__raw_source_file.csv
nse_etfs,excluded_source_etf,csv,341,341,0,0,341,Symbol | Underlying | SecurityName | DateofListing | MarketLot | ISINNumber | FaceValue,no_candidates_or_exclusion_only,artifact_type=raw_source_file; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_etfs__raw_source_file.csv
nse_changes_company_names,reference_only_company_name_changes,csv,2321,2321,0,0,2321,NCH_SYMBOL | NCH_PREV_NAME | NCH_NEW_NAME | NCH_DT,no_candidates_or_exclusion_only,artifact_type=raw_source_file; local_path=outputs\full_universe_source_acquisition\nse_raw_acquisition_v2_17c\nse_changes_company_names__raw_source_file.csv
