candidate,candidate_type,score,host,path
https://www.nyse.com/listings_directory/stock,listing_related,35,www.nyse.com,/listings_directory/stock
https://www.nyse.com/api/sites/nyse/proxy,api_candidate,30,www.nyse.com,/api/sites/nyse/proxy
https://www.nyse.com/listings-process,listing_related,25,www.nyse.com,/listings-process
https://www.nyse.com/listings/gallery,listing_related,25,www.nyse.com,/listings/gallery
https://www.nyse.com/listings/resources,listing_related,25,www.nyse.com,/listings/resources
https://listingmanager.nyse.com,listing_related,20,listingmanager.nyse.com,https://listingmanager.nyse.com
https://static.nyse.com/cms/41.10.2/chunks//var/opt/jenkins/workspace/ont-end-monorepo_release_2026-26/packages/website-components/build/components/feedback/Spinner-DwaMFcMk.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks//var/opt/jenkins/workspace/ont-end-monorepo_release_2026-26/packages/website-components/build/components/feedback/Spinner-DwaMFcMk.js
https://static.nyse.com/cms/41.10.2/chunks/__generated__/components/demos-BOS4m3ic.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/__generated__/components/demos-BOS4m3ic.js
https://static.nyse.com/cms/41.10.2/chunks/__generated__/components/main-Bg6Hb68w.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/__generated__/components/main-Bg6Hb68w.js
https://static.nyse.com/cms/41.10.2/chunks/__generated__/components/meta-BWKtRhNE.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/__generated__/components/meta-BWKtRhNE.js
https://static.nyse.com/cms/41.10.2/chunks/node_modules/-pnpm/@theice-pushpop@3-5-0_@types-express@4-17-25/node_modules/@theice/pushpop/build/array/replace-IbWvJqX2.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/node_modules/-pnpm/@theice-pushpop@3-5-0_@types-express@4-17-25/node_modules/@theice/pushpop/build/array/replace-IbWvJqX2.js
https://static.nyse.com/cms/41.10.2/chunks/node_modules/-pnpm/date-fns@2-30-0/node_modules/date-fns/addYears/index-js-commonjs-es-import-N9QxKcO-.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/node_modules/-pnpm/date-fns@2-30-0/node_modules/date-fns/addYears/index-js-commonjs-es-import-N9QxKcO-.js
https://static.nyse.com/cms/41.10.2/chunks/node_modules/-pnpm/react-router@6-30-1_react@18-3-1/node_modules/react-router/dist/index-js-commonjs-proxy-CNaJNpJV.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/node_modules/-pnpm/react-router@6-30-1_react@18-3-1/node_modules/react-router/dist/index-js-commonjs-proxy-CNaJNpJV.js
https://static.nyse.com/cms/41.10.2/chunks/shared/breadcrumb-context/BreadCrumbContext-DDWejWVZ.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/shared/breadcrumb-context/BreadCrumbContext-DDWejWVZ.js
https://static.nyse.com/cms/41.10.2/chunks/shared/utils/isCmsTemplateName-CHdGwdya.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/shared/utils/isCmsTemplateName-CHdGwdya.js
https://static.nyse.com/cms/41.10.2/chunks/shared/utils/shouldUseProxy-Bv9cgI89.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/chunks/shared/utils/shouldUseProxy-Bv9cgI89.js
https://static.nyse.com/cms/41.10.2/hydrate.js,javascript_asset,10,static.nyse.com,/cms/41.10.2/hydrate.js
http://localnyse:3000,other,5,localnyse:3000,http://localnyse:3000
https://careers.ice.com/jobs?keywords=NYSE&sortBy=relevance&page=1,other,5,careers.ice.com,/jobs
https://connect.nyse.com/Registration/Signup.aspx,other,5,connect.nyse.com,/Registration/Signup.aspx
https://static.nyse.com,other,5,static.nyse.com,https://static.nyse.com
https://static.nyse.com/cms/41.10.2/assets/icegroupweb-nyse.css,other,5,static.nyse.com,/cms/41.10.2/assets/icegroupweb-nyse.css
https://static.nyse.com/cms/41.10.2/assets/nyse.css,other,5,static.nyse.com,/cms/41.10.2/assets/nyse.css
https://www.facebook.com/nyse,other,5,www.facebook.com,/nyse
https://www.instagram.com/nyse,other,5,www.instagram.com,/nyse
https://www.linkedin.com/company/nyse,other,5,www.linkedin.com,/company/nyse
https://www.nyse.com,other,5,www.nyse.com,https://www.nyse.com
https://www.nyse.com/article/nyse-closing-auction-insiders-guide,other,5,www.nyse.com,/article/nyse-closing-auction-insiders-guide
https://www.nyse.com/data-insights,other,5,www.nyse.com,/data-insights
https://www.nyse.com/data-products,other,5,www.nyse.com,/data-products
https://www.nyse.com/data-products/catalog,other,5,www.nyse.com,/data-products/catalog
https://www.nyse.com/index,other,5,www.nyse.com,/index
https://www.nyse.com/publicdocs/images/Hero-NYSE-1920x550-18.jpg,other,5,www.nyse.com,/publicdocs/images/Hero-NYSE-1920x550-18.jpg
https://www.nyse.com/publicdocs/images/Icon_CCPA_Opt_Out.png,other,5,www.nyse.com,/publicdocs/images/Icon_CCPA_Opt_Out.png
https://www.nyse.com/publicdocs/images/NYSEConnect_Login_450x230_20160426.png,other,5,www.nyse.com,/publicdocs/images/NYSEConnect_Login_450x230_20160426.png
https://www.nyse.com/publicdocs/images/favicon_nyse_2022.gif,other,5,www.nyse.com,/publicdocs/images/favicon_nyse_2022.gif
https://www.pinterest.com/nyse,other,5,www.pinterest.com,/nyse
https://www.twitter.com/nyse,other,5,www.twitter.com,/nyse
https://www.youtube.com/@NYSEofficial,other,5,www.youtube.com,/@NYSEofficial
