metric,value
selected_route,Operational pointer convention hardening after v2.22A
phase_type,operational-pointer-convention-hardening
pointer_decision,CURRENT_OPERATIONAL_POINTER_CREATED
current_operational_pointer_json,outputs\full_universe_source_acquisition\current_operational_universe_pointer.json
current_operational_pointer_json_sha,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
current_operational_pointer_md,outputs\full_universe_source_acquisition\current_operational_universe_pointer.md
current_operational_pointer_md_sha,c9c59d46e89957cf403572d174faf1e78b091d91902061265234a49f246e1cf6
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
previous_operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
previous_operational_base_rows,42708
previous_operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
quality_floor_target,42000
quality_ceiling_target,45000
remaining_capacity,1911
total_added_rows_vs_previous_operational_base,381
pointer_convention_hardened,True
single_live_pointer_defined,True
current_pointer_created,True
existing_dataset_files_modified,False
canonical_dataset_modified,False
active_canonical_replaced,False
approved_for_pre_scoring_data_quality_audit,True
approved_for_scoring_dry_run,False
scoring_authorized,False
scoring_executed,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.22C - Pre-Scoring Data Quality Audit
secondary_next_phase,v2.22D - Scoring Dry Run / No Promotion
