check,passed,severity,detail
activation_status_expected,True,critical,FINAL_REFERENCE_ACTIVATION_GATE_COMPLETED_OPERATIONAL_REFERENCE_ARTIFACT_READY_EXISTING_POINTERS_UNCHANGED_SCORING_DEFERRED
activation_zero_critical_failed_checks,True,critical,critical_failed_checks=0
activation_zero_warning_failed_checks,True,critical,warning_failed_checks=0
activation_approved_operational_reference,True,critical,approved_as_current_operational_reference_artifact=True
activated_rows_expected,True,critical,activated_rows=43089
activated_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
previous_operational_rows_expected,True,critical,previous_operational_rows=42708
previous_operational_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
final_reference_rows_expected,True,critical,final_reference_rows=43089
final_reference_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
activated_matches_final_reference,True,critical,activated=43089/9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707;final=43089/9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
headers_consistent,True,critical,activated_columns=33;previous_columns=33;final_columns=33
within_quality_floor,True,critical,activated_rows=43089;floor=42000
within_quality_ceiling,True,critical,activated_rows=43089;ceiling=45000
remaining_capacity_non_negative,True,critical,remaining_capacity=1911
scoring_not_executed,True,critical,scoring_executed=False
scoring_not_authorized_in_gate,True,critical,scoring_authorized=False
openai_not_authorized,True,critical,openai_authorized=False
openai_not_called,True,critical,openai_called=False
broker_not_authorized,True,critical,broker_authorized=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
no_canonical_mutation,True,critical,canonical_dataset_modified=False
no_pointer_mutation,True,critical,pointer_update_performed=False
activated_reference_not_modified,True,critical,activated_sha_after_read=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
previous_operational_not_modified,True,critical,previous_operational_sha_after_read=892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_not_modified,True,critical,rollback_sha_after_read=cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
final_reference_not_modified,True,critical,final_reference_sha_after_read=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
pre_scoring_requirements_defined,True,critical,requirements=5
